player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"rowan",GthBpPSqaK,2026-09-20T03:08:48.686Z,2026-09-20T03:43:13.653Z,7500,0,0,0,-7500
"Binkputer",iNHBFVRnIS,2026-09-20T02:40:05.813Z,,10772,,18587,0,7815
"Kober",DRSv3IR7B7,2026-09-20T01:11:21.059Z,,30000,,16430,0,-13570
"Cam 2.0",eWUSzBpS1d,2026-09-19T23:56:44.492Z,,6000,,1364,0,-4636
"jahan 2",iacG4hF18c,2026-09-19T23:35:45.078Z,,8753,,17001,0,8248
"Kober",DRSv3IR7B7,2026-09-19T23:31:00.612Z,2026-09-20T01:08:46.324Z,29000,0,0,0,-29000
"Dihctor Wemb",GO72Iwd2XL,2026-09-19T17:04:55.155Z,,10000,7500,44409,0,41909
"Jason",XKcqCJfaWe,2026-09-19T16:45:57.862Z,2026-09-19T17:36:11.468Z,2000,0,0,0,-2000
"Neel",XFbUuivL6I,2026-09-19T16:28:51.989Z,2026-09-19T17:17:01.705Z,5000,0,0,0,-5000
"Heech",wzsls5Sz57,2026-09-19T16:15:06.962Z,,58000,45000,12912,0,-88
"Will",h_ZrezeXHs,2026-09-19T16:07:45.384Z,,4000,,14520,0,10520
"Rayan",nhXZL_Cydv,2026-09-19T15:43:28.077Z,,4000,,14777,0,10777
"Yaden",ToNpCOBpyk,2026-09-19T15:41:16.643Z,2026-09-19T16:34:11.694Z,2000,0,0,0,-2000
"jahan",hpHn3c2SeL,2026-09-19T15:41:16.640Z,,2000,,3753,0,1753
"rowan",GthBpPSqaK,2026-09-19T15:38:03.885Z,2026-09-20T03:06:49.616Z,6000,0,0,0,-6000
"Bink",IRFSw7AJ_c,2026-09-19T15:37:09.398Z,2026-09-19T17:04:23.668Z,6000,10772,0,0,4772
"Kenn",1MAe7RP1K5,2026-09-19T15:36:06.014Z,2026-09-19T16:27:40.783Z,8000,0,0,0,-8000
"Sawyer",BlbikwxqHp,2026-09-19T15:36:06.011Z,2026-09-19T17:10:03.378Z,4000,0,0,0,-4000
"cam",5Hkt1ueeT1,2026-09-19T15:36:06.007Z,2026-09-19T17:50:48.600Z,4000,0,0,0,-4000
