player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Heech",wzsls5Sz57,2026-08-27T22:31:33.258Z,,5000,,3261,0,-1739
"Mr Bink",IRFSw7AJ_c,2026-08-27T22:13:27.230Z,2026-08-27T22:43:04.592Z,5000,0,0,0,-5000
"Rayan",nhXZL_Cydv,2026-08-27T22:06:57.451Z,2026-08-27T22:17:49.478Z,3500,0,0,0,-3500
"Jason",XKcqCJfaWe,2026-08-27T21:42:01.821Z,2026-08-27T22:37:25.301Z,2000,0,0,0,-2000
"Cam2",Ojt2AFDQek,2026-08-27T21:33:36.688Z,2026-08-27T23:07:28.108Z,1756,7399,0,0,5643
"Rayan",nhXZL_Cydv,2026-08-27T21:32:35.239Z,2026-08-27T22:05:33.021Z,8500,0,0,0,-8500
"BransonW",BP3o9IuyiX,2026-08-27T20:23:20.300Z,2026-08-27T21:52:19.690Z,2500,0,0,0,-2500
"Cam",nDyQWeHSG2,2026-08-27T19:36:44.344Z,2026-08-27T21:33:36.675Z,2000,1756,0,0,-244
"Will",h_ZrezeXHs,2026-08-27T19:28:10.086Z,,11000,1000,13391,0,3391
"jaan",SNbRa1Lx6Y,2026-08-27T19:25:04.947Z,2026-08-27T23:07:36.476Z,2000,3852,0,0,1852
"Gabe11",qfbDrPVgXl,2026-08-27T19:08:45.389Z,2026-08-27T22:32:23.504Z,7000,11914,0,0,4914
"Cam",nDyQWeHSG2,2026-08-27T19:02:52.837Z,2026-08-27T19:35:03.721Z,2000,0,0,0,-2000
"Binkputer",6D7s410Ucp,2026-08-27T18:18:47.532Z,2026-08-27T20:21:15.949Z,22230,3699,0,0,-18531
"Heech",wzsls5Sz57,2026-08-27T18:11:09.216Z,2026-08-27T21:49:48.005Z,12000,3771,0,0,-8229
"Tomfish",xZS3GKnBtu,2026-08-27T17:59:30.899Z,,15000,2000,25332,0,12332
"Rayan",58hxHwl-DR,2026-08-27T17:56:28.856Z,2026-08-27T20:06:09.486Z,3000,3000,0,0,0
"Sul",DTywgdTily,2026-08-27T17:26:18.304Z,2026-08-27T18:35:03.154Z,3000,7496,0,0,4496
"Ryan",9r2MUgxwHG,2026-08-27T17:17:37.305Z,,6000,,20035,0,14035
"Rayan",58hxHwl-DR,2026-08-27T17:08:38.468Z,2026-08-27T17:51:47.658Z,4000,0,0,0,-4000
"Mr Bink",IRFSw7AJ_c,2026-08-27T16:28:03.667Z,2026-08-27T18:18:47.528Z,5000,7230,0,0,2230
"Gabe",9mpVPy0oPx,2026-08-27T16:26:15.646Z,2026-08-27T19:08:09.698Z,4500,4560,0,0,60
"rowan",GthBpPSqaK,2026-08-27T16:26:15.641Z,2026-08-27T20:04:00.971Z,5400,12690,0,0,7290
