player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Cenny",H7FPFDbU-m,2026-08-24T06:03:30.899Z,,2000,,1945,0,-55
"Cam",tvhzK0Dfgt,2026-08-24T05:11:01.862Z,2026-08-24T05:16:56.817Z,3000,1419,0,0,-1581
"Tomfish",xZS3GKnBtu,2026-08-24T05:07:41.247Z,,3000,,3455,0,455
"Ken",1MAe7RP1K5,2026-08-24T05:03:54.484Z,2026-08-24T05:20:51.618Z,2000,0,0,0,-2000
"Tomfish",xZS3GKnBtu,2026-08-24T04:40:13.864Z,2026-08-24T04:57:40.543Z,3000,0,0,0,-3000
"Mr Bink",6D7s410Ucp,2026-08-24T04:12:04.022Z,2026-08-24T04:54:03.982Z,4000,1390,0,0,-2610
"Cam",tvhzK0Dfgt,2026-08-24T03:49:34.872Z,2026-08-24T05:10:02.900Z,2000,0,0,0,-2000
"Tomfish",xZS3GKnBtu,2026-08-24T03:39:39.521Z,2026-08-24T04:38:25.789Z,3000,0,0,0,-3000
"Will",fP0xlSKADN,2026-08-24T03:37:15.110Z,,4000,,12328,0,8328
"Rayan.",58hxHwl-DR,2026-08-24T03:25:01.655Z,,2000,,14215,0,12215
"Cenny",H7FPFDbU-m,2026-08-24T03:14:03.939Z,2026-08-24T06:02:39.844Z,2000,0,0,0,-2000
"Jason",XKcqCJfaWe,2026-08-24T03:12:38.333Z,2026-08-24T06:00:38.861Z,2000,0,0,0,-2000
"Tomfish",xZS3GKnBtu,2026-08-24T03:12:38.329Z,2026-08-24T03:38:56.218Z,2000,0,0,0,-2000
"Gabe",qfbDrPVgXl,2026-08-24T03:12:10.091Z,2026-08-24T05:32:33.162Z,4500,0,0,0,-4500
"BransonW",k-StDnWQjZ,2026-08-24T03:12:10.097Z,,2000,,7748,0,5748
"Rayan.",58hxHwl-DR,2026-08-24T03:12:10.076Z,2026-08-24T03:24:45.152Z,2000,0,0,0,-2000
