player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Kobe",DRSv3IR7B7,2026-09-18T03:04:27.959Z,,8000,,12180,0,4180
"jahan",hpHn3c2SeL,2026-09-18T02:25:43.581Z,2026-09-18T04:53:12.879Z,10000,1110,0,0,-8890
"Fish",Rd4XHpxbuy,2026-09-18T01:12:16.625Z,,10000,,21558,0,11558
"nel",WyajbU_LR7,2026-09-18T00:44:06.557Z,2026-09-18T01:39:08.305Z,2000,2045,0,0,45
"Fish",Rd4XHpxbuy,2026-09-18T00:31:29.469Z,2026-09-18T01:10:57.403Z,8000,0,0,0,-8000
"Kenn",1MAe7RP1K5,2026-09-18T00:00:19.678Z,,8000,,20475,0,12475
"Kenn",1MAe7RP1K5,2026-09-17T23:52:38.565Z,2026-09-17T23:56:36.752Z,4000,0,0,0,-4000
"Kobe",DRSv3IR7B7,2026-09-17T23:40:22.748Z,2026-09-18T02:33:43.084Z,5000,0,0,0,-5000
"jamie",pL_pd5IgIf,2026-09-17T23:14:23.393Z,2026-09-18T00:56:58.852Z,5000,20097,0,0,15097
"nel",WyajbU_LR7,2026-09-17T22:37:52.781Z,2026-09-17T22:56:43.577Z,2000,2000,0,0,0
"Kenn",1MAe7RP1K5,2026-09-17T21:38:14.402Z,2026-09-17T21:44:00.257Z,2000,0,0,0,-2000
"Jason",fYqcH1JWT_,2026-09-17T19:51:48.567Z,2026-09-17T21:03:50.382Z,4000,0,0,0,-4000
"Will",h_ZrezeXHs,2026-09-17T19:40:26.605Z,,20000,,11090,0,-8910
"Wemby",GO72Iwd2XL,2026-09-17T19:28:08.417Z,,20000,,20826,0,826
"Neel",WyajbU_LR7,2026-09-17T19:11:30.665Z,2026-09-17T20:59:44.188Z,4000,5003,0,0,1003
"Jason",fYqcH1JWT_,2026-09-17T19:03:03.866Z,2026-09-17T19:46:32.409Z,4000,0,0,0,-4000
"Rayam",nhXZL_Cydv,2026-09-17T19:00:55.526Z,2026-09-18T02:15:51.509Z,5000,10142,0,0,5142
"Fish",Rd4XHpxbuy,2026-09-17T18:53:23.843Z,2026-09-17T19:40:07.619Z,3000,2900,0,0,-100
"Mr Bink",IRFSw7AJ_c,2026-09-17T18:46:43.154Z,2026-09-18T00:42:56.079Z,8000,9662,0,0,1662
"Heech",wzsls5Sz57,2026-09-17T18:44:47.209Z,,27000,,27075,0,75
"Neel",WyajbU_LR7,2026-09-17T18:29:37.072Z,2026-09-17T18:38:25.961Z,2000,2000,0,0,0
"yaden",4u5onOgZt7,2026-09-17T18:27:02.272Z,2026-09-17T20:13:30.165Z,2000,1938,0,0,-62
"jahan",hpHn3c2SeL,2026-09-17T18:27:02.276Z,2026-09-17T22:19:57.459Z,7000,0,0,0,-7000
"rowan",GthBpPSqaK,2026-09-17T18:27:02.247Z,,20000,,19899,0,-101
