player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Ash",XxQh91rmsL,2026-08-24T18:12:27.607Z,2026-08-24T18:32:51.060Z,3000,0,0,0,-3000
"Ash",XxQh91rmsL,2026-08-24T17:44:16.433Z,2026-08-24T17:52:53.470Z,2000,0,0,0,-2000
"Rayan",nhXZL_Cydv,2026-08-24T17:20:43.189Z,,2000,,5530,0,3530
"First 20",xZS3GKnBtu,2026-08-24T17:10:20.643Z,,2000,,2150,0,150
"Cam",5Hkt1ueeT1,2026-08-24T17:04:04.182Z,2026-08-24T17:50:00.809Z,2000,0,0,0,-2000
"Ash",XxQh91rmsL,2026-08-24T16:56:14.316Z,2026-08-24T17:42:24.750Z,2000,0,0,0,-2000
"BransonW",BP3o9IuyiX,2026-08-24T16:39:03.039Z,,4000,,1420,0,-2580
"Gabe",9mpVPy0oPx,2026-08-24T16:17:57.146Z,,2000,,2006,0,6
"Sul",thk9cMWm9U,2026-08-24T16:17:57.144Z,,2000,,2637,0,637
"rowan",GthBpPSqaK,2026-08-24T16:17:57.141Z,,3000,,10257,0,7257
