player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Mr Bink",IRFSw7AJ_c,2026-09-08T00:41:34.415Z,2026-09-08T00:58:14.882Z,5000,0,0,0,-5000
"rowan",GthBpPSqaK,2026-09-08T00:27:22.576Z,,15000,,23047,0,8047
"Fishyfish",xZS3GKnBtu,2026-09-08T00:26:40.464Z,2026-09-08T01:18:57.633Z,5000,0,0,0,-5000
"R Y A N",GO72Iwd2XL,2026-09-08T00:03:16.419Z,2026-09-08T02:52:05.774Z,20000,0,0,0,-20000
"Fishyfish",xZS3GKnBtu,2026-09-07T23:58:35.043Z,2026-09-08T00:25:35.158Z,5000,0,0,0,-5000
"jahan",iacG4hF18c,2026-09-07T23:50:35.388Z,,20000,,39666,0,19666
"Rayan",nhXZL_Cydv,2026-09-07T23:39:39.450Z,2026-09-08T02:36:35.817Z,5000,9493,0,0,4493
"cam",5Hkt1ueeT1,2026-09-07T23:38:04.210Z,,5000,,8949,0,3949
"jahan",iacG4hF18c,2026-09-07T23:36:17.460Z,2026-09-07T23:50:18.439Z,5000,0,0,0,-5000
"Will",h_ZrezeXHs,2026-09-07T23:36:17.457Z,2026-09-08T00:43:50.317Z,5000,8845,0,0,3845
