player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Cam (tiny?)",mgsJjEvydR,2026-09-16T01:46:00.778Z,2026-09-16T03:40:01.732Z,5905,0,0,0,-5905
"Will",h_ZrezeXHs,2026-09-16T01:39:54.795Z,,7500,,21635,0,14135
"Heech",wzsls5Sz57,2026-09-16T01:33:49.540Z,,33000,,34198,0,1198
"Heech",wzsls5Sz57,2026-09-16T01:21:37.209Z,2026-09-16T01:31:39.955Z,17000,33000,0,0,16000
"Mr Bink",6D7s410Ucp,2026-09-16T01:07:52.992Z,,5000,,19990,0,14990
"ken",t7ty5t1xQk,2026-09-15T22:25:28.341Z,2026-09-15T22:41:39.692Z,6000,0,0,0,-6000
"Will",h_ZrezeXHs,2026-09-15T19:31:16.481Z,2026-09-15T21:56:46.402Z,25000,7628,0,0,-17372
"Wembanyama",GO72Iwd2XL,2026-09-15T18:50:02.242Z,,12830,,22723,0,9893
"Cam (teensy)",nDyQWeHSG2,2026-09-15T18:45:55.054Z,,2345,,5905,0,3560
"Rayab",XFbUuivL6I,2026-09-15T18:45:55.058Z,2026-09-15T19:58:13.286Z,2000,4140,0,0,2140
"Vic Wem",1E3KUcL9QQ,2026-09-15T16:39:43.777Z,2026-09-15T18:49:21.859Z,2000,4830,0,0,2830
"Cam (tiny?)",mgsJjEvydR,2026-09-15T15:11:45.380Z,2026-09-15T18:45:45.063Z,2000,2345,0,0,345
"Kobe",DRSv3IR7B7,2026-09-15T14:42:15.161Z,2026-09-15T15:18:13.902Z,4000,0,0,0,-4000
"jahan",iacG4hF18c,2026-09-15T14:35:44.360Z,,20000,,37577,0,17577
"rowan",GthBpPSqaK,2026-09-15T14:31:06.995Z,,70000,,33314,0,-36686
"Jason",fYqcH1JWT_,2026-09-15T14:31:06.993Z,,4000,,4984,0,984
"Rayan",nhXZL_Cydv,2026-09-15T14:28:59.176Z,2026-09-15T20:39:06.690Z,16000,15988,0,0,-12
"Fish",Rd4XHpxbuy,2026-09-15T14:27:52.104Z,,2000,,5323,0,3323
"Heech",wzsls5Sz57,2026-09-15T14:27:52.101Z,2026-09-16T01:20:34.835Z,19000,2000,0,0,-17000
