player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Heech",wzsls5Sz57,2026-09-11T04:30:16.595Z,2026-09-11T04:36:40.055Z,963,0,0,0,-963
"Kobe",DRSv3IR7B7,2026-09-11T03:47:39.587Z,2026-09-11T05:05:34.449Z,33930,35721,0,0,1791
"Gabe",9mpVPy0oPx,2026-09-11T03:31:20.324Z,2026-09-11T04:51:02.763Z,10000,18508,0,0,8508
"Cam (tiny?)",nDyQWeHSG2,2026-09-11T00:20:06.129Z,,10572,,12992,0,2420
"jahan in n out",SNbRa1Lx6Y,2026-09-10T23:23:46.482Z,,10000,,20921,0,10921
"Jasonisinclass",fYqcH1JWT_,2026-09-10T23:01:27.462Z,2026-09-11T02:07:07.039Z,5000,0,0,0,-5000
"Kobe",DRSv3IR7B7,2026-09-10T20:22:09.249Z,2026-09-11T01:27:32.958Z,28000,33930,0,0,5930
"jahan in n out",SNbRa1Lx6Y,2026-09-10T18:56:27.148Z,2026-09-10T21:52:01.910Z,10000,0,0,0,-10000
"Mr Bink",IRFSw7AJ_c,2026-09-10T18:09:05.313Z,2026-09-11T02:03:09.930Z,15000,5768,0,0,-9232
"jahan in n out",SNbRa1Lx6Y,2026-09-10T17:43:41.915Z,2026-09-10T18:44:07.162Z,5000,0,0,0,-5000
"Cam (tiny?)",nDyQWeHSG2,2026-09-10T16:51:52.448Z,2026-09-10T20:43:12.650Z,2000,7572,0,0,5572
"Iput50onRams",XKcqCJfaWe,2026-09-10T16:02:52.366Z,2026-09-10T22:53:29.960Z,5000,14049,0,0,9049
"Quad6s",xZS3GKnBtu,2026-09-10T16:01:01.104Z,,22000,,20316,0,-1684
"Fishy",xZS3GKnBtu,2026-09-10T15:53:12.750Z,2026-09-10T15:59:07.365Z,10000,0,0,0,-10000
"Rayan",nhXZL_Cydv,2026-09-10T14:54:15.150Z,,13000,,9876,0,-3124
"R Y A N",GO72Iwd2XL,2026-09-10T14:37:26.204Z,,8000,,64000,0,56000
"Fishy",xZS3GKnBtu,2026-09-10T14:33:16.839Z,2026-09-10T15:50:50.618Z,8000,0,0,0,-8000
"Heech",wzsls5Sz57,2026-09-10T14:28:01.531Z,2026-09-11T01:58:29.461Z,69000,69963,0,0,963
"Rowan",GthBpPSqaK,2026-09-10T14:28:01.514Z,,90000,,41849,0,-48151
