player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Neel",XFbUuivL6I,2026-09-04T03:03:05.121Z,2026-09-04T03:35:17.200Z,1000,0,0,0,-1000
"rowan",GthBpPSqaK,2026-09-04T03:03:05.119Z,,10000,,10485,0,485
"Kobe",DRSv3IR7B7,2026-09-04T03:01:44.650Z,2026-09-04T03:47:19.099Z,15000,22856,0,0,7856
"Kenn",1MAe7RP1K5,2026-09-04T02:55:54.429Z,2026-09-04T02:57:06.423Z,2000,0,0,0,-2000
"notsteak",aROWDEOO-N,2026-09-04T02:46:32.385Z,2026-09-04T03:15:53.004Z,10000,0,0,0,-10000
"Ryan’s steak 2",aROWDEOO-N,2026-09-04T02:21:10.034Z,2026-09-04T02:41:14.981Z,22087,0,0,0,-22087
"jahan2",iacG4hF18c,2026-09-04T02:16:24.296Z,2026-09-04T02:17:28.874Z,50000,50000,0,0,0
"Ryan’s steak",P-FXRHakNt,2026-09-04T02:06:59.177Z,2026-09-04T02:21:47.863Z,10000,22087,0,0,12087
"Tomfish",xZS3GKnBtu,2026-09-04T02:04:08.802Z,2026-09-04T02:06:59.173Z,10000,10000,0,0,0
"Eric",eLzaYAdsC-,2026-09-04T01:10:37.480Z,2026-09-04T01:16:33.537Z,100,0,0,0,-100
"Tomfish",xZS3GKnBtu,2026-09-03T23:39:22.460Z,2026-09-04T01:57:03.861Z,15000,0,0,0,-15000
"henry",gofYqBW_uG,2026-09-03T23:15:27.365Z,2026-09-04T00:15:06.194Z,41495,45733,0,0,4238
"Tomfish",xZS3GKnBtu,2026-09-03T22:33:13.818Z,2026-09-03T23:30:08.063Z,15000,0,0,0,-15000
"Cma",5Hkt1ueeT1,2026-09-03T22:18:20.929Z,,20000,,26408,0,6408
"Tomfish",xZS3GKnBtu,2026-09-03T22:18:20.927Z,2026-09-03T22:31:45.592Z,9300,0,0,0,-9300
"jahan2",iacG4hF18c,2026-09-03T21:41:58.101Z,2026-09-04T02:02:33.784Z,23875,0,0,0,-23875
"Cenny",H7FPFDbU-m,2026-09-03T21:36:04.694Z,2026-09-04T02:55:54.425Z,4000,21967,0,0,17967
"jahan",SNbRa1Lx6Y,2026-09-03T20:18:11.642Z,2026-09-03T21:40:15.879Z,5000,3875,0,0,-1125
"henny",lXAgrxOAdx,2026-09-03T19:55:43.254Z,2026-09-03T23:11:52.073Z,40000,41495,0,0,1495
"BransonW",-thFwNBkz6,2026-09-03T19:39:27.912Z,2026-09-03T20:29:10.719Z,3000,0,0,0,-3000
"Cenny",H7FPFDbU-m,2026-09-03T18:52:30.270Z,2026-09-03T19:49:12.257Z,4000,0,0,0,-4000
"The Binkmeiser",IRFSw7AJ_c,2026-09-03T18:44:50.196Z,,15000,,35883,0,20883
"Rayan",nhXZL_Cydv,2026-09-03T18:40:33.152Z,,5000,,27876,0,22876
"rowan",GthBpPSqaK,2026-09-03T18:19:39.391Z,2026-09-04T03:01:44.644Z,10000,0,0,0,-10000
"Heech",wzsls5Sz57,2026-09-03T18:10:11.474Z,,40000,5000,70913,0,35913
"The Binkmeiser",IRFSw7AJ_c,2026-09-03T18:01:21.285Z,2026-09-03T18:09:33.862Z,5000,0,0,0,-5000
"Fishmas",xZS3GKnBtu,2026-09-03T17:54:17.648Z,2026-09-03T22:17:06.061Z,53007,9332,0,0,-43675
"Fishmas",xZS3GKnBtu,2026-09-03T17:49:53.031Z,2026-09-03T17:53:56.802Z,6000,0,0,0,-6000
"jahan",SNbRa1Lx6Y,2026-09-03T17:44:09.284Z,2026-09-03T17:53:56.795Z,5000,0,0,0,-5000
"Eric",eLzaYAdsC-,2026-09-03T17:38:00.554Z,2026-09-03T17:39:42.801Z,200,0,0,0,-200
"Jason",XKcqCJfaWe,2026-09-03T17:08:39.782Z,2026-09-03T21:45:03.653Z,5000,22610,0,0,17610
"Yaden",4u5onOgZt7,2026-09-03T17:03:27.452Z,2026-09-03T18:54:04.181Z,5000,0,0,0,-5000
"Yaden",4u5onOgZt7,2026-09-03T17:02:28.356Z,2026-09-03T17:03:17.285Z,2000,2000,0,0,0
"Ryan",GO72Iwd2XL,2026-09-03T16:59:55.987Z,,3000,10000,57326,0,64326
"Rayan",nhXZL_Cydv,2026-09-03T16:52:47.867Z,2026-09-03T18:39:47.753Z,4000,0,0,0,-4000
"Ryan",GO72Iwd2XL,2026-09-03T16:41:24.131Z,2026-09-03T16:59:18.030Z,2000,0,0,0,-2000
"Fishmas",xZS3GKnBtu,2026-09-03T16:39:21.650Z,2026-09-03T16:46:07.457Z,1000,0,0,0,-1000
"Mr Bink",IRFSw7AJ_c,2026-09-03T16:36:42.913Z,2026-09-03T17:46:09.638Z,10000,0,0,0,-10000
"Rayan",nhXZL_Cydv,2026-09-03T16:36:08.629Z,2026-09-03T16:52:18.346Z,4000,0,0,0,-4000
"Heech",wzsls5Sz57,2026-09-03T16:35:41.255Z,2026-09-03T18:09:33.856Z,5000,0,0,0,-5000
"Will",h_ZrezeXHs,2026-09-03T16:35:41.252Z,2026-09-03T18:21:38.412Z,15000,10218,0,0,-4782
