entry,at,order
"The player ""jahan 2 @ iacG4hF18c"" stand up with the stack of 383.26.",2026-09-09T00:20:17.732Z,178891321773200
"The player ""jahan 2 @ iacG4hF18c"" sit back with the stack of 383.26.",2026-09-09T00:13:27.068Z,178891280706800
"The player ""Mr Bink @ IRFSw7AJ_c"" stand up with the stack of 233.54.",2026-09-08T22:28:59.500Z,178890653950001
"The player ""jahan 2 @ iacG4hF18c"" stand up with the stack of 383.26.",2026-09-08T22:28:59.500Z,178890653950000
"-- ending hand #437 --",2026-09-08T22:28:53.567Z,178890653356702
"""Mr Bink @ IRFSw7AJ_c"" collected 1.00 from pot",2026-09-08T22:28:53.567Z,178890653356701
"Uncalled bet of 1.00 returned to ""Mr Bink @ IRFSw7AJ_c""",2026-09-08T22:28:53.567Z,178890653356700
"""jahan 2 @ iacG4hF18c"" folds",2026-09-08T22:28:52.753Z,178890653275300
"""Mr Bink @ IRFSw7AJ_c"" bets 1.00",2026-09-08T22:28:51.787Z,178890653178700
"Turn: 6♥, J♠, Q♦ [5♦]",2026-09-08T22:28:49.415Z,178890652941500
"""jahan 2 @ iacG4hF18c"" checks",2026-09-08T22:28:48.603Z,178890652860300
"""Mr Bink @ IRFSw7AJ_c"" checks",2026-09-08T22:28:47.719Z,178890652771900
"Flop:  [6♥, J♠, Q♦]",2026-09-08T22:28:46.011Z,178890652601100
"""Mr Bink @ IRFSw7AJ_c"" checks",2026-09-08T22:28:45.187Z,178890652518700
"""jahan 2 @ iacG4hF18c"" calls 0.50",2026-09-08T22:28:43.912Z,178890652391200
"""Mr Bink @ IRFSw7AJ_c"" posts a big blind of 0.50",2026-09-08T22:28:42.566Z,178890652256605
"""jahan 2 @ iacG4hF18c"" posts a small blind of 0.25",2026-09-08T22:28:42.566Z,178890652256604
"Player stacks: #3 ""jahan 2 @ iacG4hF18c"" (383.76) | #4 ""Mr Bink @ IRFSw7AJ_c"" (233.04)",2026-09-08T22:28:42.566Z,178890652256601
"-- starting hand #437 (id: ypqpj8kxaybv)  No Limit Texas Hold'em (dealer: ""jahan 2 @ iacG4hF18c"") --",2026-09-08T22:28:42.566Z,178890652256600
"-- ending hand #436 --",2026-09-08T22:28:36.659Z,178890651665902
"""jahan 2 @ iacG4hF18c"" collected 0.50 from pot",2026-09-08T22:28:36.659Z,178890651665901
"Uncalled bet of 0.25 returned to ""jahan 2 @ iacG4hF18c""",2026-09-08T22:28:36.659Z,178890651665900
"""Mr Bink @ IRFSw7AJ_c"" folds",2026-09-08T22:28:35.831Z,178890651583100
"""jahan 2 @ iacG4hF18c"" posts a big blind of 0.50",2026-09-08T22:28:34.966Z,178890651496605
"""Mr Bink @ IRFSw7AJ_c"" posts a small blind of 0.25",2026-09-08T22:28:34.966Z,178890651496604
"Player stacks: #3 ""jahan 2 @ iacG4hF18c"" (383.51) | #4 ""Mr Bink @ IRFSw7AJ_c"" (233.29)",2026-09-08T22:28:34.966Z,178890651496601
"-- starting hand #436 (id: foo7rzgse2pm)  No Limit Texas Hold'em (dealer: ""Mr Bink @ IRFSw7AJ_c"") --",2026-09-08T22:28:34.966Z,178890651496600
"-- ending hand #435 --",2026-09-08T22:28:28.890Z,178890650889003
"""Mr Bink @ IRFSw7AJ_c"" collected 12.00 from pot with Full House, 4's over Q's (combination: Q♦, Q♣, 4♥, 4♦, 4♠)",2026-09-08T22:28:28.890Z,178890650889002
"""Mr Bink @ IRFSw7AJ_c"" shows a Q♦, J♣.",2026-09-08T22:28:28.890Z,178890650889001
"""jahan 2 @ iacG4hF18c"" shows a J♦, J♠.",2026-09-08T22:28:28.890Z,178890650889000
"""jahan 2 @ iacG4hF18c"" checks",2026-09-08T22:28:28.086Z,178890650808600
"""Mr Bink @ IRFSw7AJ_c"" checks",2026-09-08T22:28:27.089Z,178890650708900
"River: 4♥, Q♣, 4♦, 2♦ [4♠]",2026-09-08T22:28:25.050Z,178890650505000
"""Mr Bink @ IRFSw7AJ_c"" calls 4.50",2026-09-08T22:28:24.192Z,178890650419200
"""jahan 2 @ iacG4hF18c"" raises to 4.50",2026-09-08T22:28:22.201Z,178890650220100
"""Mr Bink @ IRFSw7AJ_c"" bets 1.50",2026-09-08T22:28:17.276Z,178890649727600
"Turn: 4♥, Q♣, 4♦ [2♦]",2026-09-08T22:28:12.831Z,178890649283100
"""jahan 2 @ iacG4hF18c"" checks",2026-09-08T22:28:11.960Z,178890649196000
"""Mr Bink @ IRFSw7AJ_c"" checks",2026-09-08T22:28:09.307Z,178890648930700
"Flop:  [4♥, Q♣, 4♦]",2026-09-08T22:28:07.631Z,178890648763100
"""Mr Bink @ IRFSw7AJ_c"" calls 1.50",2026-09-08T22:28:06.766Z,178890648676600
"""jahan 2 @ iacG4hF18c"" raises to 1.50",2026-09-08T22:28:04.116Z,178890648411600
"""Mr Bink @ IRFSw7AJ_c"" posts a big blind of 0.50",2026-09-08T22:28:00.219Z,178890648021905
"""jahan 2 @ iacG4hF18c"" posts a small blind of 0.25",2026-09-08T22:28:00.219Z,178890648021904
"Player stacks: #3 ""jahan 2 @ iacG4hF18c"" (389.51) | #4 ""Mr Bink @ IRFSw7AJ_c"" (227.29)",2026-09-08T22:28:00.219Z,178890648021901
"-- starting hand #435 (id: p8holgznbxay)  No Limit Texas Hold'em (dealer: ""jahan 2 @ iacG4hF18c"") --",2026-09-08T22:28:00.219Z,178890648021900
"""Mr Bink @ IRFSw7AJ_c"" shows a Q♥, A♠.",2026-09-08T22:27:57.198Z,178890647719800
"-- ending hand #434 --",2026-09-08T22:27:56.570Z,178890647657002
"""jahan 2 @ iacG4hF18c"" collected 8.00 from pot",2026-09-08T22:27:56.570Z,178890647657001
"Uncalled bet of 8.00 returned to ""jahan 2 @ iacG4hF18c""",2026-09-08T22:27:56.570Z,178890647657000
"""Mr Bink @ IRFSw7AJ_c"" folds",2026-09-08T22:27:55.746Z,178890647574600
"""jahan 2 @ iacG4hF18c"" bets 8.00",2026-09-08T22:27:51.855Z,178890647185500
"River: Q♣, 2♣, 10♠, 9♣ [K♠]",2026-09-08T22:27:48.654Z,178890646865400
"""Mr Bink @ IRFSw7AJ_c"" checks",2026-09-08T22:27:47.847Z,178890646784700
