entry,at,order
"The player ""rowan @ GthBpPSqaK"" stand up with the stack of 64.06.",2026-09-13T03:18:14.778Z,178926949477800
"The player ""Gabe @ qfbDrPVgXl"" stand up with the stack of 183.34.",2026-09-13T03:18:14.642Z,178926949464200
"-- ending hand #352 --",2026-09-13T03:18:08.723Z,178926948872302
"""Gabe @ qfbDrPVgXl"" collected 1.60 from pot",2026-09-13T03:18:08.723Z,178926948872301
"Uncalled bet of 0.50 returned to ""Gabe @ qfbDrPVgXl""",2026-09-13T03:18:08.723Z,178926948872300
"""rowan @ GthBpPSqaK"" folds",2026-09-13T03:18:07.882Z,178926948788200
"""Gabe @ qfbDrPVgXl"" bets 0.50",2026-09-13T03:18:07.030Z,178926948703000
"Flop:  [3♥, A♥, 9♣]",2026-09-13T03:18:04.636Z,178926948463600
"""rowan @ GthBpPSqaK"" calls 0.80",2026-09-13T03:18:03.736Z,178926948373600
"""Gabe @ qfbDrPVgXl"" raises to 0.80",2026-09-13T03:18:02.819Z,178926948281900
"""rowan @ GthBpPSqaK"" calls 0.20",2026-09-13T03:18:00.378Z,178926948037800
"""Gabe @ qfbDrPVgXl"" posts a big blind of 0.20",2026-09-13T03:17:59.163Z,178926947916305
"""rowan @ GthBpPSqaK"" posts a small blind of 0.10",2026-09-13T03:17:59.163Z,178926947916304
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (64.86) | #9 ""Gabe @ qfbDrPVgXl"" (182.54)",2026-09-13T03:17:59.163Z,178926947916301
"-- starting hand #352 (id: fbu3ile6nebj)  No Limit Texas Hold'em (dealer: ""rowan @ GthBpPSqaK"") --",2026-09-13T03:17:59.163Z,178926947916300
"""Gabe @ qfbDrPVgXl"" shows a 3♥, 8♠.",2026-09-13T03:17:54.011Z,178926947401100
"""rowan @ GthBpPSqaK"" shows a 2♣, J♥.",2026-09-13T03:17:52.243Z,178926947224300
"-- ending hand #351 --",2026-09-13T03:17:51.757Z,178926947175702
"""rowan @ GthBpPSqaK"" collected 0.20 from pot",2026-09-13T03:17:51.757Z,178926947175701
"Uncalled bet of 0.10 returned to ""rowan @ GthBpPSqaK""",2026-09-13T03:17:51.757Z,178926947175700
"""Gabe @ qfbDrPVgXl"" folds",2026-09-13T03:17:50.843Z,178926947084300
"""rowan @ GthBpPSqaK"" posts a big blind of 0.20",2026-09-13T03:17:49.201Z,178926946920105
"""Gabe @ qfbDrPVgXl"" posts a small blind of 0.10",2026-09-13T03:17:49.201Z,178926946920104
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (64.76) | #9 ""Gabe @ qfbDrPVgXl"" (182.64)",2026-09-13T03:17:49.201Z,178926946920101
"-- starting hand #351 (id: exe52lmc1fdt)  No Limit Texas Hold'em (dealer: ""Gabe @ qfbDrPVgXl"") --",2026-09-13T03:17:49.201Z,178926946920100
"-- ending hand #350 --",2026-09-13T03:17:43.198Z,178926946319803
