entry,at,order
"The player ""Gabe @ 9mpVPy0oPx"" stand up with the stack of 45.00.",2026-09-12T21:06:43.831Z,178924720383101
"The player ""rowan @ GthBpPSqaK"" stand up with the stack of 229.81.",2026-09-12T21:06:43.831Z,178924720383100
"-- ending hand #602 --",2026-09-12T21:06:29.406Z,178924718940604
"""Gabe @ 9mpVPy0oPx"" collected 0.80 from pot with Pair, 10's (combination: J♣, K♠, A♦, 10♥, 10♣)",2026-09-12T21:06:29.406Z,178924718940603
"""rowan @ GthBpPSqaK"" collected 0.80 from pot with Pair, 10's (combination: J♦, K♠, A♦, 10♥, 10♣)",2026-09-12T21:06:29.406Z,178924718940602
"""Gabe @ 9mpVPy0oPx"" shows a 7♥, J♣.",2026-09-12T21:06:29.406Z,178924718940601
"""rowan @ GthBpPSqaK"" shows a 3♦, J♦.",2026-09-12T21:06:29.406Z,178924718940600
"""rowan @ GthBpPSqaK"" checks",2026-09-12T21:06:28.600Z,178924718860000
"""Gabe @ 9mpVPy0oPx"" checks",2026-09-12T21:06:27.629Z,178924718762900
"River: 10♥, 10♣, 4♠, K♠ [A♦]",2026-09-12T21:06:22.407Z,178924718240700
"""rowan @ GthBpPSqaK"" checks",2026-09-12T21:06:21.599Z,178924718159900
"""Gabe @ 9mpVPy0oPx"" checks",2026-09-12T21:06:20.704Z,178924718070400
"Turn: 10♥, 10♣, 4♠ [K♠]",2026-09-12T21:06:19.442Z,178924717944200
"""rowan @ GthBpPSqaK"" checks",2026-09-12T21:06:18.627Z,178924717862700
"""Gabe @ 9mpVPy0oPx"" checks",2026-09-12T21:06:17.771Z,178924717777100
"Flop:  [10♥, 10♣, 4♠]",2026-09-12T21:06:16.242Z,178924717624200
"""Gabe @ 9mpVPy0oPx"" calls 0.80",2026-09-12T21:06:15.424Z,178924717542400
"""rowan @ GthBpPSqaK"" raises to 0.80",2026-09-12T21:06:13.989Z,178924717398900
"""Gabe @ 9mpVPy0oPx"" posts a big blind of 0.20",2026-09-12T21:06:10.749Z,178924717074905
"""rowan @ GthBpPSqaK"" posts a small blind of 0.10",2026-09-12T21:06:10.749Z,178924717074904
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (229.81) | #7 ""Gabe @ 9mpVPy0oPx"" (45.00)",2026-09-12T21:06:10.749Z,178924717074901
"-- starting hand #602 (id: yt7whqtjdanc)  No Limit Texas Hold'em (dealer: ""rowan @ GthBpPSqaK"") --",2026-09-12T21:06:10.749Z,178924717074900
"-- ending hand #601 --",2026-09-12T21:06:04.797Z,178924716479702
"""Gabe @ 9mpVPy0oPx"" collected 2.00 from pot",2026-09-12T21:06:04.797Z,178924716479701
"Uncalled bet of 1.50 returned to ""Gabe @ 9mpVPy0oPx""",2026-09-12T21:06:04.797Z,178924716479700
"""rowan @ GthBpPSqaK"" folds",2026-09-12T21:06:03.979Z,178924716397900
"""Gabe @ 9mpVPy0oPx"" bets 1.50",2026-09-12T21:06:03.076Z,178924716307600
"""rowan @ GthBpPSqaK"" checks",2026-09-12T21:06:00.446Z,178924716044600
"Turn: 3♠, A♥, 8♣ [Q♦]",2026-09-12T21:05:59.843Z,178924715984300
"""rowan @ GthBpPSqaK"" calls 0.40",2026-09-12T21:05:59.020Z,178924715902000
"""Gabe @ 9mpVPy0oPx"" bets 0.40",2026-09-12T21:05:53.360Z,178924715336000
"""rowan @ GthBpPSqaK"" checks",2026-09-12T21:05:50.678Z,178924715067800
"Flop:  [3♠, A♥, 8♣]",2026-09-12T21:05:48.798Z,178924714879800
"""rowan @ GthBpPSqaK"" calls 0.60",2026-09-12T21:05:47.950Z,178924714795000
"""Gabe @ 9mpVPy0oPx"" raises to 0.60",2026-09-12T21:05:46.563Z,178924714656300
"""rowan @ GthBpPSqaK"" posts a big blind of 0.20",2026-09-12T21:05:38.789Z,178924713878905
"""Gabe @ 9mpVPy0oPx"" posts a small blind of 0.10",2026-09-12T21:05:38.789Z,178924713878904
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (230.81) | #7 ""Gabe @ 9mpVPy0oPx"" (44.00)",2026-09-12T21:05:38.789Z,178924713878901
"-- starting hand #601 (id: qfsivqnjt7gn)  No Limit Texas Hold'em (dealer: ""Gabe @ 9mpVPy0oPx"") --",2026-09-12T21:05:38.789Z,178924713878900
"-- ending hand #600 --",2026-09-12T21:05:35.830Z,178924713583002
"""rowan @ GthBpPSqaK"" collected 32.00 from pot",2026-09-12T21:05:35.830Z,178924713583001
"Uncalled bet of 16.00 returned to ""rowan @ GthBpPSqaK""",2026-09-12T21:05:35.830Z,178924713583000
"""Gabe @ 9mpVPy0oPx"" folds",2026-09-12T21:05:35.023Z,178924713502300
"""rowan @ GthBpPSqaK"" bets 16.00",2026-09-12T21:05:18.306Z,178924711830600
"""Gabe @ 9mpVPy0oPx"" checks",2026-09-12T21:05:12.965Z,178924711296500
"River: 6♣, 5♠, 10♣, 7♦ [6♦]",2026-09-12T21:05:11.971Z,178924711197100
"""rowan @ GthBpPSqaK"" calls 8.00",2026-09-12T21:05:11.072Z,178924711107200
"""Gabe @ 9mpVPy0oPx"" bets 8.00",2026-09-12T21:05:09.566Z,178924710956600
"Turn: 6♣, 5♠, 10♣ [7♦]",2026-09-12T21:04:59.534Z,178924709953400
"""Gabe @ 9mpVPy0oPx"" calls 5.00",2026-09-12T21:04:58.717Z,178924709871700
"""rowan @ GthBpPSqaK"" raises to 5.00",2026-09-12T21:04:51.137Z,178924709113700
"""Gabe @ 9mpVPy0oPx"" bets 2.00",2026-09-12T21:04:47.441Z,178924708744100
"Flop:  [6♣, 5♠, 10♣]",2026-09-12T21:04:42.369Z,178924708236900
"""rowan @ GthBpPSqaK"" calls 3.00",2026-09-12T21:04:41.547Z,178924708154700
"""Gabe @ 9mpVPy0oPx"" raises to 3.00",2026-09-12T21:04:40.294Z,178924708029400
"""rowan @ GthBpPSqaK"" raises to 1.00",2026-09-12T21:04:34.364Z,178924707436400
"""Gabe @ 9mpVPy0oPx"" posts a big blind of 0.20",2026-09-12T21:04:32.069Z,178924707206905
"""rowan @ GthBpPSqaK"" posts a small blind of 0.10",2026-09-12T21:04:32.069Z,178924707206904
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (214.81) | #7 ""Gabe @ 9mpVPy0oPx"" (60.00)",2026-09-12T21:04:32.069Z,178924707206901
"-- starting hand #600 (id: 9wfmye9thjkv)  No Limit Texas Hold'em (dealer: ""rowan @ GthBpPSqaK"") --",2026-09-12T21:04:32.069Z,178924707206900
"-- ending hand #599 --",2026-09-12T21:04:29.136Z,178924706913602
"""rowan @ GthBpPSqaK"" collected 10.00 from pot",2026-09-12T21:04:29.136Z,178924706913601
"Uncalled bet of 4.50 returned to ""rowan @ GthBpPSqaK""",2026-09-12T21:04:29.136Z,178924706913600
"""Gabe @ 9mpVPy0oPx"" folds",2026-09-12T21:04:28.318Z,178924706831800
"""rowan @ GthBpPSqaK"" raises to 7.00",2026-09-12T21:04:26.822Z,178924706682200
"""Gabe @ 9mpVPy0oPx"" bets 2.50",2026-09-12T21:04:16.735Z,178924705673500
"""rowan @ GthBpPSqaK"" checks",2026-09-12T21:04:14.019Z,178924705401900
"River: Q♠, 10♠, 9♦, 8♣ [4♠]",2026-09-12T21:04:13.251Z,178924705325100
"""rowan @ GthBpPSqaK"" calls 1.50",2026-09-12T21:04:12.414Z,178924705241400
"""Gabe @ 9mpVPy0oPx"" bets 1.50",2026-09-12T21:04:10.651Z,178924705065100
"""rowan @ GthBpPSqaK"" checks",2026-09-12T21:04:08.082Z,178924704808200
"Turn: Q♠, 10♠, 9♦ [8♣]",2026-09-12T21:04:07.719Z,178924704771900
"""rowan @ GthBpPSqaK"" calls 0.40",2026-09-12T21:04:06.894Z,178924704689400
"""Gabe @ 9mpVPy0oPx"" bets 0.40",2026-09-12T21:04:05.930Z,178924704593000
"""rowan @ GthBpPSqaK"" checks",2026-09-12T21:04:02.759Z,178924704275900
"Flop:  [Q♠, 10♠, 9♦]",2026-09-12T21:04:02.128Z,178924704212800
"""rowan @ GthBpPSqaK"" calls 0.60",2026-09-12T21:04:01.303Z,178924704130300
"""Gabe @ 9mpVPy0oPx"" raises to 0.60",2026-09-12T21:04:00.418Z,178924704041800
"""rowan @ GthBpPSqaK"" posts a big blind of 0.20",2026-09-12T21:03:58.567Z,178924703856705
"""Gabe @ 9mpVPy0oPx"" posts a small blind of 0.10",2026-09-12T21:03:58.567Z,178924703856704
