entry,at,order
"The player ""Kober @ DRSv3IR7B7"" quits the game with a stack of 322.80.",2026-09-19T06:24:33.817Z,178979907381702
"The player ""Vic of Wemb @ GO72Iwd2XL"" stand up with the stack of 500.36.",2026-09-19T06:24:33.817Z,178979907381701
"The player ""jahan @ iacG4hF18c"" stand up with the stack of 104.84.",2026-09-19T06:24:33.817Z,178979907381700
"-- ending hand #1006 --",2026-09-19T06:24:26.851Z,178979906685102
"""Vic of Wemb @ GO72Iwd2XL"" collected 0.50 from pot",2026-09-19T06:24:26.851Z,178979906685101
"Uncalled bet of 0.25 returned to ""Vic of Wemb @ GO72Iwd2XL""",2026-09-19T06:24:26.851Z,178979906685100
"""jahan @ iacG4hF18c"" folds",2026-09-19T06:24:25.988Z,178979906598800
"""rowan @ GthBpPSqaK"" folds",2026-09-19T06:24:25.107Z,178979906510700
"""Vic of Wemb @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-19T06:24:23.506Z,178979906350607
"""jahan @ iacG4hF18c"" posts a small blind of 0.25",2026-09-19T06:24:23.506Z,178979906350606
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (115.16) | #3 ""jahan @ iacG4hF18c"" (105.09) | #10 ""Vic of Wemb @ GO72Iwd2XL"" (500.11)",2026-09-19T06:24:23.506Z,178979906350602
"-- starting hand #1006 (id: xazpqqbt1fwz)  No Limit Texas Hold'em (dealer: ""rowan @ GthBpPSqaK"") --",2026-09-19T06:24:23.506Z,178979906350601
"The player ""Kober @ DRSv3IR7B7"" stand up with the stack of 322.80.",2026-09-19T06:24:23.506Z,178979906350600
"""rowan @ GthBpPSqaK"" shows a 2♥, 10♥.",2026-09-19T06:24:20.894Z,178979906089400
"""Vic of Wemb @ GO72Iwd2XL"" shows a A♠, K♣.",2026-09-19T06:24:16.876Z,178979905687600
"-- ending hand #1005 --",2026-09-19T06:24:16.183Z,178979905618302
"""Vic of Wemb @ GO72Iwd2XL"" collected 7.50 from pot",2026-09-19T06:24:16.183Z,178979905618301
"Uncalled bet of 5.50 returned to ""Vic of Wemb @ GO72Iwd2XL""",2026-09-19T06:24:16.183Z,178979905618300
"""jahan @ iacG4hF18c"" folds",2026-09-19T06:24:15.301Z,178979905530100
"""rowan @ GthBpPSqaK"" folds",2026-09-19T06:24:14.464Z,178979905446400
"""Vic of Wemb @ GO72Iwd2XL"" bets 5.50",2026-09-19T06:24:12.493Z,178979905249300
"""jahan @ iacG4hF18c"" checks",2026-09-19T06:24:08.543Z,178979904854300
"""rowan @ GthBpPSqaK"" checks",2026-09-19T06:24:07.629Z,178979904762900
"Flop:  [J♦, J♣, 7♣]",2026-09-19T06:24:05.803Z,178979904580300
"""jahan @ iacG4hF18c"" calls 2.50",2026-09-19T06:24:04.993Z,178979904499300
