entry,at,order
"The player ""jahan @ iacG4hF18c"" canceled the seat request.",2026-09-13T19:16:39.304Z,178932699930400
"The player ""jahan @ iacG4hF18c"" requested a seat.",2026-09-13T19:16:37.810Z,178932699781000
"The player ""jahan @ iacG4hF18c"" canceled the seat request.",2026-09-13T19:16:32.829Z,178932699282900
"The player ""jahan @ iacG4hF18c"" requested a seat.",2026-09-13T19:16:31.254Z,178932699125400
"The player ""jahan @ iacG4hF18c"" canceled the seat request.",2026-09-13T19:14:55.631Z,178932689563100
"The player ""jahan @ iacG4hF18c"" requested a seat.",2026-09-13T18:59:12.677Z,178932595267700
"The player ""Mr Bloodthirst @ 6D7s410Ucp"" stand up with the stack of 91.95.",2026-09-13T17:00:30.176Z,178931883017600
"-- ending hand #239 --",2026-09-13T17:00:24.190Z,178931882419002
"""rowan @ GthBpPSqaK"" collected 0.20 from pot",2026-09-13T17:00:24.190Z,178931882419001
"Uncalled bet of 0.10 returned to ""rowan @ GthBpPSqaK""",2026-09-13T17:00:24.190Z,178931882419000
"""Mr Bloodthirst @ 6D7s410Ucp"" folds",2026-09-13T17:00:23.330Z,178931882333000
"""rowan @ GthBpPSqaK"" posts a big blind of 0.20",2026-09-13T17:00:21.659Z,178931882165905
"""Mr Bloodthirst @ 6D7s410Ucp"" posts a small blind of 0.10",2026-09-13T17:00:21.659Z,178931882165904
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (92.95) | #2 ""Mr Bloodthirst @ 6D7s410Ucp"" (92.05)",2026-09-13T17:00:21.659Z,178931882165901
"-- starting hand #239 (id: zv8qmxbk9wie)  No Limit Texas Hold'em (dealer: ""Mr Bloodthirst @ 6D7s410Ucp"") --",2026-09-13T17:00:21.659Z,178931882165900
"""Mr Bloodthirst @ 6D7s410Ucp"" shows a A♣, 2♥.",2026-09-13T17:00:19.423Z,178931881942300
"-- ending hand #238 --",2026-09-13T17:00:15.052Z,178931881505202
"""rowan @ GthBpPSqaK"" collected 2.00 from pot",2026-09-13T17:00:15.052Z,178931881505201
"Uncalled bet of 1.00 returned to ""rowan @ GthBpPSqaK""",2026-09-13T17:00:15.052Z,178931881505200
"""Mr Bloodthirst @ 6D7s410Ucp"" folds",2026-09-13T17:00:14.237Z,178931881423700
"""rowan @ GthBpPSqaK"" bets 1.00",2026-09-13T17:00:13.335Z,178931881333500
"""Mr Bloodthirst @ 6D7s410Ucp"" checks",2026-09-13T17:00:10.765Z,178931881076500
"Flop:  [10♦, 9♦, K♣]",2026-09-13T17:00:09.459Z,178931880945900
"""Mr Bloodthirst @ 6D7s410Ucp"" calls 1.00",2026-09-13T17:00:08.597Z,178931880859700
"""rowan @ GthBpPSqaK"" raises to 1.00",2026-09-13T17:00:07.120Z,178931880712000
"""Mr Bloodthirst @ 6D7s410Ucp"" posts a big blind of 0.20",2026-09-13T17:00:04.988Z,178931880498805
"""rowan @ GthBpPSqaK"" posts a small blind of 0.10",2026-09-13T17:00:04.988Z,178931880498804
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (91.95) | #2 ""Mr Bloodthirst @ 6D7s410Ucp"" (93.05)",2026-09-13T17:00:04.988Z,178931880498801
"-- starting hand #238 (id: uvxn5ochr49k)  No Limit Texas Hold'em (dealer: ""rowan @ GthBpPSqaK"") --",2026-09-13T17:00:04.988Z,178931880498800
"-- ending hand #237 --",2026-09-13T16:59:59.075Z,178931879907502
"""rowan @ GthBpPSqaK"" collected 0.20 from pot",2026-09-13T16:59:59.075Z,178931879907501
"Uncalled bet of 0.10 returned to ""rowan @ GthBpPSqaK""",2026-09-13T16:59:59.075Z,178931879907500
"""Mr Bloodthirst @ 6D7s410Ucp"" folds",2026-09-13T16:59:58.260Z,178931879826000
"""rowan @ GthBpPSqaK"" posts a big blind of 0.20",2026-09-13T16:59:54.951Z,178931879495105
"""Mr Bloodthirst @ 6D7s410Ucp"" posts a small blind of 0.10",2026-09-13T16:59:54.951Z,178931879495104
