entry,at,order
"The player ""cam @ 5Hkt1ueeT1"" stand up with the stack of 155.68.",2026-09-07T22:01:39.461Z,178881849946101
"The player ""jahan @ SNbRa1Lx6Y"" stand up with the stack of 206.00.",2026-09-07T22:01:39.461Z,178881849946100
"-- ending hand #515 --",2026-09-07T22:01:36.538Z,178881849653802
"""cam @ 5Hkt1ueeT1"" collected 0.50 from pot",2026-09-07T22:01:36.538Z,178881849653801
"Uncalled bet of 0.25 returned to ""cam @ 5Hkt1ueeT1""",2026-09-07T22:01:36.538Z,178881849653800
"""jahan @ SNbRa1Lx6Y"" folds",2026-09-07T22:01:35.674Z,178881849567400
"""cam @ 5Hkt1ueeT1"" posts a big blind of 0.50",2026-09-07T22:01:34.064Z,178881849406406
"""jahan @ SNbRa1Lx6Y"" posts a small blind of 0.25",2026-09-07T22:01:34.064Z,178881849406405
"Your hand is 2♥, 10♣",2026-09-07T22:01:34.064Z,178881849406403
"Player stacks: #1 ""cam @ 5Hkt1ueeT1"" (155.43) | #9 ""jahan @ SNbRa1Lx6Y"" (206.25)",2026-09-07T22:01:34.064Z,178881849406402
"-- starting hand #515 (id: 7c2kcmcandg0)  No Limit Texas Hold'em (dealer: ""jahan @ SNbRa1Lx6Y"") --",2026-09-07T22:01:34.064Z,178881849406401
"The player ""R Y A N @ GO72Iwd2XL"" stand up with the stack of 22.64.",2026-09-07T22:01:34.064Z,178881849406400
"Undealt cards: J♣, A♠, 9♥, 5♥ [10♥]",2026-09-07T22:01:28.346Z,178881848834600
"-- ending hand #514 --",2026-09-07T22:01:28.146Z,178881848814602
"""cam @ 5Hkt1ueeT1"" collected 15.00 from pot",2026-09-07T22:01:28.146Z,178881848814601
"Uncalled bet of 11.25 returned to ""cam @ 5Hkt1ueeT1""",2026-09-07T22:01:28.146Z,178881848814600
"""jahan @ SNbRa1Lx6Y"" folds",2026-09-07T22:01:27.285Z,178881848728500
"""cam @ 5Hkt1ueeT1"" bets 11.25",2026-09-07T22:01:25.218Z,178881848521800
"""jahan @ SNbRa1Lx6Y"" checks",2026-09-07T22:01:22.467Z,178881848246700
"Turn: J♣, A♠, 9♥ [5♥]",2026-09-07T22:01:20.744Z,178881848074400
"""jahan @ SNbRa1Lx6Y"" calls 2.50",2026-09-07T22:01:19.910Z,178881847991000
"""cam @ 5Hkt1ueeT1"" bets 2.50",2026-09-07T22:01:18.907Z,178881847890700
"""jahan @ SNbRa1Lx6Y"" checks",2026-09-07T22:01:12.913Z,178881847291300
"Flop:  [J♣, A♠, 9♥]",2026-09-07T22:01:10.338Z,178881847033800
"""cam @ 5Hkt1ueeT1"" calls 5.00",2026-09-07T22:01:09.467Z,178881846946700
"""jahan @ SNbRa1Lx6Y"" raises to 5.00",2026-09-07T22:01:07.616Z,178881846761600
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-07T22:01:02.008Z,178881846200800
"""cam @ 5Hkt1ueeT1"" posts a big blind of 0.50",2026-09-07T22:00:57.396Z,178881845739608
