player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"R Y A N",GO72Iwd2XL,2026-09-08T21:53:24.081Z,,7000,,10672,0,3672
"Mr Bink",IRFSw7AJ_c,2026-09-08T21:05:26.112Z,,20668,,23354,0,2686
"Kobe",DRSv3IR7B7,2026-09-08T20:37:27.550Z,2026-09-08T22:25:25.621Z,10000,21408,0,0,11408
"Will",h_ZrezeXHs,2026-09-08T20:03:40.810Z,2026-09-08T21:02:53.277Z,10000,7184,0,0,-2816
"jahan 2",iacG4hF18c,2026-09-08T19:59:33.346Z,,10000,,38326,0,28326
"Will",h_ZrezeXHs,2026-09-08T19:24:45.447Z,2026-09-08T19:51:11.719Z,15000,0,0,0,-15000
"R Y A N",GO72Iwd2XL,2026-09-08T17:20:43.161Z,2026-09-08T21:41:02.435Z,35000,0,0,0,-35000
"Binkputer",6D7s410Ucp,2026-09-08T17:13:11.383Z,,8667,,5668,0,-2999
"Yaden",4u5onOgZt7,2026-09-08T16:50:38.093Z,2026-09-08T17:20:03.447Z,4000,0,0,0,-4000
"Rayan",nhXZL_Cydv,2026-09-08T16:48:16.794Z,,15000,,15087,0,87
"jahan 30 min",SNbRa1Lx6Y,2026-09-08T16:35:59.892Z,2026-09-08T17:32:08.277Z,12500,0,0,0,-12500
"1bulletonly",xZS3GKnBtu,2026-09-08T16:31:23.763Z,,5000,,22203,0,17203
"Mr Bink",IRFSw7AJ_c,2026-09-08T16:30:38.085Z,2026-09-08T17:13:11.380Z,20000,8667,0,0,-11333
"Heech",wzsls5Sz57,2026-09-08T16:29:56.845Z,,5000,,5255,0,255
"rowan",GthBpPSqaK,2026-09-08T16:29:56.842Z,,10000,,30011,0,20011
