player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Kingsley",AHesr02ma5,2026-09-21T01:48:44.680Z,2026-09-21T02:30:55.356Z,2000,1802,0,0,-198
"Rowanfr",GthBpPSqaK,2026-09-21T01:35:55.743Z,2026-09-21T02:32:25.551Z,5500,0,0,0,-5500
"Sawyer",BlbikwxqHp,2026-09-21T01:35:55.740Z,2026-09-21T02:05:51.292Z,2000,0,0,0,-2000
"Rayan",nhXZL_Cydv,2026-09-21T01:26:23.516Z,2026-09-21T02:57:55.785Z,5000,0,0,0,-5000
"Kenn",1MAe7RP1K5,2026-09-21T01:23:07.703Z,2026-09-21T01:34:42.810Z,2000,0,0,0,-2000
"Kenn",1MAe7RP1K5,2026-09-21T01:20:07.700Z,2026-09-21T01:21:58.227Z,2000,0,0,0,-2000
"Rowanfr",GthBpPSqaK,2026-09-21T01:18:35.042Z,2026-09-21T01:34:42.805Z,2000,0,0,0,-2000
"Rowan",qgUU_tAS6Q,2026-09-21T01:17:48.613Z,2026-09-21T01:18:35.039Z,2000,2000,0,0,0
"Kingsley",AHesr02ma5,2026-09-21T01:16:14.837Z,2026-09-21T01:48:04.739Z,2000,0,0,0,-2000
"Sawyer",BlbikwxqHp,2026-09-21T01:14:35.876Z,2026-09-21T01:34:42.798Z,2000,0,0,0,-2000
"Heech",UXn8-VfrPb,2026-09-21T01:11:36.139Z,,8000,3000,5465,0,465
"Rayan",nhXZL_Cydv,2026-09-20T22:27:24.864Z,2026-09-20T22:46:30.266Z,3000,0,0,0,-3000
"Cam (tiny?)",eWUSzBpS1d,2026-09-20T22:20:40.342Z,,7000,,12925,0,5925
"Neel",WyajbU_LR7,2026-09-20T22:16:51.155Z,2026-09-20T22:29:48.759Z,1000,2975,0,0,1975
"Neel",WyajbU_LR7,2026-09-20T21:45:33.100Z,2026-09-20T22:15:31.257Z,2000,0,0,0,-2000
"JJ",UhN2CSq8yk,2026-09-20T21:40:44.764Z,2026-09-21T01:23:07.699Z,10278,13928,0,0,3650
"Jason",fYqcH1JWT_,2026-09-20T21:13:43.577Z,2026-09-20T22:58:22.563Z,4000,0,0,0,-4000
"Fish",Rd4XHpxbuy,2026-09-20T21:12:21.398Z,,10000,,18827,0,8827
"Victor W",GO72Iwd2XL,2026-09-20T20:15:21.784Z,,5000,,34028,0,29028
"Victor W",GO72Iwd2XL,2026-09-20T20:05:18.640Z,2026-09-20T20:14:04.054Z,3000,0,0,0,-3000
"Sawyer",BlbikwxqHp,2026-09-20T20:04:06.448Z,2026-09-20T20:06:51.900Z,2000,0,0,0,-2000
"Sawyer",BlbikwxqHp,2026-09-20T19:56:20.473Z,2026-09-20T20:03:42.772Z,2000,0,0,0,-2000
"Rayan",nhXZL_Cydv,2026-09-20T19:44:57.722Z,2026-09-20T22:05:48.514Z,4000,0,0,0,-4000
"jahan",iacG4hF18c,2026-09-20T19:39:31.502Z,,3000,,11946,0,8946
"Victor W",GO72Iwd2XL,2026-09-20T19:39:31.497Z,2026-09-20T20:05:00.141Z,2000,0,0,0,-2000
"Will",h_ZrezeXHs,2026-09-20T19:39:31.491Z,2026-09-20T21:10:31.897Z,25000,10882,0,0,-14118
