player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"The Binkmieste",6D7s410Ucp,2026-09-01T00:48:17.596Z,,5767,,5736,0,-31
"Rayan",nhXZL_Cydv,2026-09-01T00:31:07.452Z,,5000,,5014,0,14
"BransonW",BP3o9IuyiX,2026-09-01T00:31:07.449Z,,3000,,3400,0,400
"Ryan",9r2MUgxwHG,2026-09-01T00:08:22.664Z,2026-09-01T00:22:51.078Z,3000,0,0,0,-3000
"Ryan",9r2MUgxwHG,2026-08-31T23:23:11.831Z,2026-08-31T23:30:37.696Z,2000,0,0,0,-2000
"Ryan",9r2MUgxwHG,2026-08-31T22:42:30.290Z,2026-08-31T23:22:20.730Z,5000,0,0,0,-5000
"Will",h_ZrezeXHs,2026-08-31T22:02:16.659Z,,10000,,20040,0,10040
"Heech",wzsls5Sz57,2026-08-31T21:13:49.370Z,,9000,,16634,0,7634
"Asher",ehOpqpKHMS,2026-08-31T18:46:20.764Z,2026-08-31T19:04:03.962Z,2000,0,0,0,-2000
"Cenny",H7FPFDbU-m,2026-08-31T18:14:47.885Z,,5000,,4450,0,-550
"jaan",iacG4hF18c,2026-08-31T17:39:56.425Z,,7000,,27832,0,20832
"Gabe",9mpVPy0oPx,2026-08-31T17:00:10.260Z,2026-08-31T18:51:09.703Z,5000,8099,0,0,3099
"Cenny",H7FPFDbU-m,2026-08-31T16:58:40.275Z,2026-08-31T18:13:06.741Z,5000,0,0,0,-5000
"Ryan",9r2MUgxwHG,2026-08-31T16:55:43.673Z,2026-08-31T22:13:02.010Z,5000,0,0,0,-5000
"Rayan",nhXZL_Cydv,2026-08-31T16:52:30.281Z,2026-09-01T00:30:12.262Z,15000,0,0,0,-15000
"jaan",iacG4hF18c,2026-08-31T16:47:43.686Z,2026-08-31T17:32:42.358Z,8000,0,0,0,-8000
"Tomfishy",LcvUbhOvOj,2026-08-31T16:36:26.721Z,,6000,,25483,0,19483
"Cam",5Hkt1ueeT1,2026-08-31T15:57:59.382Z,,25000,,13213,0,-11787
"Mr Bink",IRFSw7AJ_c,2026-08-31T15:54:52.738Z,2026-09-01T00:47:35.365Z,4000,5767,0,0,1767
"rowan",GthBpPSqaK,2026-08-31T15:54:52.734Z,,25000,,19099,0,-5901
