player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Gabe",9mpVPy0oPx,2026-09-22T05:59:14.283Z,,10000,,15106,0,5106
"jahan 2",iacG4hF18c,2026-09-22T05:24:41.975Z,,19306,,21263,0,1957
"Vih",GO72Iwd2XL,2026-09-22T05:20:12.972Z,2026-09-22T05:45:18.081Z,10000,0,0,0,-10000
"Bink",IRFSw7AJ_c,2026-09-22T05:20:12.967Z,,15000,,12738,0,-2262
"jahan",UhN2CSq8yk,2026-09-22T04:19:21.146Z,,10000,,19306,0,9306
"Kober",DRSv3IR7B7,2026-09-22T03:38:33.774Z,,10000,,26050,0,16050
"Kenn",1MAe7RP1K5,2026-09-22T03:21:11.424Z,2026-09-22T03:32:35.543Z,2000,0,0,0,-2000
"Bink",IRFSw7AJ_c,2026-09-22T03:08:14.810Z,2026-09-22T05:16:38.841Z,5000,0,0,0,-5000
"Bink",IRFSw7AJ_c,2026-09-22T02:46:57.901Z,2026-09-22T03:06:28.379Z,15370,0,0,0,-15370
"1 BB",lowMFwgJRa,2026-09-22T02:21:17.134Z,2026-09-22T02:36:21.490Z,200,0,0,0,-200
"Jason",fYqcH1JWT_,2026-09-22T02:13:56.799Z,2026-09-22T04:06:45.077Z,5000,0,0,0,-5000
"cam (tiny?)",5Hkt1ueeT1,2026-09-22T02:10:01.567Z,,5000,,5025,0,25
"Neel",WyajbU_LR7,2026-09-22T02:04:43.264Z,2026-09-22T03:05:13.000Z,2000,0,0,0,-2000
"Fih",Rd4XHpxbuy,2026-09-22T01:22:39.044Z,,16000,,17055,0,1055
"rowan",GthBpPSqaK,2026-09-22T01:06:47.462Z,,5000,,36157,0,31157
"Ggfrickinez",wzsls5Sz57,2026-09-22T00:28:08.153Z,,37000,,41720,0,4720
"Vih",GO72Iwd2XL,2026-09-21T23:29:42.497Z,2026-09-22T05:14:58.466Z,30000,0,0,0,-30000
"Neel",WyajbU_LR7,2026-09-21T23:19:19.552Z,2026-09-22T00:00:55.685Z,3000,0,0,0,-3000
"Bink",IRFSw7AJ_c,2026-09-21T23:13:02.892Z,2026-09-22T00:42:13.232Z,2000,15570,0,0,13570
"Rayan",nhXZL_Cydv,2026-09-21T23:09:05.832Z,2026-09-22T03:22:24.022Z,2500,4386,0,0,1886
"rowan",GthBpPSqaK,2026-09-21T23:08:20.409Z,2026-09-22T00:28:08.145Z,5000,0,0,0,-5000
"jahan",UhN2CSq8yk,2026-09-21T23:08:20.405Z,2026-09-22T04:18:24.103Z,5000,0,0,0,-5000
