player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Cenny",H7FPFDbU-m,2026-09-12T19:14:08.675Z,,2000,,1860,0,-140
"Rayan",nhXZL_Cydv,2026-09-12T19:01:54.752Z,,5500,,16659,0,11159
"Rayan",nhXZL_Cydv,2026-09-12T18:11:58.619Z,2026-09-12T18:58:03.891Z,2500,0,0,0,-2500
"Gabe",9mpVPy0oPx,2026-09-12T18:02:38.054Z,,4000,,4500,0,500
"Artemis",OXC5WHbqOT,2026-09-12T17:58:12.444Z,2026-09-12T18:43:40.218Z,2000,0,0,0,-2000
"Rayan",nhXZL_Cydv,2026-09-12T17:52:32.609Z,2026-09-12T18:10:45.733Z,2000,0,0,0,-2000
"cam wait4train",nDyQWeHSG2,2026-09-12T17:47:37.010Z,2026-09-12T19:13:08.672Z,2000,0,0,0,-2000
"Artemis",OXC5WHbqOT,2026-09-12T17:43:44.683Z,2026-09-12T17:56:25.909Z,3000,0,0,0,-3000
"Will",h_ZrezeXHs,2026-09-12T17:24:50.992Z,2026-09-12T20:40:12.313Z,10000,0,0,0,-10000
"Mr Bink",IRFSw7AJ_c,2026-09-12T15:48:36.585Z,,7000,,15000,0,8000
"JJJ",iacG4hF18c,2026-09-12T15:45:46.685Z,2026-09-12T20:32:58.395Z,15000,0,0,0,-15000
"rowan",GthBpPSqaK,2026-09-12T15:45:46.681Z,,6000,,22981,0,16981
