player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Dihh",GO72Iwd2XL,2026-09-23T03:42:31.611Z,,12500,,20039,0,7539
"Rayans",nhXZL_Cydv,2026-09-23T00:55:08.136Z,,26418,,9169,0,-17249
"cam (tiny?)",eWUSzBpS1d,2026-09-23T00:39:08.829Z,,15000,,8587,0,-6413
"Neel",XFbUuivL6I,2026-09-23T00:30:10.791Z,2026-09-23T00:54:41.500Z,2000,4901,0,0,2901
"Dih",1E3KUcL9QQ,2026-09-23T00:09:20.583Z,,7699,,25749,0,18050
"Binkputer 2",6D7s410Ucp,2026-09-22T23:10:33.964Z,2026-09-22T23:11:29.894Z,25000,0,0,0,-25000
"Binkputer 2",6D7s410Ucp,2026-09-22T22:52:00.651Z,2026-09-22T23:09:35.147Z,26972,0,0,0,-26972
"Vih of Wih",GO72Iwd2XL,2026-09-22T22:28:18.156Z,2026-09-23T03:41:51.378Z,118125,90000,0,0,-28125
"Nel",WyajbU_LR7,2026-09-22T22:06:55.055Z,2026-09-22T22:27:03.779Z,2000,2900,0,0,900
"24242424242424",DRSv3IR7B7,2026-09-22T20:58:32.469Z,,25000,,108089,0,83089
"Neel",XFbUuivL6I,2026-09-22T20:36:07.790Z,2026-09-22T22:51:27.245Z,1000,2087,0,0,1087
"Will",h_ZrezeXHs,2026-09-22T20:05:38.788Z,,15000,,36229,0,21229
"Wemby",GO72Iwd2XL,2026-09-22T20:05:38.773Z,2026-09-22T21:53:09.384Z,35000,0,0,0,-35000
"Bink 2",E5PKCbq-wG,2026-09-22T19:03:26.539Z,2026-09-22T22:54:03.640Z,11000,26972,0,0,15972
"Neel",XFbUuivL6I,2026-09-22T18:27:07.786Z,2026-09-22T20:20:31.677Z,2000,0,0,0,-2000
"Neel",XFbUuivL6I,2026-09-22T18:11:34.075Z,2026-09-22T18:18:54.050Z,1775,0,0,0,-1775
"Rayans",nhXZL_Cydv,2026-09-22T17:54:58.596Z,2026-09-22T19:17:21.050Z,5000,26418,0,0,21418
"Wemby",GO72Iwd2XL,2026-09-22T17:14:21.122Z,2026-09-22T19:09:05.023Z,25000,20000,0,0,-5000
"Binkputer",iNHBFVRnIS,2026-09-22T16:34:34.558Z,2026-09-22T22:53:13.813Z,8748,11000,0,0,2252
"Neel",XFbUuivL6I,2026-09-22T16:26:06.067Z,2026-09-22T16:28:00.324Z,3800,3575,0,0,-225
"Fish",Rd4XHpxbuy,2026-09-22T16:08:09.700Z,,26000,,27138,0,1138
"24242424242424",DRSv3IR7B7,2026-09-22T15:57:51.589Z,2026-09-22T18:17:55.487Z,15000,0,0,0,-15000
"Bink",IRFSw7AJ_c,2026-09-22T15:57:05.860Z,2026-09-22T19:02:44.875Z,20670,8748,0,0,-11922
"Rayans",nhXZL_Cydv,2026-09-22T14:59:36.398Z,2026-09-22T15:53:16.128Z,1000,0,0,0,-1000
"24242424242424",DRSv3IR7B7,2026-09-22T14:46:47.003Z,2026-09-22T15:51:01.512Z,14400,0,0,0,-14400
"Heech2",wzsls5Sz57,2026-09-22T14:44:56.500Z,,28300,15000,14873,0,1573
"rowan",GthBpPSqaK,2026-09-22T14:41:15.338Z,,2000,,25945,0,23945
"JJ",iacG4hF18c,2026-09-22T14:14:02.865Z,,12000,,5188,0,-6812
"ken",1MAe7RP1K5,2026-09-22T14:04:37.045Z,2026-09-22T16:08:09.694Z,6000,0,0,0,-6000
"Heech",UXn8-VfrPb,2026-09-22T14:04:37.040Z,2026-09-22T14:43:14.029Z,9000,10800,0,0,1800
