player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Kenn",1MAe7RP1K5,2026-09-19T02:44:25.765Z,2026-09-19T03:02:26.833Z,4000,0,0,0,-4000
"Will",h_ZrezeXHs,2026-09-19T01:42:44.014Z,,16000,,18958,0,2958
"Vic of Wemb",GO72Iwd2XL,2026-09-18T22:08:45.669Z,,16000,,50036,0,34036
"jahan",iacG4hF18c,2026-09-18T21:17:15.393Z,,7500,,10484,0,2984
"jamie",pL_pd5IgIf,2026-09-18T21:07:56.278Z,2026-09-18T22:46:03.393Z,12000,4417,0,0,-7583
"Neel",WyajbU_LR7,2026-09-18T20:53:12.726Z,2026-09-18T22:53:54.721Z,5000,11980,0,0,6980
"Kober",DRSv3IR7B7,2026-09-18T20:07:04.175Z,2026-09-19T06:24:33.822Z,15000,32280,0,0,17280
"jahan",iacG4hF18c,2026-09-18T19:52:55.781Z,2026-09-18T21:02:13.135Z,5000,0,0,0,-5000
"Cam (tiny?)",5Hkt1ueeT1,2026-09-18T19:30:36.946Z,,4000,,5979,0,1979
"Rayan2",58hxHwl-DR,2026-09-18T19:19:56.065Z,,10813,,2737,0,-8076
"Will",h_ZrezeXHs,2026-09-18T18:28:36.929Z,2026-09-18T19:08:04.123Z,4000,5073,0,0,1073
"Ken",xm-nOnguzA,2026-09-18T18:27:17.009Z,2026-09-18T18:35:25.856Z,2000,0,0,0,-2000
"Jason",XKcqCJfaWe,2026-09-18T18:00:12.686Z,2026-09-18T18:05:48.951Z,2000,0,0,0,-2000
"Bink",IRFSw7AJ_c,2026-09-18T17:55:25.361Z,2026-09-18T20:57:58.834Z,12000,17040,0,0,5040
"Jason",XKcqCJfaWe,2026-09-18T17:54:46.588Z,2026-09-18T17:57:39.596Z,2500,0,0,0,-2500
"Rayan",nhXZL_Cydv,2026-09-18T17:53:42.871Z,2026-09-19T05:21:36.489Z,2500,12313,0,0,9813
"Wemby",GO72Iwd2XL,2026-09-18T17:40:38.963Z,2026-09-18T21:58:57.823Z,30000,0,0,0,-30000
"Jason",XKcqCJfaWe,2026-09-18T17:32:22.264Z,2026-09-18T17:53:42.866Z,2500,0,0,0,-2500
"rowan",GthBpPSqaK,2026-09-18T17:32:22.260Z,,30000,,11516,0,-18484
