player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"BransonW",-thFwNBkz6,2026-09-05T23:22:32.574Z,,3000,,3038,0,38
"The Binkmieser",IRFSw7AJ_c,2026-09-05T22:53:27.712Z,,14436,,22251,0,7815
"Rayan",nhXZL_Cydv,2026-09-05T22:35:52.261Z,,7500,,20297,0,12797
"Cam (punt?)",nDyQWeHSG2,2026-09-05T22:14:18.239Z,,2000,,7682,0,5682
"Rayan",nhXZL_Cydv,2026-09-05T22:09:55.162Z,2026-09-05T22:35:24.712Z,5000,0,0,0,-5000
"Rayan",nhXZL_Cydv,2026-09-05T20:46:36.564Z,2026-09-05T22:09:02.905Z,4500,0,0,0,-4500
"Rayan",nhXZL_Cydv,2026-09-05T20:38:22.176Z,2026-09-05T20:45:43.709Z,3000,0,0,0,-3000
"Fish",xZS3GKnBtu,2026-09-05T20:34:36.422Z,2026-09-05T22:41:28.210Z,28849,0,0,0,-28849
"Heech",wzsls5Sz57,2026-09-05T20:09:19.649Z,,5000,,4862,0,-138
"Gabe",qfbDrPVgXl,2026-09-05T19:51:48.126Z,2026-09-05T20:19:20.045Z,4500,0,0,0,-4500
"sul",thk9cMWm9U,2026-09-05T19:49:15.845Z,2026-09-05T20:21:32.936Z,6500,0,0,0,-6500
"Jason",XKcqCJfaWe,2026-09-05T19:01:19.464Z,2026-09-05T19:39:41.580Z,2000,0,0,0,-2000
"ken",t7ty5t1xQk,2026-09-05T18:57:45.750Z,2026-09-05T19:15:46.385Z,2000,0,0,0,-2000
"ken",t7ty5t1xQk,2026-09-05T18:52:51.701Z,2026-09-05T18:56:25.052Z,2000,0,0,0,-2000
"Will",h_ZrezeXHs,2026-09-05T18:52:51.698Z,,10000,,19615,0,9615
"Sab",IeyBktLneC,2026-09-05T18:48:27.487Z,2026-09-05T19:41:39.996Z,1000,4001,0,0,3001
"Mr Bink",iNHBFVRnIS,2026-09-05T18:48:02.310Z,2026-09-05T21:35:02.352Z,10000,14436,0,0,4436
"R Y A N",GO72Iwd2XL,2026-09-05T18:32:44.689Z,,20000,,22517,0,2517
"jahan",iacG4hF18c,2026-09-05T18:32:44.687Z,,2000,,16586,0,14586
"Mr Bink",iNHBFVRnIS,2026-09-05T18:32:44.685Z,2026-09-05T18:47:42.715Z,2000,0,0,0,-2000
