player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Cam (teensy)",5Hkt1ueeT1,2026-09-17T02:22:34.373Z,,5000,,10067,0,5067
"jamie",pL_pd5IgIf,2026-09-16T22:41:03.110Z,,65000,,72053,0,7053
"Kobe",DRSv3IR7B7,2026-09-16T22:38:11.053Z,2026-09-17T01:49:00.177Z,20000,0,0,0,-20000
"Neel",XFbUuivL6I,2026-09-16T21:41:53.400Z,2026-09-16T22:54:40.263Z,4000,0,0,0,-4000
"rowan",GthBpPSqaK,2026-09-16T21:19:24.198Z,,6000,,5796,0,-204
"Will",h_ZrezeXHs,2026-09-16T21:02:49.254Z,,8000,,46752,0,38752
"Wemby",GO72Iwd2XL,2026-09-16T21:01:20.458Z,,25000,,19108,0,-5892
"Rayan",nhXZL_Cydv,2026-09-16T20:50:13.932Z,,27500,,6896,0,-20604
"Bink",IRFSw7AJ_c,2026-09-16T20:50:13.925Z,,2000,,11828,0,9828
"jahan",iacG4hF18c,2026-09-16T20:50:13.928Z,2026-09-17T04:17:03.336Z,10000,0,0,0,-10000
