player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Fishy",xZS3GKnBtu,2026-09-09T02:32:02.543Z,,3000,,3000,0,0
"Rayan",nhXZL_Cydv,2026-09-09T02:04:32.766Z,,4500,,4685,0,185
"Rowan",GthBpPSqaK,2026-09-09T01:51:20.510Z,2026-09-09T01:54:13.965Z,2000,1165,0,0,-835
"Jason",XKcqCJfaWe,2026-09-09T01:16:48.619Z,2026-09-09T02:57:41.466Z,2000,0,0,0,-2000
"Jason",XKcqCJfaWe,2026-09-09T01:08:38.983Z,2026-09-09T01:15:47.665Z,2000,0,0,0,-2000
"Rayan",nhXZL_Cydv,2026-09-09T00:43:39.476Z,2026-09-09T02:02:36.367Z,3500,0,0,0,-3500
"Rayan",nhXZL_Cydv,2026-09-09T00:39:41.225Z,2026-09-09T00:43:04.334Z,2000,0,0,0,-2000
"R Y A N",GO72Iwd2XL,2026-09-09T00:36:46.018Z,,2000,,7233,0,5233
"jahan",iacG4hF18c,2026-09-09T00:36:16.876Z,,2000,,7058,0,5058
"cam",5Hkt1ueeT1,2026-09-09T00:36:16.874Z,,2000,,7749,0,5749
"Mr Bink",6D7s410Ucp,2026-09-09T00:36:16.871Z,2026-09-09T02:09:12.026Z,9500,3610,0,0,-5890
