player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Bink Phone",IRFSw7AJ_c,2026-09-11T23:07:02.415Z,2026-09-12T02:02:12.030Z,16583,0,0,0,-16583
"Kobe",DRSv3IR7B7,2026-09-11T21:43:17.668Z,2026-09-11T22:16:28.131Z,20000,0,0,0,-20000
"Will",h_ZrezeXHs,2026-09-11T20:36:11.843Z,2026-09-11T21:49:36.864Z,15000,15707,0,0,707
"R Y A N",GO72Iwd2XL,2026-09-11T19:37:42.659Z,,5000,,40977,0,35977
"Bink Phone",IRFSw7AJ_c,2026-09-11T18:15:04.311Z,2026-09-11T20:13:03.806Z,7324,16583,0,0,9259
"Kobe",DRSv3IR7B7,2026-09-11T16:47:05.967Z,2026-09-11T20:52:31.693Z,10000,0,0,0,-10000
"JJJJJJJJJJJJJ",hpHn3c2SeL,2026-09-11T16:29:11.305Z,,27771,,10431,0,-17340
"Mr Bink",iNHBFVRnIS,2026-09-11T16:14:21.281Z,2026-09-11T20:13:40.092Z,10000,7324,0,0,-2676
"JJJJJJJJJJJJJ",hpHn3c2SeL,2026-09-11T16:03:25.285Z,2026-09-11T16:28:00.563Z,4388,3383,0,0,-1005
"Rayan",nhXZL_Cydv,2026-09-11T15:44:47.077Z,,20000,,30176,0,10176
"JJJJJJJJJJJJJ",hpHn3c2SeL,2026-09-11T15:42:13.725Z,2026-09-11T16:02:23.836Z,5000,4388,0,0,-612
"Camputer",5Hkt1ueeT1,2026-09-11T15:42:13.722Z,,5000,,16954,0,11954
"Cam",nDyQWeHSG2,,2026-09-11T15:38:37.987Z,5000,5000,0,0,0
"rowan",GthBpPSqaK,2026-09-11T15:42:13.718Z,,35000,,35143,0,143
