player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Barbie's Men",1MAe7RP1K5,2026-09-25T06:22:24.260Z,2026-09-25T06:57:32.376Z,7100,0,0,0,-7100
"Barbie's Men",1MAe7RP1K5,2026-09-25T06:05:00.825Z,2026-09-25T06:15:37.468Z,5000,0,0,0,-5000
"rowan",GthBpPSqaK,2026-09-25T06:01:09.156Z,2026-09-25T06:46:34.958Z,5000,0,0,0,-5000
"Barbie's Men",1MAe7RP1K5,2026-09-25T05:48:39.596Z,2026-09-25T06:04:23.483Z,2000,0,0,0,-2000
"Barbie's Men",1MAe7RP1K5,2026-09-25T04:45:55.802Z,2026-09-25T05:47:18.363Z,14000,0,0,0,-14000
"Barbie's Men",1MAe7RP1K5,2026-09-25T04:18:43.971Z,2026-09-25T04:44:15.783Z,8000,0,0,0,-8000
"Dih",GO72Iwd2XL,2026-09-25T04:09:39.112Z,,15000,,82900,0,67900
"BransonW",-thFwNBkz6,2026-09-25T03:22:19.888Z,2026-09-25T05:23:55.479Z,5000,24809,0,0,19809
"Rayan",nhXZL_Cydv,2026-09-25T03:20:41.614Z,2026-09-25T07:12:05.014Z,5000,57062,0,0,52062
"Barbie's Men",1MAe7RP1K5,2026-09-25T03:17:40.549Z,2026-09-25T03:29:16.545Z,2000,0,0,0,-2000
"cam",eWUSzBpS1d,2026-09-25T02:59:49.296Z,2026-09-25T04:20:34.229Z,10339,0,0,0,-10339
"Barbie's Men",1MAe7RP1K5,2026-09-25T02:29:06.450Z,2026-09-25T03:16:29.859Z,6000,0,0,0,-6000
"sack",TRePQx5a-J,2026-09-25T00:48:24.042Z,2026-09-25T01:10:07.621Z,5000,0,0,0,-5000
"sack",TRePQx5a-J,2026-09-25T00:25:25.291Z,2026-09-25T00:43:06.617Z,10000,0,0,0,-10000
"Rayan",nhXZL_Cydv,2026-09-24T20:49:37.554Z,2026-09-25T00:20:07.834Z,24500,0,0,0,-24500
"Fish2",HAhUW-6pWn,2026-09-24T20:01:42.573Z,,10539,,22815,0,12276
"sack",TRePQx5a-J,2026-09-24T19:50:57.711Z,2026-09-24T21:19:49.217Z,10000,0,0,0,-10000
"Mini Mamba",XFbUuivL6I,2026-09-24T19:39:20.064Z,2026-09-24T21:19:49.221Z,2000,14463,0,0,12463
"Kobe Brayant",nhXZL_Cydv,2026-09-24T19:22:02.761Z,2026-09-24T19:26:01.069Z,1000,0,0,0,-1000
"jamie",pL_pd5IgIf,2026-09-24T18:55:23.865Z,,195000,,185310,0,-9690
"Will",h_ZrezeXHs,2026-09-24T18:41:42.880Z,2026-09-25T03:21:48.382Z,10000,28561,0,0,18561
"JJJJJJ putah",iacG4hF18c,2026-09-24T18:32:43.551Z,,11662,,76180,0,64518
"rowan",GthBpPSqaK,2026-09-24T18:26:56.692Z,2026-09-25T06:00:12.121Z,50000,0,0,0,-50000
"Dih",GO72Iwd2XL,2026-09-24T18:24:33.626Z,2026-09-25T04:07:55.909Z,35000,0,0,0,-35000
"JJJJJJ",hpHn3c2SeL,2026-09-24T18:12:18.967Z,2026-09-24T18:32:43.546Z,5000,11662,0,0,6662
"JASEFISH🫤",XKcqCJfaWe,2026-09-24T17:49:39.965Z,2026-09-24T20:10:36.375Z,5000,0,0,0,-5000
"Camerphon",nDyQWeHSG2,2026-09-24T17:33:27.512Z,2026-09-24T18:54:38.893Z,8564,10339,0,0,1775
"Kobe Brayant",nhXZL_Cydv,2026-09-24T17:25:49.179Z,2026-09-24T18:11:50.299Z,4000,0,0,0,-4000
"PrtyBoyJlacko",XKcqCJfaWe,2026-09-24T17:23:24.520Z,2026-09-24T17:47:38.270Z,2500,0,0,0,-2500
"Kobe Brayant",nhXZL_Cydv,2026-09-24T17:09:08.225Z,2026-09-24T17:25:10.951Z,5000,0,0,0,-5000
"PrtyBoyJlacko",XKcqCJfaWe,2026-09-24T17:05:33.795Z,2026-09-24T17:22:55.274Z,5000,0,0,0,-5000
"Kobe Brayant",nhXZL_Cydv,2026-09-24T17:04:41.706Z,2026-09-24T17:08:34.509Z,5000,0,0,0,-5000
"Fish",Rd4XHpxbuy,2026-09-24T17:04:41.690Z,2026-09-24T18:54:38.886Z,5000,10539,0,0,5539
"cam",eWUSzBpS1d,2026-09-24T17:04:41.692Z,2026-09-24T18:54:38.879Z,5000,8564,0,0,3564
"Mini Mamba",XFbUuivL6I,2026-09-24T17:04:41.701Z,2026-09-24T19:36:40.018Z,4000,0,0,0,-4000
"4949494949",29cQfyi8o3,2026-09-24T17:04:41.696Z,2026-09-25T08:16:49.578Z,30000,0,0,0,-30000
