player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Sul",xZS3GKnBtu,2026-09-15T03:44:41.467Z,2026-09-15T04:12:45.660Z,6000,0,0,0,-6000
"ṡul",6D7s410Ucp,2026-09-15T02:32:01.717Z,2026-09-15T05:03:36.861Z,8661,0,0,0,-8661
"Sul",xZS3GKnBtu,2026-09-15T02:24:25.881Z,2026-09-15T03:43:39.687Z,6000,0,0,0,-6000
"sul",thk9cMWm9U,2026-09-15T02:20:40.486Z,2026-09-15T04:52:58.517Z,10000,0,0,0,-10000
"Mr Bink",IRFSw7AJ_c,2026-09-15T00:31:31.448Z,2026-09-15T02:31:14.791Z,9446,8661,0,0,-785
"jahan",iacG4hF18c,2026-09-15T00:19:55.305Z,,5000,,10522,0,5522
"R Y A N",GO72Iwd2XL,2026-09-15T00:07:06.957Z,,5000,,44176,0,39176
"Binkputer",iNHBFVRnIS,2026-09-14T22:10:19.013Z,2026-09-15T00:26:53.193Z,5000,0,0,0,-5000
"Kobe",DRSv3IR7B7,2026-09-14T22:04:25.460Z,,15000,,30129,0,15129
"Tom",DzNZ7BepbE,2026-09-14T20:22:34.070Z,2026-09-14T23:39:00.093Z,5000,0,0,0,-5000
"Kobe",DRSv3IR7B7,2026-09-14T18:51:01.080Z,2026-09-14T19:07:15.413Z,5000,0,0,0,-5000
"Sul",xZS3GKnBtu,2026-09-14T18:38:36.075Z,2026-09-14T19:03:55.648Z,3000,0,0,0,-3000
"Rayan",nhXZL_Cydv,2026-09-14T17:39:04.017Z,,14600,,36314,0,21714
"R Y A N",GO72Iwd2XL,2026-09-14T16:45:53.068Z,2026-09-14T21:39:40.511Z,25000,0,0,0,-25000
"Mr Bink",IRFSw7AJ_c,2026-09-14T16:23:43.013Z,2026-09-14T16:48:49.413Z,3000,0,0,0,-3000
"Cam",5Hkt1ueeT1,2026-09-14T16:19:52.304Z,2026-09-14T19:07:15.407Z,5000,0,0,0,-5000
"Neel",XFbUuivL6I,2026-09-14T15:38:59.814Z,2026-09-14T16:24:29.453Z,2000,8335,0,0,6335
"jahan",iacG4hF18c,2026-09-14T15:36:24.869Z,2026-09-14T23:12:03.590Z,15000,0,0,0,-15000
"Mr Bink",IRFSw7AJ_c,2026-09-14T15:25:26.772Z,2026-09-14T15:35:41.677Z,2000,0,0,0,-2000
"henny",lXAgrxOAdx,2026-09-14T14:44:49.281Z,2026-09-15T02:22:57.907Z,4500,7059,0,0,2559
"Rayan",nhXZL_Cydv,2026-09-14T14:03:39.051Z,2026-09-14T17:38:15.113Z,10000,0,0,0,-10000
"Jason",fYqcH1JWT_,2026-09-14T13:59:40.159Z,,2000,,10100,0,8100
"Jason",fYqcH1JWT_,2026-09-14T13:52:46.861Z,2026-09-14T13:59:12.751Z,2000,0,0,0,-2000
"Heech",_qqRpJaEYj,2026-09-14T13:26:15.907Z,,13000,,13659,0,659
"rowan",GthBpPSqaK,2026-09-14T13:26:15.901Z,,6000,,18252,0,12252
