player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Kobe",DRSv3IR7B7,2026-09-10T04:29:20.864Z,,10000,,11023,0,1023
"jahan",iacG4hF18c,2026-09-10T03:25:13.983Z,2026-09-10T04:36:51.761Z,10000,0,0,0,-10000
"Heech",_qqRpJaEYj,2026-09-10T03:19:23.422Z,,8888,,15875,0,6987
"jamie",pL_pd5IgIf,2026-09-10T02:50:53.965Z,,15000,,13729,0,-1271
"Jason",XKcqCJfaWe,2026-09-10T01:37:50.379Z,2026-09-10T03:17:51.875Z,5000,0,0,0,-5000
"jahan",iacG4hF18c,2026-09-10T01:26:07.500Z,2026-09-10T03:11:51.588Z,5000,0,0,0,-5000
"Kobe",DRSv3IR7B7,2026-09-10T01:10:33.244Z,2026-09-10T04:27:11.360Z,30000,0,0,0,-30000
"R Y A N",GO72Iwd2XL,2026-09-09T23:57:43.851Z,,10000,,36009,0,26009
"cam",5Hkt1ueeT1,2026-09-09T23:43:44.952Z,,2000,,27609,0,25609
"Fish",xZS3GKnBtu,2026-09-09T21:51:00.795Z,2026-09-10T01:54:13.493Z,5000,0,0,0,-5000
"rowan",GthBpPSqaK,2026-09-09T21:46:14.998Z,,25000,,22769,0,-2231
"Rayan",nhXZL_Cydv,2026-09-09T21:35:00.190Z,,10000,,10986,0,986
"Heech",_qqRpJaEYj,2026-09-09T21:31:41.654Z,2026-09-10T01:36:54.883Z,5000,3888,0,0,-1112
"Mr Bink",IRFSw7AJ_c,2026-09-09T21:31:41.646Z,,17000,,21000,0,4000
"jahan",iacG4hF18c,2026-09-09T21:31:41.651Z,2026-09-10T01:25:27.383Z,5000,0,0,0,-5000
