player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Rayan",nhXZL_Cydv,2026-08-30T04:43:31.738Z,2026-08-30T04:57:32.140Z,5000,0,0,0,-5000
"The Binkmieser",iNHBFVRnIS,2026-08-30T03:33:44.165Z,2026-08-30T06:05:57.755Z,28250,9648,0,0,-18602
"Cenny",H7FPFDbU-m,2026-08-30T02:28:18.463Z,,2000,,1407,0,-593
"jahan",iacG4hF18c,2026-08-30T02:28:18.461Z,,5000,,24633,0,19633
"BransonW",BP3o9IuyiX,2026-08-30T02:19:00.151Z,2026-08-30T04:14:24.856Z,8500,0,0,0,-8500
"Ryan",9r2MUgxwHG,2026-08-30T01:45:38.474Z,,3000,,36287,0,33287
"Gabe",qfbDrPVgXl,2026-08-29T23:25:29.569Z,,25000,,18936,0,-6064
"Rayan",nhXZL_Cydv,2026-08-29T22:55:58.426Z,2026-08-29T23:10:05.263Z,5000,0,0,0,-5000
"Eric",eLzaYAdsC-,2026-08-29T22:40:53.981Z,2026-08-29T23:08:09.924Z,2500,0,0,0,-2500
"Rayan",nhXZL_Cydv,2026-08-29T21:46:14.015Z,2026-08-29T22:18:07.227Z,3000,0,0,0,-3000
"BransonW",BP3o9IuyiX,2026-08-29T21:42:04.949Z,2026-08-29T22:05:05.097Z,2500,0,0,0,-2500
"Rayan",nhXZL_Cydv,2026-08-29T20:52:35.293Z,2026-08-29T21:43:32.286Z,3000,0,0,0,-3000
"Mr Bink",IRFSw7AJ_c,2026-08-29T19:51:58.180Z,2026-08-30T02:27:42.194Z,5000,28250,0,0,23250
"Jason",XKcqCJfaWe,2026-08-29T19:30:47.667Z,2026-08-30T02:27:42.184Z,2000,8980,0,0,6980
"BransonW",BP3o9IuyiX,2026-08-29T18:47:45.189Z,2026-08-29T19:50:12.161Z,2000,8687,0,0,6687
"Tomfishy2",fjPkJuQzYL,2026-08-29T18:41:50.280Z,,12890,,24247,0,11357
"Will",fP0xlSKADN,2026-08-29T18:39:42.849Z,2026-08-29T19:28:18.697Z,4000,0,0,0,-4000
"Ryan",9r2MUgxwHG,2026-08-29T18:10:00.483Z,2026-08-30T01:05:38.582Z,10000,0,0,0,-10000
"Rayan",nhXZL_Cydv,2026-08-29T17:41:19.550Z,2026-08-29T20:49:24.289Z,10000,0,0,0,-10000
"jahan",iacG4hF18c,2026-08-29T17:23:40.671Z,2026-08-29T21:01:04.505Z,4000,0,0,0,-4000
"Sul",thk9cMWm9U,2026-08-29T16:42:28.475Z,2026-08-30T03:31:40.714Z,6000,6043,0,0,43
"Artemis",OXC5WHbqOT,2026-08-29T16:40:08.176Z,2026-08-29T17:26:41.686Z,3000,0,0,0,-3000
"Tomfishy",4edABXgjHs,2026-08-29T16:30:03.864Z,2026-08-29T18:41:50.271Z,8000,8890,0,0,890
"Rayan",nhXZL_Cydv,2026-08-29T16:28:15.249Z,2026-08-29T17:38:15.669Z,2000,0,0,0,-2000
"Heech",wzsls5Sz57,2026-08-29T16:23:45.795Z,,12500,,24691,0,12191
"rowan",GthBpPSqaK,2026-08-29T16:16:45.515Z,2026-08-30T05:46:07.658Z,20000,0,0,0,-20000
"Ryan",9r2MUgxwHG,2026-08-29T16:14:49.110Z,2026-08-29T18:08:54.574Z,15000,0,0,0,-15000
"Tomfishy",4edABXgjHs,2026-08-29T16:14:49.115Z,2026-08-29T16:29:39.941Z,2000,0,0,0,-2000
"Cam",5Hkt1ueeT1,2026-08-29T16:14:49.104Z,,25000,,35441,0,10441
