player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Heech",wzsls5Sz57,2026-09-05T00:11:45.453Z,,100,,1625,0,1525
"Mr Bink",IRFSw7AJ_c,2026-09-04T23:44:29.564Z,2026-09-04T23:50:27.316Z,28500,30162,0,0,1662
"Will",h_ZrezeXHs,2026-09-04T20:35:48.497Z,,5000,5000,27695,0,27695
"FUCK THIS GAME",5Hkt1ueeT1,2026-09-04T20:20:20.764Z,,10000,,4589,0,-5411
"Mr Bink",IRFSw7AJ_c,2026-09-04T19:55:33.819Z,2026-09-04T23:37:28.802Z,15000,28500,0,0,13500
"kenn",t7ty5t1xQk,2026-09-04T19:10:00.407Z,2026-09-04T19:19:50.207Z,4000,0,0,0,-4000
"Camberyan",5Hkt1ueeT1,2026-09-04T17:32:53.755Z,2026-09-04T20:18:40.906Z,10000,0,0,0,-10000
"Ryan",GO72Iwd2XL,2026-09-04T17:22:51.784Z,,50000,,32186,0,-17814
"Ryan",GO72Iwd2XL,2026-09-04T17:03:56.532Z,2026-09-04T17:22:06.063Z,5000,0,0,0,-5000
"Ryan",GO72Iwd2XL,2026-09-04T16:52:00.259Z,2026-09-04T17:02:46.171Z,5000,0,0,0,-5000
"Heech",wzsls5Sz57,2026-09-04T16:46:42.265Z,2026-09-05T00:01:39.818Z,15000,0,0,0,-15000
"Jason",XKcqCJfaWe,2026-09-04T16:43:11.508Z,2026-09-04T17:40:21.619Z,4000,0,0,0,-4000
"Jason",XKcqCJfaWe,2026-09-04T16:40:08.756Z,2026-09-04T16:40:59.097Z,4000,4000,0,0,0
"Camberyan",5Hkt1ueeT1,2026-09-04T16:32:10.613Z,2026-09-04T17:32:36.954Z,5000,0,0,0,-5000
"jahan",SNbRa1Lx6Y,2026-09-04T16:09:33.813Z,,15000,,33478,0,18478
"Imtilted",xZS3GKnBtu,2026-09-04T16:03:36.770Z,,6000,,63173,0,57173
"Ryan",GO72Iwd2XL,2026-09-04T15:52:05.804Z,2026-09-04T16:51:01.729Z,3000,0,0,0,-3000
"Rayan",nhXZL_Cydv,2026-09-04T15:51:26.285Z,2026-09-04T18:39:03.624Z,6000,10192,0,0,4192
"Jason",XKcqCJfaWe,2026-09-04T15:40:48.178Z,2026-09-04T16:38:15.418Z,4000,0,0,0,-4000
"last40ryanryan",xZS3GKnBtu,2026-09-04T15:38:21.972Z,2026-09-04T16:02:13.233Z,4000,0,0,0,-4000
"Ryan",GO72Iwd2XL,2026-09-04T15:28:25.888Z,2026-09-04T15:38:57.309Z,2000,0,0,0,-2000
"Rayan",nhXZL_Cydv,2026-09-04T15:26:14.548Z,2026-09-04T15:50:40.855Z,4000,0,0,0,-4000
"jahan",SNbRa1Lx6Y,2026-09-04T15:21:16.746Z,2026-09-04T15:50:40.848Z,2500,0,0,0,-2500
"Mr Bink",IRFSw7AJ_c,2026-09-04T14:49:09.011Z,2026-09-04T19:53:58.424Z,13500,0,0,0,-13500
"Camberin",5Hkt1ueeT1,2026-09-04T14:45:16.353Z,2026-09-04T16:31:41.782Z,5000,0,0,0,-5000
"rowan",GthBpPSqaK,2026-09-04T14:45:16.349Z,2026-09-05T04:48:20.278Z,15000,0,0,0,-15000
