player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Jason",XKcqCJfaWe,2026-08-31T04:48:11.239Z,2026-08-31T05:14:09.247Z,1690,0,0,0,-1690
"Jason",XKcqCJfaWe,2026-08-31T04:37:06.293Z,2026-08-31T04:46:27.339Z,2500,0,0,0,-2500
"Gabe",qfbDrPVgXl,2026-08-31T04:18:54.993Z,,7500,,7615,0,115
"Jessie Binkman",6D7s410Ucp,2026-08-31T03:12:15.758Z,,22524,,34238,0,11714
"Tomfishy23",elwY6xMG8J,2026-08-31T03:04:13.826Z,,13712,,21224,0,7512
"jaan",iacG4hF18c,2026-08-31T02:24:23.699Z,2026-08-31T04:52:23.490Z,10858,0,0,0,-10858
"Rayan",nhXZL_Cydv,2026-08-31T02:15:46.081Z,,10000,,30826,0,20826
"Rayan",nhXZL_Cydv,2026-08-31T01:44:44.893Z,2026-08-31T02:08:01.615Z,5000,0,0,0,-5000
"Gabe",qfbDrPVgXl,2026-08-30T23:36:26.643Z,2026-08-31T00:36:49.171Z,10000,0,0,0,-10000
"jaan",iacG4hF18c,2026-08-30T23:33:29.769Z,2026-08-31T00:31:47.510Z,4000,10858,0,0,6858
"cam",5Hkt1ueeT1,2026-08-30T23:12:38.774Z,2026-08-31T05:13:04.388Z,17438,0,0,0,-17438
"Tomfishy",xZS3GKnBtu,2026-08-30T23:10:04.555Z,2026-08-31T03:04:13.821Z,16000,13662,0,0,-2338
"Ryan",9r2MUgxwHG,2026-08-30T21:45:28.692Z,2026-08-31T05:09:38.162Z,15000,13707,0,0,-1293
"BransonW",BP3o9IuyiX,2026-08-30T20:21:38.786Z,2026-08-31T01:16:48.518Z,3000,0,0,0,-3000
"BransonW",BP3o9IuyiX,2026-08-30T20:04:42.189Z,2026-08-30T20:20:08.449Z,5552,0,0,0,-5552
"Rayan",nhXZL_Cydv,2026-08-30T19:26:37.271Z,2026-08-31T01:42:21.670Z,10764,0,0,0,-10764
"Will",h_ZrezeXHs,2026-08-30T18:54:40.775Z,2026-08-30T20:33:53.330Z,6000,8377,0,0,2377
"Gabe",qfbDrPVgXl,2026-08-30T18:43:20.877Z,2026-08-30T21:45:28.686Z,9500,9992,0,0,492
"jaan",iacG4hF18c,2026-08-30T18:24:21.287Z,2026-08-30T19:36:34.923Z,4000,0,0,0,-4000
"BransonW",BP3o9IuyiX,2026-08-30T17:28:30.964Z,2026-08-30T18:23:32.990Z,2000,2552,0,0,552
"Ryan",9r2MUgxwHG,2026-08-30T17:20:09.767Z,2026-08-30T20:58:46.615Z,10000,0,0,0,-10000
"Cam",nDyQWeHSG2,2026-08-30T17:20:09.761Z,2026-08-30T18:42:15.505Z,4000,1438,0,0,-2562
"Heech",wzsls5Sz57,2026-08-30T16:57:50.868Z,,4000,,23025,0,19025
"Jason",XKcqCJfaWe,2026-08-30T16:49:10.533Z,2026-08-30T19:08:14.564Z,2000,6190,0,0,4190
"Rayan",nhXZL_Cydv,2026-08-30T16:47:57.609Z,2026-08-30T18:51:52.221Z,2000,7764,0,0,5764
"Tomfishy",xZS3GKnBtu,2026-08-30T16:43:35.476Z,2026-08-30T19:48:21.250Z,6500,0,0,0,-6500
"The Binkmieser",iNHBFVRnIS,2026-08-30T16:15:01.481Z,2026-08-30T23:41:33.224Z,15040,22524,0,0,7484
"sul",thk9cMWm9U,2026-08-30T15:58:27.870Z,2026-08-30T23:35:54.998Z,15000,6636,0,0,-8364
"Mr Bink",IRFSw7AJ_c,2026-08-30T15:58:27.875Z,2026-08-30T16:37:12.208Z,2000,540,0,0,-1460
"rowan",GthBpPSqaK,2026-08-30T15:58:27.865Z,,7500,,23910,0,16410
