player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Kobe",DRSv3IR7B7,2026-09-06T22:15:21.057Z,2026-09-06T23:17:55.049Z,10000,26680,0,0,16680
"megatilted",xZS3GKnBtu,2026-09-06T20:51:02.891Z,2026-09-06T21:09:00.785Z,10000,0,0,0,-10000
"Rayan",nhXZL_Cydv,2026-09-06T20:25:51.114Z,2026-09-06T21:18:21.804Z,6000,0,0,0,-6000
"Jason",XKcqCJfaWe,2026-09-06T20:02:39.253Z,,5000,,11214,0,6214
"Cam (punt?)",5Hkt1ueeT1,2026-09-06T18:22:09.542Z,,2000,,7593,0,5593
"Rayan",nhXZL_Cydv,2026-09-06T18:13:11.873Z,2026-09-06T20:24:44.120Z,19000,0,0,0,-19000
"Rayan",nhXZL_Cydv,2026-09-06T18:00:35.858Z,2026-09-06T18:10:46.628Z,4000,0,0,0,-4000
"heech2",wzsls5Sz57,2026-09-06T17:09:33.992Z,,7003,,9186,0,2183
"Jason",XKcqCJfaWe,2026-09-06T16:56:02.084Z,2026-09-06T17:55:20.879Z,2000,0,0,0,-2000
"F I S H",xZS3GKnBtu,2026-09-06T16:51:25.574Z,2026-09-06T20:48:26.988Z,16000,0,0,0,-16000
"Heech",fVdOVcmkKA,2026-09-06T16:50:30.275Z,2026-09-06T18:28:41.606Z,200000,199003,0,0,-997
"Mr Bink",IRFSw7AJ_c,2026-09-06T16:18:41.101Z,,23970,,31500,0,7530
"Mr Bink",IRFSw7AJ_c,2026-09-06T15:59:20.448Z,2026-09-06T16:17:27.853Z,6030,0,0,0,-6030
"R Y A N",GO72Iwd2XL,2026-09-06T15:47:41.007Z,,10000,,13985,0,3985
"Jahan",iacG4hF18c,2026-09-06T15:25:07.761Z,,10000,,11038,0,1038
"Gabe",9mpVPy0oPx,2026-09-06T15:19:57.132Z,,2500,,4043,0,1543
"Rowan",GthBpPSqaK,2026-09-06T15:19:57.128Z,,2500,,21761,0,19261
