player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Asher",XxQh91rmsL,2026-09-24T02:46:38.027Z,2026-09-24T03:04:27.584Z,6000,0,0,0,-6000
"Cam (Tiny!)",eWUSzBpS1d,2026-09-24T02:00:09.967Z,2026-09-24T04:56:29.979Z,15000,0,0,0,-15000
"Jasefish",XKcqCJfaWe,2026-09-23T23:33:43.323Z,,5000,,12453,0,7453
"Mamba",DRSv3IR7B7,2026-09-23T23:08:41.509Z,,48100,,84991,0,36891
"BransonW",mUGDR7oMyC,2026-09-23T23:03:08.823Z,2026-09-23T23:41:11.618Z,2000,3188,0,0,1188
"Heech",_qqRpJaEYj,2026-09-23T21:51:15.168Z,,45500,,7135,0,-38365
"Fish",Rd4XHpxbuy,2026-09-23T21:50:44.196Z,,27500,,27470,0,-30
"Heech",_qqRpJaEYj,2026-09-23T21:44:15.205Z,2026-09-23T21:50:44.191Z,2000,0,0,0,-2000
"Dih",GO72Iwd2XL,2026-09-23T21:23:28.454Z,,3000,,5050,0,2050
"rowan",GthBpPSqaK,2026-09-23T21:10:42.966Z,,2000,,2471,0,471
"JJ",iacG4hF18c,2026-09-23T18:05:51.511Z,2026-09-24T03:58:49.681Z,14000,0,0,0,-14000
"Neel",WyajbU_LR7,2026-09-23T17:59:48.629Z,2026-09-23T23:23:27.511Z,3000,3000,0,0,0
"Rayan",nhXZL_Cydv,2026-09-23T17:57:32.904Z,,1000,,31147,0,30147
"JJ",iacG4hF18c,2026-09-23T17:48:29.455Z,2026-09-23T18:04:30.134Z,2000,0,0,0,-2000
"Dih",GO72Iwd2XL,2026-09-23T17:48:29.451Z,2026-09-23T21:23:24.164Z,2000,0,0,0,-2000
"Mamba",ylQElkTwQX,2026-09-23T17:48:29.446Z,2026-09-23T23:07:41.885Z,2000,3195,0,0,1195
