entry,at,order
"The player ""Victor W @ GO72Iwd2XL"" stand up with the stack of 340.28.",2026-09-21T03:07:15.152Z,178996003515201
"The player ""jahan @ iacG4hF18c"" stand up with the stack of 119.46.",2026-09-21T03:07:15.152Z,178996003515200
"-- ending hand #413 --",2026-09-21T03:07:09.241Z,178996002924102
"""jahan @ iacG4hF18c"" collected 0.50 from pot",2026-09-21T03:07:09.241Z,178996002924101
"Uncalled bet of 0.25 returned to ""jahan @ iacG4hF18c""",2026-09-21T03:07:09.241Z,178996002924100
"""Victor W @ GO72Iwd2XL"" folds",2026-09-21T03:07:08.418Z,178996002841800
"""jahan @ iacG4hF18c"" posts a big blind of 0.50",2026-09-21T03:07:06.663Z,178996002666305
"""Victor W @ GO72Iwd2XL"" posts a small blind of 0.25",2026-09-21T03:07:06.663Z,178996002666304
"Player stacks: #2 ""Victor W @ GO72Iwd2XL"" (340.53) | #3 ""jahan @ iacG4hF18c"" (119.21)",2026-09-21T03:07:06.663Z,178996002666301
"-- starting hand #413 (id: ertf2oh8a2kf)  No Limit Texas Hold'em (dealer: ""Victor W @ GO72Iwd2XL"") --",2026-09-21T03:07:06.663Z,178996002666300
"-- ending hand #412 --",2026-09-21T03:07:03.542Z,178996002354202
"""jahan @ iacG4hF18c"" collected 20.00 from pot with Two Pair, 9's & 5's (combination: 7♠, 5♠, 5♥, 9♦, 9♥)",2026-09-21T03:07:03.542Z,178996002354201
"""jahan @ iacG4hF18c"" shows a 6♠, 5♠.",2026-09-21T03:07:03.542Z,178996002354200
"""jahan @ iacG4hF18c"" checks",2026-09-21T03:07:02.712Z,178996002271200
"""Victor W @ GO72Iwd2XL"" checks",2026-09-21T03:07:01.669Z,178996002166900
"River: 4♠, 7♠, 5♥, 9♦ [9♥]",2026-09-21T03:07:00.767Z,178996002076700
"""jahan @ iacG4hF18c"" checks",2026-09-21T03:06:59.867Z,178996001986700
"""Victor W @ GO72Iwd2XL"" checks",2026-09-21T03:06:58.872Z,178996001887200
"Turn: 4♠, 7♠, 5♥ [9♦]",2026-09-21T03:06:58.044Z,178996001804400
"""jahan @ iacG4hF18c"" checks",2026-09-21T03:06:57.234Z,178996001723400
"""Victor W @ GO72Iwd2XL"" checks",2026-09-21T03:06:56.167Z,178996001616700
"Flop:  [4♠, 7♠, 5♥]",2026-09-21T03:06:55.157Z,178996001515700
"""Victor W @ GO72Iwd2XL"" calls 10.00",2026-09-21T03:06:54.253Z,178996001425300
"""jahan @ iacG4hF18c"" raises to 10.00",2026-09-21T03:06:52.050Z,178996001205000
"""Victor W @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-21T03:06:44.182Z,178996000418210
"""jahan @ iacG4hF18c"" posts a small blind of 0.25",2026-09-21T03:06:44.182Z,178996000418209
"Player stacks: #2 ""Victor W @ GO72Iwd2XL"" (350.53) | #3 ""jahan @ iacG4hF18c"" (109.21)",2026-09-21T03:06:44.182Z,178996000418206
"The player ""Cam (tiny?) @ eWUSzBpS1d"" joined the game with a stack of 129.25.",2026-09-21T03:06:44.182Z,178996000418205
"The player ""Heech @ UXn8-VfrPb"" joined the game with a stack of 54.65.",2026-09-21T03:06:44.182Z,178996000418204
"The player ""jahan @ iacG4hF18c"" joined the game with a stack of 109.21.",2026-09-21T03:06:44.182Z,178996000418203
"The player ""Victor W @ GO72Iwd2XL"" joined the game with a stack of 350.53.",2026-09-21T03:06:44.182Z,178996000418202
"The player ""Fish @ Rd4XHpxbuy"" joined the game with a stack of 188.27.",2026-09-21T03:06:44.182Z,178996000418201
"-- starting hand #412 (id: lrqtdtipzmsh)  No Limit Texas Hold'em (dealer: ""jahan @ iacG4hF18c"") --",2026-09-21T03:06:44.182Z,178996000418200
"The player ""Victor W @ GO72Iwd2XL"" sit back with the stack of 350.53.",2026-09-21T03:06:42.984Z,178996000298400
"The player ""jahan @ iacG4hF18c"" sit back with the stack of 109.21.",2026-09-21T03:06:42.278Z,178996000227800
