entry,at,order
"The player ""Binkputer @ iNHBFVRnIS"" stand up with the stack of 185.87.",2026-09-20T03:57:16.107Z,178987663610700
"-- ending hand #593 --",2026-09-20T03:57:10.190Z,178987663019001
"""Binkputer @ iNHBFVRnIS"" collected 1.00 from pot",2026-09-20T03:57:10.190Z,178987663019000
"""Dihctor Wemb @ GO72Iwd2XL"" folds",2026-09-20T03:57:09.386Z,178987662938600
"""Binkputer @ iNHBFVRnIS"" calls 0.50",2026-09-20T03:57:08.423Z,178987662842300
"""Dihctor Wemb @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-20T03:56:43.350Z,178987660335006
"""Binkputer @ iNHBFVRnIS"" posts a small blind of 0.25",2026-09-20T03:56:43.350Z,178987660335005
"Player stacks: #3 ""Binkputer @ iNHBFVRnIS"" (185.37) | #4 ""Dihctor Wemb @ GO72Iwd2XL"" (444.59)",2026-09-20T03:56:43.350Z,178987660335002
"-- starting hand #593 (id: 8ka0tzv3r80b)  No Limit Texas Hold'em (dealer: ""Binkputer @ iNHBFVRnIS"") --",2026-09-20T03:56:43.350Z,178987660335001
"The player ""jahan 2 @ iacG4hF18c"" stand up with the stack of 170.01.",2026-09-20T03:56:43.350Z,178987660335000
"-- ending hand #592 --",2026-09-20T03:56:40.425Z,178987660042502
"""Binkputer @ iNHBFVRnIS"" collected 15.00 from pot",2026-09-20T03:56:40.425Z,178987660042501
"Uncalled bet of 11.25 returned to ""Binkputer @ iNHBFVRnIS""",2026-09-20T03:56:40.425Z,178987660042500
"""Dihctor Wemb @ GO72Iwd2XL"" folds",2026-09-20T03:56:39.570Z,178987659957000
"""Binkputer @ iNHBFVRnIS"" bets 11.25",2026-09-20T03:56:38.152Z,178987659815200
"River: 3♥, 10♦, 9♣, 3♦ [J♥]",2026-09-20T03:56:35.411Z,178987659541100
"""Dihctor Wemb @ GO72Iwd2XL"" checks",2026-09-20T03:56:34.568Z,178987659456800
"""Binkputer @ iNHBFVRnIS"" checks",2026-09-20T03:56:33.602Z,178987659360200
"Turn: 3♥, 10♦, 9♣ [3♦]",2026-09-20T03:56:31.777Z,178987659177700
"""Binkputer @ iNHBFVRnIS"" calls 4.50",2026-09-20T03:56:30.930Z,178987659093000
"""jahan 2 @ iacG4hF18c"" folds",2026-09-20T03:56:29.853Z,178987658985300
"""Dihctor Wemb @ GO72Iwd2XL"" bets 4.50",2026-09-20T03:56:27.992Z,178987658799200
"""Binkputer @ iNHBFVRnIS"" checks",2026-09-20T03:56:25.145Z,178987658514500
"Flop:  [3♥, 10♦, 9♣]",2026-09-20T03:56:23.138Z,178987658313800
"""jahan 2 @ iacG4hF18c"" calls 2.00",2026-09-20T03:56:22.270Z,178987658227000
"""Dihctor Wemb @ GO72Iwd2XL"" calls 2.00",2026-09-20T03:56:20.289Z,178987658028900
"""Binkputer @ iNHBFVRnIS"" raises to 2.00",2026-09-20T03:56:19.037Z,178987657903700
"""jahan 2 @ iacG4hF18c"" calls 0.50",2026-09-20T03:56:16.707Z,178987657670700
"""Dihctor Wemb @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-20T03:56:15.200Z,178987657520006
"""Binkputer @ iNHBFVRnIS"" posts a small blind of 0.25",2026-09-20T03:56:15.200Z,178987657520005
"Player stacks: #2 ""jahan 2 @ iacG4hF18c"" (172.01) | #3 ""Binkputer @ iNHBFVRnIS"" (176.87) | #4 ""Dihctor Wemb @ GO72Iwd2XL"" (451.09)",2026-09-20T03:56:15.200Z,178987657520001
"-- starting hand #592 (id: dhiz95i1n4a5)  No Limit Texas Hold'em (dealer: ""jahan 2 @ iacG4hF18c"") --",2026-09-20T03:56:15.200Z,178987657520000
"-- ending hand #591 --",2026-09-20T03:56:12.133Z,178987657213303
"""Binkputer @ iNHBFVRnIS"" collected 12.75 from pot with Pair, 9's (combination: 8♥, 10♣, J♠, 9♥, 9♠)",2026-09-20T03:56:12.133Z,178987657213302
"""Binkputer @ iNHBFVRnIS"" shows a 10♣, 9♥.",2026-09-20T03:56:12.133Z,178987657213301
"""jahan 2 @ iacG4hF18c"" shows a 5♠, 9♦.",2026-09-20T03:56:12.133Z,178987657213300
"""Dihctor Wemb @ GO72Iwd2XL"" checks",2026-09-20T03:56:11.325Z,178987657132500
"""Binkputer @ iNHBFVRnIS"" checks",2026-09-20T03:56:10.415Z,178987657041500
"""jahan 2 @ iacG4hF18c"" checks",2026-09-20T03:56:07.368Z,178987656736800
"River: 9♠, 8♥, 6♦, J♠ [3♦]",2026-09-20T03:56:06.330Z,178987656633000
"""Dihctor Wemb @ GO72Iwd2XL"" checks",2026-09-20T03:56:05.458Z,178987656545800
"""Binkputer @ iNHBFVRnIS"" checks",2026-09-20T03:56:02.046Z,178987656204600
"""jahan 2 @ iacG4hF18c"" checks",2026-09-20T03:55:58.330Z,178987655833000
"Turn: 9♠, 8♥, 6♦ [J♠]",2026-09-20T03:55:46.713Z,178987654671300
"""Binkputer @ iNHBFVRnIS"" calls 3.75",2026-09-20T03:55:45.894Z,178987654589400
"""jahan 2 @ iacG4hF18c"" calls 3.75",2026-09-20T03:55:44.579Z,178987654457900
"""Dihctor Wemb @ GO72Iwd2XL"" raises to 3.75",2026-09-20T03:55:42.424Z,178987654242400
"""Binkputer @ iNHBFVRnIS"" bets 0.75",2026-09-20T03:55:38.826Z,178987653882600
"""jahan 2 @ iacG4hF18c"" checks",2026-09-20T03:55:36.299Z,178987653629900
"Flop:  [9♠, 8♥, 6♦]",2026-09-20T03:55:33.106Z,178987653310600
"""Binkputer @ iNHBFVRnIS"" checks",2026-09-20T03:55:32.273Z,178987653227300
"""jahan 2 @ iacG4hF18c"" calls 0.50",2026-09-20T03:55:30.580Z,178987653058000
"""Dihctor Wemb @ GO72Iwd2XL"" calls 0.50",2026-09-20T03:55:27.688Z,178987652768800
"""Binkputer @ iNHBFVRnIS"" posts a big blind of 0.50",2026-09-20T03:55:25.260Z,178987652526006
"""jahan 2 @ iacG4hF18c"" posts a small blind of 0.25",2026-09-20T03:55:25.260Z,178987652526005
"Player stacks: #2 ""jahan 2 @ iacG4hF18c"" (176.26) | #3 ""Binkputer @ iNHBFVRnIS"" (168.37) | #4 ""Dihctor Wemb @ GO72Iwd2XL"" (455.34)",2026-09-20T03:55:25.260Z,178987652526001
"-- starting hand #591 (id: lkrwsosba4d2)  No Limit Texas Hold'em (dealer: ""Dihctor Wemb @ GO72Iwd2XL"") --",2026-09-20T03:55:25.260Z,178987652526000
"-- ending hand #590 --",2026-09-20T03:55:19.348Z,178987651934802
"""jahan 2 @ iacG4hF18c"" collected 0.50 from pot",2026-09-20T03:55:19.348Z,178987651934801
"Uncalled bet of 0.25 returned to ""jahan 2 @ iacG4hF18c""",2026-09-20T03:55:19.348Z,178987651934800
"""Dihctor Wemb @ GO72Iwd2XL"" folds",2026-09-20T03:55:18.504Z,178987651850400
