entry,at,order
"The player ""Kober @ DRSv3IR7B7"" stand up with the stack of 260.50.",2026-09-22T07:03:38.177Z,179006061817700
"-- ending hand #693 --",2026-09-22T07:03:32.173Z,179006061217303
"""jahan 2 @ iacG4hF18c"" collected 10.00 from pot with Pair, 5's (combination: 9♦, Q♦, K♣, 5♠, 5♥)",2026-09-22T07:03:32.173Z,179006061217302
"""jahan 2 @ iacG4hF18c"" shows a 5♠, 5♥.",2026-09-22T07:03:32.173Z,179006061217301
"""Kober @ DRSv3IR7B7"" shows a 5♦, 7♦.",2026-09-22T07:03:32.173Z,179006061217300
"""Kober @ DRSv3IR7B7"" checks",2026-09-22T07:03:31.353Z,179006061135300
"""jahan 2 @ iacG4hF18c"" checks",2026-09-22T07:03:30.404Z,179006061040400
"River: 8♣, 9♦, Q♦, 2♣ [K♣]",2026-09-22T07:03:30.173Z,179006061017300
"""Kober @ DRSv3IR7B7"" checks",2026-09-22T07:03:29.292Z,179006060929200
"""jahan 2 @ iacG4hF18c"" checks",2026-09-22T07:03:28.431Z,179006060843100
"Turn: 8♣, 9♦, Q♦ [2♣]",2026-09-22T07:03:28.369Z,179006060836900
"""Kober @ DRSv3IR7B7"" checks",2026-09-22T07:03:27.562Z,179006060756200
"""jahan 2 @ iacG4hF18c"" checks",2026-09-22T07:03:26.593Z,179006060659300
"Flop:  [8♣, 9♦, Q♦]",2026-09-22T07:03:25.424Z,179006060542400
"""jahan 2 @ iacG4hF18c"" calls 5.00",2026-09-22T07:03:24.589Z,179006060458900
"""Kober @ DRSv3IR7B7"" raises to 5.00",2026-09-22T07:03:23.321Z,179006060332100
"""jahan 2 @ iacG4hF18c"" posts a big blind of 0.50",2026-09-22T07:03:01.503Z,179006058150305
"""Kober @ DRSv3IR7B7"" posts a small blind of 0.25",2026-09-22T07:03:01.503Z,179006058150304
"Player stacks: #7 ""jahan 2 @ iacG4hF18c"" (207.63) | #10 ""Kober @ DRSv3IR7B7"" (265.50)",2026-09-22T07:03:01.503Z,179006058150301
"-- starting hand #693 (id: 98oxn5aubm6g)  No Limit Texas Hold'em (dealer: ""Kober @ DRSv3IR7B7"") --",2026-09-22T07:03:01.503Z,179006058150300
"-- ending hand #692 --",2026-09-22T07:02:55.581Z,179006057558102
"""Kober @ DRSv3IR7B7"" collected 0.50 from pot",2026-09-22T07:02:55.581Z,179006057558101
"Uncalled bet of 0.25 returned to ""Kober @ DRSv3IR7B7""",2026-09-22T07:02:55.581Z,179006057558100
"""jahan 2 @ iacG4hF18c"" folds",2026-09-22T07:02:54.777Z,179006057477700
"""Kober @ DRSv3IR7B7"" posts a big blind of 0.50",2026-09-22T07:02:47.482Z,179006056748206
"""jahan 2 @ iacG4hF18c"" posts a small blind of 0.25",2026-09-22T07:02:47.482Z,179006056748205
"Player stacks: #7 ""jahan 2 @ iacG4hF18c"" (207.88) | #10 ""Kober @ DRSv3IR7B7"" (265.25)",2026-09-22T07:02:47.482Z,179006056748202
"-- starting hand #692 (id: hlye8gq7i8fx)  No Limit Texas Hold'em (dealer: ""jahan 2 @ iacG4hF18c"") --",2026-09-22T07:02:47.482Z,179006056748201
"The player ""Bink @ IRFSw7AJ_c"" stand up with the stack of 127.38.",2026-09-22T07:02:47.482Z,179006056748200
"""jahan 2 @ iacG4hF18c"" shows a 8♣, 7♠.",2026-09-22T07:02:43.285Z,179006056328500
"-- ending hand #691 --",2026-09-22T07:02:40.874Z,179006056087402
"""jahan 2 @ iacG4hF18c"" collected 1.00 from pot",2026-09-22T07:02:40.874Z,179006056087401
"Uncalled bet of 0.75 returned to ""jahan 2 @ iacG4hF18c""",2026-09-22T07:02:40.874Z,179006056087400
"""Bink @ IRFSw7AJ_c"" folds",2026-09-22T07:02:40.070Z,179006056007000
"""jahan 2 @ iacG4hF18c"" bets 0.75",2026-09-22T07:02:29.536Z,179006054953600
"Turn: 9♦, 10♠, 3♠ [6♠]",2026-09-22T07:02:26.429Z,179006054642900
"""Bink @ IRFSw7AJ_c"" checks",2026-09-22T07:02:25.576Z,179006054557600
"""jahan 2 @ iacG4hF18c"" checks",2026-09-22T07:02:24.321Z,179006054432100
"Flop:  [9♦, 10♠, 3♠]",2026-09-22T07:02:18.426Z,179006053842600
"""Bink @ IRFSw7AJ_c"" checks",2026-09-22T07:02:17.576Z,179006053757600
"""jahan 2 @ iacG4hF18c"" calls 0.50",2026-09-22T07:02:16.674Z,179006053667400
"""Kober @ DRSv3IR7B7"" folds",2026-09-22T07:02:15.170Z,179006053517000
"""Bink @ IRFSw7AJ_c"" posts a big blind of 0.50",2026-09-22T07:02:14.218Z,179006053421806
"""jahan 2 @ iacG4hF18c"" posts a small blind of 0.25",2026-09-22T07:02:14.218Z,179006053421805
"Player stacks: #7 ""jahan 2 @ iacG4hF18c"" (207.38) | #9 ""Bink @ IRFSw7AJ_c"" (127.88) | #10 ""Kober @ DRSv3IR7B7"" (265.25)",2026-09-22T07:02:14.218Z,179006053421801
"-- starting hand #691 (id: 9ktscdqs07vc)  No Limit Texas Hold'em (dealer: ""Kober @ DRSv3IR7B7"") --",2026-09-22T07:02:14.218Z,179006053421800
"-- ending hand #690 --",2026-09-22T07:02:08.215Z,179006052821502
"""jahan 2 @ iacG4hF18c"" collected 0.50 from pot",2026-09-22T07:02:08.215Z,179006052821501
"Uncalled bet of 0.25 returned to ""jahan 2 @ iacG4hF18c""",2026-09-22T07:02:08.215Z,179006052821500
