entry,at,order
"The player ""Dihh @ GO72Iwd2XL"" stand up with the stack of 200.39.",2026-09-23T04:25:58.700Z,179013755870001
"The player ""24242424242424 @ DRSv3IR7B7"" stand up with the stack of 1080.89.",2026-09-23T04:25:58.700Z,179013755870000
"-- ending hand #1035 --",2026-09-23T04:25:52.694Z,179013755269401
"""Dihh @ GO72Iwd2XL"" collected 16.00 from pot",2026-09-23T04:25:52.694Z,179013755269400
"""24242424242424 @ DRSv3IR7B7"" folds",2026-09-23T04:25:51.757Z,179013755175700
"Flop:  [8♥, A♥, 6♥]",2026-09-23T04:25:48.552Z,179013754855200
"""24242424242424 @ DRSv3IR7B7"" calls 8.00",2026-09-23T04:25:47.737Z,179013754773700
"""Dihh @ GO72Iwd2XL"" raises to 8.00",2026-09-23T04:25:46.649Z,179013754664900
"""24242424242424 @ DRSv3IR7B7"" posts a big blind of 0.50",2026-09-23T04:25:26.668Z,179013752666805
"""Dihh @ GO72Iwd2XL"" posts a small blind of 0.25",2026-09-23T04:25:26.668Z,179013752666804
"Player stacks: #2 ""Dihh @ GO72Iwd2XL"" (192.39) | #6 ""24242424242424 @ DRSv3IR7B7"" (1088.89)",2026-09-23T04:25:26.668Z,179013752666801
"-- starting hand #1035 (id: mvvvzwox4gpz)  No Limit Texas Hold'em (dealer: ""Dihh @ GO72Iwd2XL"") --",2026-09-23T04:25:26.668Z,179013752666800
"""24242424242424 @ DRSv3IR7B7"" shows a 5♣, 3♥.",2026-09-23T04:25:23.487Z,179013752348700
"""Dihh @ GO72Iwd2XL"" shows a 6♦, 7♠.",2026-09-23T04:25:22.551Z,179013752255100
"-- ending hand #1034 --",2026-09-23T04:25:22.339Z,179013752233902
"""24242424242424 @ DRSv3IR7B7"" collected 7.00 from pot",2026-09-23T04:25:22.339Z,179013752233901
"Uncalled bet of 3.00 returned to ""24242424242424 @ DRSv3IR7B7""",2026-09-23T04:25:22.339Z,179013752233900
"""Dihh @ GO72Iwd2XL"" folds",2026-09-23T04:25:21.492Z,179013752149200
"""24242424242424 @ DRSv3IR7B7"" bets 3.00",2026-09-23T04:25:19.865Z,179013751986500
"""Dihh @ GO72Iwd2XL"" checks",2026-09-23T04:25:17.142Z,179013751714200
"River: 8♦, 8♠, 9♦, 2♣ [K♣]",2026-09-23T04:25:15.662Z,179013751566200
"""24242424242424 @ DRSv3IR7B7"" checks",2026-09-23T04:25:14.781Z,179013751478100
"""Dihh @ GO72Iwd2XL"" checks",2026-09-23T04:25:13.747Z,179013751374700
"Turn: 8♦, 8♠, 9♦ [2♣]",2026-09-23T04:25:12.448Z,179013751244800
