entry,at,order
"The player ""Rayan @ nhXZL_Cydv"" stand up with the stack of 46.85.",2026-09-09T03:18:24.678Z,178892390467801
"The player ""R Y A N @ GO72Iwd2XL"" stand up with the stack of 72.33.",2026-09-09T03:18:24.678Z,178892390467800
"-- ending hand #223 --",2026-09-09T03:18:18.678Z,178892389867802
"""Rayan @ nhXZL_Cydv"" collected 0.40 from pot",2026-09-09T03:18:18.678Z,178892389867801
"Uncalled bet of 0.40 returned to ""Rayan @ nhXZL_Cydv""",2026-09-09T03:18:18.678Z,178892389867800
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-09T03:18:17.845Z,178892389784500
"""Rayan @ nhXZL_Cydv"" bets 0.40",2026-09-09T03:18:15.854Z,178892389585400
"""R Y A N @ GO72Iwd2XL"" checks",2026-09-09T03:18:13.468Z,178892389346800
"Turn: 7♥, 10♣, 3♥ [J♥]",2026-09-09T03:18:12.158Z,178892389215800
"""Rayan @ nhXZL_Cydv"" checks",2026-09-09T03:18:11.341Z,178892389134100
"""R Y A N @ GO72Iwd2XL"" checks",2026-09-09T03:18:08.867Z,178892388886700
"Flop:  [7♥, 10♣, 3♥]",2026-09-09T03:18:03.293Z,178892388329300
"""R Y A N @ GO72Iwd2XL"" checks",2026-09-09T03:18:02.409Z,178892388240900
"""Rayan @ nhXZL_Cydv"" calls 0.20",2026-09-09T03:18:00.046Z,178892388004600
"""R Y A N @ GO72Iwd2XL"" posts a big blind of 0.20",2026-09-09T03:17:57.598Z,178892387759806
"""Rayan @ nhXZL_Cydv"" posts a small blind of 0.10",2026-09-09T03:17:57.598Z,178892387759805
"Player stacks: #9 ""Rayan @ nhXZL_Cydv"" (46.65) | #10 ""R Y A N @ GO72Iwd2XL"" (72.53)",2026-09-09T03:17:57.598Z,178892387759802
"-- starting hand #223 (id: l7crqhgknulu)  No Limit Texas Hold'em (dealer: ""Rayan @ nhXZL_Cydv"") --",2026-09-09T03:17:57.598Z,178892387759801
"The player ""jahan @ iacG4hF18c"" stand up with the stack of 70.58.",2026-09-09T03:17:57.598Z,178892387759800
"-- ending hand #222 --",2026-09-09T03:17:51.678Z,178892387167802
"""R Y A N @ GO72Iwd2XL"" collected 0.60 from pot",2026-09-09T03:17:51.678Z,178892387167801
"Uncalled bet of 0.60 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-09T03:17:51.678Z,178892387167800
"""Rayan @ nhXZL_Cydv"" folds",2026-09-09T03:17:50.876Z,178892387087600
"""jahan @ iacG4hF18c"" folds",2026-09-09T03:17:50.008Z,178892387000800
"""R Y A N @ GO72Iwd2XL"" bets 0.60",2026-09-09T03:17:49.100Z,178892386910000
"""Rayan @ nhXZL_Cydv"" checks",2026-09-09T03:17:46.252Z,178892386625200
"Flop:  [Q♠, K♦, Q♥]",2026-09-09T03:17:45.184Z,178892386518400
"""R Y A N @ GO72Iwd2XL"" checks",2026-09-09T03:17:44.368Z,178892386436800
"""Rayan @ nhXZL_Cydv"" calls 0.20",2026-09-09T03:17:42.540Z,178892386254000
"""jahan @ iacG4hF18c"" calls 0.20",2026-09-09T03:17:41.210Z,178892386121000
"""R Y A N @ GO72Iwd2XL"" posts a big blind of 0.20",2026-09-09T03:17:40.378Z,178892386037806
"""Rayan @ nhXZL_Cydv"" posts a small blind of 0.10",2026-09-09T03:17:40.378Z,178892386037805
"Player stacks: #3 ""jahan @ iacG4hF18c"" (70.78) | #9 ""Rayan @ nhXZL_Cydv"" (46.85) | #10 ""R Y A N @ GO72Iwd2XL"" (72.13)",2026-09-09T03:17:40.378Z,178892386037801
"-- starting hand #222 (id: 5pvrzatnd1vm)  No Limit Texas Hold'em (dealer: ""jahan @ iacG4hF18c"") --",2026-09-09T03:17:40.378Z,178892386037800
"""Rayan @ nhXZL_Cydv"" shows a J♦, 8♣.",2026-09-09T03:17:37.441Z,178892385744100
"-- ending hand #221 --",2026-09-09T03:17:36.620Z,178892385662002
"""jahan @ iacG4hF18c"" collected 3.60 from pot with Two Pair, 5's & 3's (combination: K♣, 3♠, 3♣, 5♦, 5♠)",2026-09-09T03:17:36.620Z,178892385662001
"""jahan @ iacG4hF18c"" shows a 3♠, 5♦.",2026-09-09T03:17:36.620Z,178892385662000
"""Rayan @ nhXZL_Cydv"" checks",2026-09-09T03:17:35.800Z,178892385580000
"""jahan @ iacG4hF18c"" checks",2026-09-09T03:17:34.915Z,178892385491500
"River: 5♠, 6♥, J♣, 3♣ [K♣]",2026-09-09T03:17:33.466Z,178892385346600
"""jahan @ iacG4hF18c"" calls 1.20",2026-09-09T03:17:32.626Z,178892385262600
"""Rayan @ nhXZL_Cydv"" bets 1.20",2026-09-09T03:17:31.220Z,178892385122000
"""jahan @ iacG4hF18c"" checks",2026-09-09T03:17:28.353Z,178892384835300
"Turn: 5♠, 6♥, J♣ [3♣]",2026-09-09T03:17:27.212Z,178892384721200
"""jahan @ iacG4hF18c"" calls 0.40",2026-09-09T03:17:26.398Z,178892384639800
"""Rayan @ nhXZL_Cydv"" bets 0.40",2026-09-09T03:17:25.466Z,178892384546600
"""jahan @ iacG4hF18c"" checks",2026-09-09T03:17:22.405Z,178892384240500
"Flop:  [5♠, 6♥, J♣]",2026-09-09T03:17:20.572Z,178892384057200
"""Rayan @ nhXZL_Cydv"" checks",2026-09-09T03:17:19.672Z,178892383967200
"""jahan @ iacG4hF18c"" calls 0.20",2026-09-09T03:17:17.829Z,178892383782900
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-09T03:17:16.993Z,178892383699300
"""Rayan @ nhXZL_Cydv"" posts a big blind of 0.20",2026-09-09T03:17:15.369Z,178892383536906
"""jahan @ iacG4hF18c"" posts a small blind of 0.10",2026-09-09T03:17:15.369Z,178892383536905
"Player stacks: #3 ""jahan @ iacG4hF18c"" (68.98) | #9 ""Rayan @ nhXZL_Cydv"" (48.65) | #10 ""R Y A N @ GO72Iwd2XL"" (72.13)",2026-09-09T03:17:15.369Z,178892383536901
"-- starting hand #221 (id: ouplisogw4hb)  No Limit Texas Hold'em (dealer: ""R Y A N @ GO72Iwd2XL"") --",2026-09-09T03:17:15.369Z,178892383536900
"-- ending hand #220 --",2026-09-09T03:17:09.398Z,178892382939802
"""R Y A N @ GO72Iwd2XL"" collected 1.80 from pot",2026-09-09T03:17:09.398Z,178892382939801
"Uncalled bet of 1.80 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-09T03:17:09.398Z,178892382939800
"""jahan @ iacG4hF18c"" folds",2026-09-09T03:17:08.570Z,178892382857000
"""R Y A N @ GO72Iwd2XL"" bets 1.80",2026-09-09T03:17:07.588Z,178892382758800
"Turn: K♣, 2♠, 5♦ [A♠]",2026-09-09T03:17:04.595Z,178892382459500
"""Rayan @ nhXZL_Cydv"" folds",2026-09-09T03:17:03.783Z,178892382378300
"""jahan @ iacG4hF18c"" calls 0.60",2026-09-09T03:17:02.668Z,178892382266800
"""R Y A N @ GO72Iwd2XL"" bets 0.60",2026-09-09T03:17:01.369Z,178892382136900
"Flop:  [K♣, 2♠, 5♦]",2026-09-09T03:16:58.275Z,178892381827500
"""jahan @ iacG4hF18c"" checks",2026-09-09T03:16:57.446Z,178892381744600
"""R Y A N @ GO72Iwd2XL"" calls 0.20",2026-09-09T03:16:55.224Z,178892381522400
"""Rayan @ nhXZL_Cydv"" calls 0.20",2026-09-09T03:16:53.165Z,178892381316500
"""jahan @ iacG4hF18c"" posts a big blind of 0.20",2026-09-09T03:16:52.117Z,178892381211706
"""R Y A N @ GO72Iwd2XL"" posts a small blind of 0.10",2026-09-09T03:16:52.117Z,178892381211705
"Player stacks: #3 ""jahan @ iacG4hF18c"" (69.78) | #9 ""Rayan @ nhXZL_Cydv"" (48.85) | #10 ""R Y A N @ GO72Iwd2XL"" (71.13)",2026-09-09T03:16:52.117Z,178892381211701
"-- starting hand #220 (id: ami3rvkqb6ru)  No Limit Texas Hold'em (dealer: ""Rayan @ nhXZL_Cydv"") --",2026-09-09T03:16:52.117Z,178892381211700
"-- ending hand #219 --",2026-09-09T03:16:46.204Z,178892380620402
"""Rayan @ nhXZL_Cydv"" collected 4.80 from pot",2026-09-09T03:16:46.204Z,178892380620401
"Uncalled bet of 2.40 returned to ""Rayan @ nhXZL_Cydv""",2026-09-09T03:16:46.204Z,178892380620400
"""jahan @ iacG4hF18c"" folds",2026-09-09T03:16:45.334Z,178892380533400
"""Rayan @ nhXZL_Cydv"" bets 2.40",2026-09-09T03:16:43.684Z,178892380368400
"Turn: 9♦, 2♣, 5♣ [10♠]",2026-09-09T03:16:40.009Z,178892380000900
"""jahan @ iacG4hF18c"" calls 1.60",2026-09-09T03:16:39.123Z,178892379912300
"""Rayan @ nhXZL_Cydv"" bets 1.60",2026-09-09T03:16:37.985Z,178892379798500
"Flop:  [9♦, 2♣, 5♣]",2026-09-09T03:16:35.204Z,178892379520400
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-09T03:16:34.369Z,178892379436900
"""Rayan @ nhXZL_Cydv"" calls 0.70",2026-09-09T03:16:33.445Z,178892379344500
