entry,at,order
"The player ""jahan @ hpHn3c2SeL"" quits the game with a stack of 11.10.",2026-09-18T04:53:12.864Z,178970719286401
"The player ""jahan @ hpHn3c2SeL"" stand up with the stack of 11.10.",2026-09-18T04:53:12.864Z,178970719286400
"-- ending hand #924 --",2026-09-18T04:53:06.945Z,178970718694502
"""rowan @ GthBpPSqaK"" collected 1.00 from pot",2026-09-18T04:53:06.945Z,178970718694501
"Uncalled bet of 1.50 returned to ""rowan @ GthBpPSqaK""",2026-09-18T04:53:06.945Z,178970718694500
"""jahan @ hpHn3c2SeL"" folds",2026-09-18T04:53:06.105Z,178970718610500
"""rowan @ GthBpPSqaK"" raises to 2.00",2026-09-18T04:52:53.024Z,178970717302400
"""jahan @ hpHn3c2SeL"" posts a big blind of 0.50",2026-09-18T04:52:37.638Z,178970715763805
"""rowan @ GthBpPSqaK"" posts a small blind of 0.25",2026-09-18T04:52:37.638Z,178970715763804
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (198.49) | #8 ""jahan @ hpHn3c2SeL"" (11.60)",2026-09-18T04:52:37.638Z,178970715763801
"-- starting hand #924 (id: drgcsdnphmtk)  No Limit Texas Hold'em (dealer: ""rowan @ GthBpPSqaK"") --",2026-09-18T04:52:37.638Z,178970715763800
"-- ending hand #923 --",2026-09-18T04:52:31.691Z,178970715169102
"""rowan @ GthBpPSqaK"" collected 0.50 from pot",2026-09-18T04:52:31.691Z,178970715169101
"Uncalled bet of 0.25 returned to ""rowan @ GthBpPSqaK""",2026-09-18T04:52:31.691Z,178970715169100
"""jahan @ hpHn3c2SeL"" folds",2026-09-18T04:52:30.820Z,178970715082000
"""rowan @ GthBpPSqaK"" posts a big blind of 0.50",2026-09-18T04:52:13.876Z,178970713387605
"""jahan @ hpHn3c2SeL"" posts a small blind of 0.25",2026-09-18T04:52:13.876Z,178970713387604
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (198.24) | #8 ""jahan @ hpHn3c2SeL"" (11.85)",2026-09-18T04:52:13.876Z,178970713387601
"-- starting hand #923 (id: 78kezjhemzfn)  No Limit Texas Hold'em (dealer: ""jahan @ hpHn3c2SeL"") --",2026-09-18T04:52:13.876Z,178970713387600
"-- ending hand #922 --",2026-09-18T04:52:07.874Z,178970712787402
"""jahan @ hpHn3c2SeL"" collected 0.50 from pot",2026-09-18T04:52:07.874Z,178970712787401
"Uncalled bet of 0.25 returned to ""jahan @ hpHn3c2SeL""",2026-09-18T04:52:07.874Z,178970712787400
"""rowan @ GthBpPSqaK"" folds",2026-09-18T04:52:06.990Z,178970712699000
"""jahan @ hpHn3c2SeL"" posts a big blind of 0.50",2026-09-18T04:52:05.747Z,178970712574705
"""rowan @ GthBpPSqaK"" posts a small blind of 0.25",2026-09-18T04:52:05.747Z,178970712574704
"Player stacks: #1 ""rowan @ GthBpPSqaK"" (198.49) | #8 ""jahan @ hpHn3c2SeL"" (11.60)",2026-09-18T04:52:05.747Z,178970712574701
"-- starting hand #922 (id: 7lw9ue2htqj6)  No Limit Texas Hold'em (dealer: ""rowan @ GthBpPSqaK"") --",2026-09-18T04:52:05.747Z,178970712574700
"-- ending hand #921 --",2026-09-18T04:51:59.703Z,178970711970302
"""rowan @ GthBpPSqaK"" collected 80.00 from pot with Flush, A High (combination: 4♦, 5♦, J♦, K♦, A♦)",2026-09-18T04:51:59.703Z,178970711970301
"""rowan @ GthBpPSqaK"" shows a K♦, A♦.",2026-09-18T04:51:59.703Z,178970711970300
"""jahan @ hpHn3c2SeL"" calls 24.00",2026-09-18T04:51:58.900Z,178970711890000
"""rowan @ GthBpPSqaK"" bets 24.00",2026-09-18T04:51:56.612Z,178970711661200
"River: J♦, 9♣, 3♣, 4♦ [5♦]",2026-09-18T04:51:49.095Z,178970710909500
"""jahan @ hpHn3c2SeL"" calls 8.00",2026-09-18T04:51:48.222Z,178970710822200
