entry,at,order
"The player ""R Y A N @ GO72Iwd2XL"" quits the game with a stack of 0.00.",2026-09-08T02:52:05.769Z,178883592576900
"Asking to busted players the rebuy decision.",2026-09-08T02:52:04.526Z,178883592452600
"-- ending hand #270 --",2026-09-08T02:52:01.484Z,178883592148401
"""jahan @ iacG4hF18c"" collected 23.83 from pot with Pair, 4's (combination: 8♠, 9♣, K♦, 4♥, 4♠)",2026-09-08T02:52:01.484Z,178883592148400
"River: 4♠, 9♣, 8♠, 7♥ [K♦]",2026-09-08T02:51:57.473Z,178883591747300
"Turn: 4♠, 9♣, 8♠ [7♥]",2026-09-08T02:51:53.405Z,178883591340500
"Flop:  [4♠, 9♣, 8♠]",2026-09-08T02:51:49.401Z,178883590940100
"""R Y A N @ GO72Iwd2XL"" shows a 5♥, J♣.",2026-09-08T02:51:45.346Z,178883590534602
"""jahan @ iacG4hF18c"" shows a 2♦, 4♥.",2026-09-08T02:51:45.346Z,178883590534601
"Uncalled bet of 372.83 returned to ""jahan @ iacG4hF18c""",2026-09-08T02:51:45.346Z,178883590534600
"Some players choose to not run it twice.",2026-09-08T02:51:44.527Z,178883590452701
"""jahan @ iacG4hF18c"" chooses to not run it twice.",2026-09-08T02:51:44.527Z,178883590452700
"Remaining players decide whether to run it twice.",2026-09-08T02:51:42.935Z,178883590293501
"""R Y A N @ GO72Iwd2XL"" calls 11.79 and go all in",2026-09-08T02:51:42.935Z,178883590293500
"""jahan @ iacG4hF18c"" raises to 384.62 and go all in",2026-09-08T02:51:37.108Z,178883589710800
"""jahan @ iacG4hF18c"" posts a missed big blind of 0.50",2026-09-08T02:51:32.588Z,178883589258809
"""jahan @ iacG4hF18c"" posts a missing small blind of 0.25",2026-09-08T02:51:32.588Z,178883589258808
"""R Y A N @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-08T02:51:32.588Z,178883589258807
"""jahan @ iacG4hF18c"" posts a small blind of 0.25",2026-09-08T02:51:32.588Z,178883589258806
"Player stacks: #2 ""jahan @ iacG4hF18c"" (384.87) | #4 ""R Y A N @ GO72Iwd2XL"" (11.79)",2026-09-08T02:51:32.588Z,178883589258803
"-- starting hand #270 (id: lkmeaoowmzz5)  No Limit Texas Hold'em (dealer: ""jahan @ iacG4hF18c"") --",2026-09-08T02:51:32.588Z,178883589258802
"The player ""jahan @ iacG4hF18c"" joined the game with a stack of 384.87.",2026-09-08T02:51:32.588Z,178883589258801
"The player ""cam @ 5Hkt1ueeT1"" stand up with the stack of 89.49.",2026-09-08T02:51:32.588Z,178883589258800
"The player ""jahan @ iacG4hF18c"" sit back with the stack of 384.87.",2026-09-08T02:51:27.960Z,178883588796000
"Undealt cards:  [2♥, 10♥, A♣, 2♣, K♥]",2026-09-08T02:51:27.656Z,178883588765600
"-- ending hand #269 --",2026-09-08T02:51:26.673Z,178883588667302
"""R Y A N @ GO72Iwd2XL"" collected 1.00 from pot",2026-09-08T02:51:26.673Z,178883588667301
"Uncalled bet of 10.79 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-08T02:51:26.673Z,178883588667300
"""cam @ 5Hkt1ueeT1"" folds",2026-09-08T02:51:25.856Z,178883588585600
"""R Y A N @ GO72Iwd2XL"" raises to 11.29 and go all in",2026-09-08T02:51:25.039Z,178883588503900
"""cam @ 5Hkt1ueeT1"" posts a big blind of 0.50",2026-09-08T02:51:21.893Z,178883588189305
"""R Y A N @ GO72Iwd2XL"" posts a small blind of 0.25",2026-09-08T02:51:21.893Z,178883588189304
"Your hand is K♠, 4♥",2026-09-08T02:51:21.893Z,178883588189302
"Player stacks: #3 ""cam @ 5Hkt1ueeT1"" (89.99) | #4 ""R Y A N @ GO72Iwd2XL"" (11.29)",2026-09-08T02:51:21.893Z,178883588189301
"-- starting hand #269 (id: yqh0lxoxdnjz)  No Limit Texas Hold'em (dealer: ""R Y A N @ GO72Iwd2XL"") --",2026-09-08T02:51:21.893Z,178883588189300
"-- ending hand #268 --",2026-09-08T02:51:16.867Z,178883587686702
"""R Y A N @ GO72Iwd2XL"" collected 11.29 from pot with Pair, J's on the second board  (combination: 7♥, 8♦, 10♥, J♥, J♣)",2026-09-08T02:51:16.867Z,178883587686701
"""cam @ 5Hkt1ueeT1"" collected 11.29 from pot with Pair, 6's (combination: 10♦, K♣, A♥, 6♥, 6♠)",2026-09-08T02:51:16.867Z,178883587686700
"River (second board): 10♥, 8♦, 4♦, J♣ [3♠]",2026-09-08T02:51:12.862Z,178883587286201
"River: K♣, 3♦, 6♠, 2♠ [10♦]",2026-09-08T02:51:12.862Z,178883587286200
"Turn (second board): 10♥, 8♦, 4♦ [J♣]",2026-09-08T02:51:08.828Z,178883586882801
"Turn: K♣, 3♦, 6♠ [2♠]",2026-09-08T02:51:08.828Z,178883586882800
"""R Y A N @ GO72Iwd2XL"" shows a J♥, 7♥.",2026-09-08T02:51:04.823Z,178883586482301
"""cam @ 5Hkt1ueeT1"" shows a 6♥, A♥.",2026-09-08T02:51:04.823Z,178883586482300
