entry,at,order
"The player ""R Y A N @ GO72Iwd2XL"" stand up with the stack of 409.77.",2026-09-12T02:05:40.696Z,178917874069601
"The player ""Rayan @ nhXZL_Cydv"" stand up with the stack of 301.76.",2026-09-12T02:05:40.696Z,178917874069600
"-- ending hand #977 --",2026-09-12T02:05:34.746Z,178917873474602
"""Rayan @ nhXZL_Cydv"" collected 0.50 from pot",2026-09-12T02:05:34.746Z,178917873474601
"Uncalled bet of 0.25 returned to ""Rayan @ nhXZL_Cydv""",2026-09-12T02:05:34.746Z,178917873474600
"""JJJJJJJJJJJJJ @ hpHn3c2SeL"" folds",2026-09-12T02:05:33.932Z,178917873393200
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-12T02:05:31.235Z,178917873123500
"""Rayan @ nhXZL_Cydv"" posts a big blind of 0.50",2026-09-12T02:05:29.543Z,178917872954306
"""JJJJJJJJJJJJJ @ hpHn3c2SeL"" posts a small blind of 0.25",2026-09-12T02:05:29.543Z,178917872954305
"Player stacks: #6 ""R Y A N @ GO72Iwd2XL"" (409.77) | #9 ""JJJJJJJJJJJJJ @ hpHn3c2SeL"" (104.56) | #10 ""Rayan @ nhXZL_Cydv"" (301.51)",2026-09-12T02:05:29.543Z,178917872954301
"-- starting hand #977 (id: ttzpn4f0suni)  No Limit Texas Hold'em (dealer: ""R Y A N @ GO72Iwd2XL"") --",2026-09-12T02:05:29.543Z,178917872954300
"""JJJJJJJJJJJJJ @ hpHn3c2SeL"" shows a 4♠.",2026-09-12T02:05:28.032Z,178917872803200
"-- ending hand #976 --",2026-09-12T02:05:25.881Z,178917872588102
"""JJJJJJJJJJJJJ @ hpHn3c2SeL"" collected 100.00 from pot",2026-09-12T02:05:25.881Z,178917872588101
"Uncalled bet of 4.56 returned to ""JJJJJJJJJJJJJ @ hpHn3c2SeL""",2026-09-12T02:05:25.881Z,178917872588100
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-12T02:05:25.051Z,178917872505100
