entry,at,order
"The player ""4949494949 @ 29cQfyi8o3"" quits the game with a stack of 0.00.",2026-09-25T08:16:49.573Z,179032420957300
"Asking to busted players the rebuy decision.",2026-09-25T08:16:29.536Z,179032418953600
"-- ending hand #1228 --",2026-09-25T08:16:23.499Z,179032418349901
"""jamie @ pL_pd5IgIf"" collected 316.80 from pot with Pair, K's (combination: 10♦, Q♥, A♠, K♦, K♠)",2026-09-25T08:16:23.499Z,179032418349900
"River: 10♦, 2♣, 5♥, K♠ [Q♥]",2026-09-25T08:16:19.454Z,179032417945400
"Turn: 10♦, 2♣, 5♥ [K♠]",2026-09-25T08:16:15.450Z,179032417545000
"Flop:  [10♦, 2♣, 5♥]",2026-09-25T08:16:11.404Z,179032417140400
"""jamie @ pL_pd5IgIf"" shows a K♦, A♠.",2026-09-25T08:16:07.399Z,179032416739901
"""4949494949 @ 29cQfyi8o3"" shows a J♥, J♣.",2026-09-25T08:16:07.399Z,179032416739900
"Some players choose to not run it twice.",2026-09-25T08:16:06.595Z,179032416659501
"""4949494949 @ 29cQfyi8o3"" chooses to not run it twice.",2026-09-25T08:16:06.595Z,179032416659500
"""jamie @ pL_pd5IgIf"" chooses to  run it twice.",2026-09-25T08:16:05.938Z,179032416593800
"Remaining players decide whether to run it twice.",2026-09-25T08:16:05.461Z,179032416546101
"""jamie @ pL_pd5IgIf"" calls 158.40",2026-09-25T08:16:05.461Z,179032416546100
"""4949494949 @ 29cQfyi8o3"" raises to 158.40 and go all in",2026-09-25T08:16:03.593Z,179032416359300
"""jamie @ pL_pd5IgIf"" raises to 36.00",2026-09-25T08:16:01.764Z,179032416176400
"""4949494949 @ 29cQfyi8o3"" raises to 12.00",2026-09-25T08:15:55.641Z,179032415564100
"""jamie @ pL_pd5IgIf"" raises to 4.00",2026-09-25T08:15:51.907Z,179032415190700
"""4949494949 @ 29cQfyi8o3"" posts a big blind of 1.00",2026-09-25T08:15:50.077Z,179032415007705
"""jamie @ pL_pd5IgIf"" posts a small blind of 0.50",2026-09-25T08:15:50.077Z,179032415007704
"Player stacks: #3 ""4949494949 @ 29cQfyi8o3"" (158.40) | #5 ""jamie @ pL_pd5IgIf"" (1694.70)",2026-09-25T08:15:50.077Z,179032415007701
"-- starting hand #1228 (id: qhcdauqhj9ql)  No Limit Texas Hold'em (dealer: ""jamie @ pL_pd5IgIf"") --",2026-09-25T08:15:50.077Z,179032415007700
"-- ending hand #1227 --",2026-09-25T08:15:44.136Z,179032414413602
"""4949494949 @ 29cQfyi8o3"" collected 2.00 from pot",2026-09-25T08:15:44.136Z,179032414413601
"Uncalled bet of 3.00 returned to ""4949494949 @ 29cQfyi8o3""",2026-09-25T08:15:44.136Z,179032414413600
"""jamie @ pL_pd5IgIf"" folds",2026-09-25T08:15:43.302Z,179032414330200
"""4949494949 @ 29cQfyi8o3"" raises to 4.00",2026-09-25T08:15:42.376Z,179032414237600
"""jamie @ pL_pd5IgIf"" posts a big blind of 1.00",2026-09-25T08:15:41.062Z,179032414106205
"""4949494949 @ 29cQfyi8o3"" posts a small blind of 0.50",2026-09-25T08:15:41.062Z,179032414106204
"Player stacks: #3 ""4949494949 @ 29cQfyi8o3"" (157.40) | #5 ""jamie @ pL_pd5IgIf"" (1695.70)",2026-09-25T08:15:41.062Z,179032414106201
"-- starting hand #1227 (id: e7f0wcxnrrmn)  No Limit Texas Hold'em (dealer: ""4949494949 @ 29cQfyi8o3"") --",2026-09-25T08:15:41.062Z,179032414106200
"-- ending hand #1226 --",2026-09-25T08:15:35.060Z,179032413506002
