entry,at,order
"The player ""Rayan @ nhXZL_Cydv"" stand up with the stack of 363.14.",2026-09-15T05:07:11.145Z,178944883114500
"The player ""Rayan @ nhXZL_Cydv"" sit back with the stack of 363.14.",2026-09-15T05:06:47.298Z,178944880729800
"The player ""jahan @ iacG4hF18c"" stand up with the stack of 105.22.",2026-09-15T05:04:20.284Z,178944866028400
"The player ""R Y A N @ GO72Iwd2XL"" stand up with the stack of 441.76.",2026-09-15T05:03:52.277Z,178944863227700
"-- ending hand #1279 --",2026-09-15T05:03:46.348Z,178944862634802
"""jahan @ iacG4hF18c"" collected 1.00 from pot",2026-09-15T05:03:46.348Z,178944862634801
"Uncalled bet of 1.50 returned to ""jahan @ iacG4hF18c""",2026-09-15T05:03:46.348Z,178944862634800
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-15T05:03:45.507Z,178944862550700
"""jahan @ iacG4hF18c"" raises to 2.00",2026-09-15T05:03:44.465Z,178944862446500
"""R Y A N @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-15T05:03:36.857Z,178944861685706
"""jahan @ iacG4hF18c"" posts a small blind of 0.25",2026-09-15T05:03:36.857Z,178944861685705
"Player stacks: #3 ""jahan @ iacG4hF18c"" (104.72) | #9 ""R Y A N @ GO72Iwd2XL"" (442.26)",2026-09-15T05:03:36.857Z,178944861685702
"-- starting hand #1279 (id: v9skrhygraxt)  No Limit Texas Hold'em (dealer: ""jahan @ iacG4hF18c"") --",2026-09-15T05:03:36.857Z,178944861685701
"The player ""ṡul @ 6D7s410Ucp"" quits the game with a stack of 0.00.",2026-09-15T05:03:36.857Z,178944861685700
"The player ""ṡul @ 6D7s410Ucp"" passed the room ownership to ""R Y A N @ GO72Iwd2XL"".",2026-09-15T05:03:35.396Z,178944861539600
"Asking to busted players the rebuy decision.",2026-09-15T05:03:34.485Z,178944861448500
"-- ending hand #1278 --",2026-09-15T05:03:28.471Z,178944860847101
"""R Y A N @ GO72Iwd2XL"" collected 184.21 from pot with Pair, A's (combination: 7♠, 8♣, 10♦, A♦, A♥)",2026-09-15T05:03:28.471Z,178944860847100
"River: 7♠, 10♦, 8♣, 5♥ [6♥]",2026-09-15T05:03:24.455Z,178944860445500
"""R Y A N @ GO72Iwd2XL"" shows a A♦, A♥.",2026-09-15T05:03:20.391Z,178944860039101
"""ṡul @ 6D7s410Ucp"" shows a K♥.",2026-09-15T05:03:20.391Z,178944860039100
"""ṡul @ 6D7s410Ucp"" shows a 10♥.",2026-09-15T05:03:19.822Z,178944859982200
"Some players choose to not run it twice.",2026-09-15T05:03:19.514Z,178944859951401
"""R Y A N @ GO72Iwd2XL"" chooses to not run it twice.",2026-09-15T05:03:19.514Z,178944859951400
"Remaining players decide whether to run it twice.",2026-09-15T05:03:18.436Z,178944859843601
"""R Y A N @ GO72Iwd2XL"" calls 64.98",2026-09-15T05:03:18.436Z,178944859843600
"""ṡul @ 6D7s410Ucp"" raises to 64.98 and go all in",2026-09-15T05:03:17.253Z,178944859725300
"""R Y A N @ GO72Iwd2XL"" bets 25.00",2026-09-15T05:03:15.441Z,178944859544100
"""ṡul @ 6D7s410Ucp"" checks",2026-09-15T05:03:10.691Z,178944859069100
"Turn: 7♠, 10♦, 8♣ [5♥]",2026-09-15T05:03:09.386Z,178944858938600
"""ṡul @ 6D7s410Ucp"" calls 15.00",2026-09-15T05:03:08.463Z,178944858846300
"""R Y A N @ GO72Iwd2XL"" bets 15.00",2026-09-15T05:03:07.233Z,178944858723300
"""ṡul @ 6D7s410Ucp"" checks",2026-09-15T05:03:03.156Z,178944858315600
"Flop:  [7♠, 10♦, 8♣]",2026-09-15T05:02:59.755Z,178944857975500
"""ṡul @ 6D7s410Ucp"" calls 12.00",2026-09-15T05:02:58.903Z,178944857890300
"""R Y A N @ GO72Iwd2XL"" raises to 12.00",2026-09-15T05:02:57.972Z,178944857797200
"""ṡul @ 6D7s410Ucp"" raises to 6.00",2026-09-15T05:02:53.689Z,178944857368900
"""jahan @ iacG4hF18c"" folds",2026-09-15T05:02:51.011Z,178944857101100
"""R Y A N @ GO72Iwd2XL"" raises to 2.00",2026-09-15T05:02:50.171Z,178944857017100
"""ṡul @ 6D7s410Ucp"" posts a big blind of 0.50",2026-09-15T05:02:47.098Z,178944856709806
"""jahan @ iacG4hF18c"" posts a small blind of 0.25",2026-09-15T05:02:47.098Z,178944856709805
"Player stacks: #3 ""jahan @ iacG4hF18c"" (104.97) | #8 ""ṡul @ 6D7s410Ucp"" (91.98) | #9 ""R Y A N @ GO72Iwd2XL"" (350.03)",2026-09-15T05:02:47.098Z,178944856709801
"-- starting hand #1278 (id: vncobffdje0b)  No Limit Texas Hold'em (dealer: ""R Y A N @ GO72Iwd2XL"") --",2026-09-15T05:02:47.098Z,178944856709800
"-- ending hand #1277 --",2026-09-15T05:02:41.173Z,178944856117302
"""R Y A N @ GO72Iwd2XL"" collected 1.00 from pot",2026-09-15T05:02:41.173Z,178944856117301
"Uncalled bet of 1.50 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-15T05:02:41.173Z,178944856117300
"""jahan @ iacG4hF18c"" folds",2026-09-15T05:02:40.343Z,178944856034300
"""R Y A N @ GO72Iwd2XL"" raises to 2.00",2026-09-15T05:02:38.705Z,178944855870500
"""ṡul @ 6D7s410Ucp"" folds",2026-09-15T05:02:36.088Z,178944855608800
"""jahan @ iacG4hF18c"" posts a big blind of 0.50",2026-09-15T05:02:34.882Z,178944855488206
"""R Y A N @ GO72Iwd2XL"" posts a small blind of 0.25",2026-09-15T05:02:34.882Z,178944855488205
