entry,at,order
"The player ""Rowan @ GthBpPSqaK"" stand up with the stack of 418.49.",2026-09-11T06:01:16.353Z,178910647635300
"-- ending hand #1276 --",2026-09-11T06:01:10.417Z,178910647041702
"""Rowan @ GthBpPSqaK"" collected 0.50 from pot",2026-09-11T06:01:10.417Z,178910647041701
"Uncalled bet of 0.25 returned to ""Rowan @ GthBpPSqaK""",2026-09-11T06:01:10.417Z,178910647041700
"""Rayan @ nhXZL_Cydv"" folds",2026-09-11T06:01:09.553Z,178910646955300
"""Rowan @ GthBpPSqaK"" posts a big blind of 0.50",2026-09-11T06:01:08.352Z,178910646835205
"""Rayan @ nhXZL_Cydv"" posts a small blind of 0.25",2026-09-11T06:01:08.352Z,178910646835204
"Player stacks: #1 ""Rowan @ GthBpPSqaK"" (418.24) | #9 ""Rayan @ nhXZL_Cydv"" (99.01)",2026-09-11T06:01:08.352Z,178910646835201
"-- starting hand #1276 (id: 7ddcxbujfcod)  No Limit Texas Hold'em (dealer: ""Rayan @ nhXZL_Cydv"") --",2026-09-11T06:01:08.352Z,178910646835200
"""Rayan @ nhXZL_Cydv"" shows a K♦, K♥.",2026-09-11T06:01:06.022Z,178910646602200
"""Rowan @ GthBpPSqaK"" shows a 3♦.",2026-09-11T06:01:05.919Z,178910646591900
"""Rowan @ GthBpPSqaK"" shows a 4♦.",2026-09-11T06:01:04.819Z,178910646481900
"-- ending hand #1275 --",2026-09-11T06:01:04.015Z,178910646401502
"""Rowan @ GthBpPSqaK"" collected 24.00 from pot",2026-09-11T06:01:04.015Z,178910646401501
"Uncalled bet of 12.00 returned to ""Rowan @ GthBpPSqaK""",2026-09-11T06:01:04.015Z,178910646401500
"""Rayan @ nhXZL_Cydv"" folds",2026-09-11T06:01:03.175Z,178910646317500
"""Rowan @ GthBpPSqaK"" bets 12.00",2026-09-11T06:00:42.044Z,178910644204400
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T06:00:36.175Z,178910643617500
"River: 4♣, 7♠, 4♥, 2♠ [Q♦]",2026-09-11T06:00:35.130Z,178910643513000
"""Rayan @ nhXZL_Cydv"" calls 6.00",2026-09-11T06:00:34.307Z,178910643430700
"""Rowan @ GthBpPSqaK"" bets 6.00",2026-09-11T06:00:31.809Z,178910643180900
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T06:00:27.595Z,178910642759500
"Turn: 4♣, 7♠, 4♥ [2♠]",2026-09-11T06:00:26.848Z,178910642684800
"""Rayan @ nhXZL_Cydv"" calls 3.00",2026-09-11T06:00:26.036Z,178910642603600
"""Rowan @ GthBpPSqaK"" bets 3.00",2026-09-11T06:00:23.776Z,178910642377600
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T06:00:20.296Z,178910642029600
"Flop:  [4♣, 7♠, 4♥]",2026-09-11T06:00:18.696Z,178910641869600
"""Rowan @ GthBpPSqaK"" calls 3.00",2026-09-11T06:00:17.879Z,178910641787900
"""Rayan @ nhXZL_Cydv"" raises to 3.00",2026-09-11T06:00:14.671Z,178910641467100
"""Rowan @ GthBpPSqaK"" raises to 1.50",2026-09-11T06:00:10.630Z,178910641063000
"""Rayan @ nhXZL_Cydv"" posts a big blind of 0.50",2026-09-11T06:00:07.007Z,178910640700705
"""Rowan @ GthBpPSqaK"" posts a small blind of 0.25",2026-09-11T06:00:07.007Z,178910640700704
"Player stacks: #1 ""Rowan @ GthBpPSqaK"" (406.24) | #9 ""Rayan @ nhXZL_Cydv"" (111.01)",2026-09-11T06:00:07.007Z,178910640700701
"-- starting hand #1275 (id: qcuhzvoiwne5)  No Limit Texas Hold'em (dealer: ""Rowan @ GthBpPSqaK"") --",2026-09-11T06:00:07.007Z,178910640700700
"""Rowan @ GthBpPSqaK"" shows a 9♠, 2♥.",2026-09-11T06:00:01.496Z,178910640149600
"-- ending hand #1274 --",2026-09-11T06:00:00.493Z,178910640049302
"""Rayan @ nhXZL_Cydv"" collected 1.00 from pot with Two Pair, 7's & 5's (combination: 10♦, 5♥, 5♠, 7♦, 7♣)",2026-09-11T06:00:00.493Z,178910640049301
"""Rayan @ nhXZL_Cydv"" shows a 5♥, 8♥.",2026-09-11T06:00:00.493Z,178910640049300
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T05:59:59.618Z,178910639961800
"""Rowan @ GthBpPSqaK"" checks",2026-09-11T05:59:58.736Z,178910639873600
"River: 10♦, 2♦, 7♦, 7♣ [5♠]",2026-09-11T05:59:58.173Z,178910639817300
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T05:59:57.325Z,178910639732500
"""Rowan @ GthBpPSqaK"" checks",2026-09-11T05:59:56.251Z,178910639625100
"Turn: 10♦, 2♦, 7♦ [7♣]",2026-09-11T05:59:55.455Z,178910639545500
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T05:59:54.645Z,178910639464500
"""Rowan @ GthBpPSqaK"" checks",2026-09-11T05:59:53.188Z,178910639318800
"Flop:  [10♦, 2♦, 7♦]",2026-09-11T05:59:52.367Z,178910639236700
"""Rowan @ GthBpPSqaK"" checks",2026-09-11T05:59:51.525Z,178910639152500
"""Rayan @ nhXZL_Cydv"" calls 0.50",2026-09-11T05:59:50.658Z,178910639065800
"""Rowan @ GthBpPSqaK"" posts a big blind of 0.50",2026-09-11T05:59:49.652Z,178910638965205
"""Rayan @ nhXZL_Cydv"" posts a small blind of 0.25",2026-09-11T05:59:49.652Z,178910638965204
"Player stacks: #1 ""Rowan @ GthBpPSqaK"" (406.74) | #9 ""Rayan @ nhXZL_Cydv"" (110.51)",2026-09-11T05:59:49.652Z,178910638965201
"-- starting hand #1274 (id: xxtqipww6smc)  No Limit Texas Hold'em (dealer: ""Rayan @ nhXZL_Cydv"") --",2026-09-11T05:59:49.652Z,178910638965200
"-- ending hand #1273 --",2026-09-11T05:59:43.573Z,178910638357303
"""Rayan @ nhXZL_Cydv"" collected 2.00 from pot with Pair, 8's (combination: 7♣, J♦, A♠, 8♦, 8♠)",2026-09-11T05:59:43.573Z,178910638357302
"""Rayan @ nhXZL_Cydv"" shows a 4♦, 8♦.",2026-09-11T05:59:43.573Z,178910638357301
"""Rowan @ GthBpPSqaK"" shows a 10♦, 7♠.",2026-09-11T05:59:43.573Z,178910638357300
"""Rowan @ GthBpPSqaK"" checks",2026-09-11T05:59:42.759Z,178910638275900
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T05:59:41.709Z,178910638170900
"River: A♠, 5♠, J♦, 7♣ [8♠]",2026-09-11T05:59:40.669Z,178910638066900
"""Rayan @ nhXZL_Cydv"" calls 0.50",2026-09-11T05:59:39.801Z,178910637980100
"""Rowan @ GthBpPSqaK"" bets 0.50",2026-09-11T05:59:36.113Z,178910637611300
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T05:59:34.694Z,178910637469400
"Turn: A♠, 5♠, J♦ [7♣]",2026-09-11T05:59:34.064Z,178910637406400
"""Rowan @ GthBpPSqaK"" checks",2026-09-11T05:59:33.190Z,178910637319000
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T05:59:32.289Z,178910637228900
"Flop:  [A♠, 5♠, J♦]",2026-09-11T05:59:30.877Z,178910637087700
"""Rayan @ nhXZL_Cydv"" checks",2026-09-11T05:59:30.074Z,178910637007400
"""Rowan @ GthBpPSqaK"" calls 0.50",2026-09-11T05:59:28.940Z,178910636894000
"""Rayan @ nhXZL_Cydv"" posts a big blind of 0.50",2026-09-11T05:59:27.663Z,178910636766305
