entry,at,order
"The player ""Mamba @ DRSv3IR7B7"" stand up with the stack of 849.91.",2026-09-24T06:49:19.819Z,179023255981901
"The player ""Dih @ GO72Iwd2XL"" stand up with the stack of 50.50.",2026-09-24T06:49:19.819Z,179023255981900
"-- ending hand #1194 --",2026-09-24T06:49:13.893Z,179023255389302
"""Dih @ GO72Iwd2XL"" collected 1.00 from pot",2026-09-24T06:49:13.893Z,179023255389301
"Uncalled bet of 0.50 returned to ""Dih @ GO72Iwd2XL""",2026-09-24T06:49:13.893Z,179023255389300
"""Mamba @ DRSv3IR7B7"" folds",2026-09-24T06:49:13.050Z,179023255305000
"""Dih @ GO72Iwd2XL"" posts a big blind of 1.00",2026-09-24T06:49:10.403Z,179023255040305
"""Mamba @ DRSv3IR7B7"" posts a small blind of 0.50",2026-09-24T06:49:10.403Z,179023255040304
"Player stacks: #1 ""Mamba @ DRSv3IR7B7"" (850.41) | #2 ""Dih @ GO72Iwd2XL"" (50.00)",2026-09-24T06:49:10.403Z,179023255040301
"-- starting hand #1194 (id: gitw5kulcb6d)  No Limit Texas Hold'em (dealer: ""Mamba @ DRSv3IR7B7"") --",2026-09-24T06:49:10.403Z,179023255040300
"""Mamba @ DRSv3IR7B7"" shows a 8♦.",2026-09-24T06:49:07.729Z,179023254772900
"-- ending hand #1193 --",2026-09-24T06:49:06.769Z,179023254676901
"""Mamba @ DRSv3IR7B7"" collected 386.12 from pot",2026-09-24T06:49:06.769Z,179023254676900
"""Dih @ GO72Iwd2XL"" folds",2026-09-24T06:49:05.922Z,179023254592200
"""Mamba @ DRSv3IR7B7"" checks",2026-09-24T06:49:04.165Z,179023254416500
"River: Q♥, 7♣, J♠, 6♦ [8♣]",2026-09-24T06:48:57.779Z,179023253777900
"""Dih @ GO72Iwd2XL"" checks",2026-09-24T06:48:56.938Z,179023253693800
"""Mamba @ DRSv3IR7B7"" checks",2026-09-24T06:48:53.656Z,179023253365600
"Turn: Q♥, 7♣, J♠ [6♦]",2026-09-24T06:48:52.408Z,179023253240800
"""Dih @ GO72Iwd2XL"" checks",2026-09-24T06:48:51.583Z,179023253158300
"""Mamba @ DRSv3IR7B7"" checks",2026-09-24T06:48:50.066Z,179023253006600
"Flop:  [Q♥, 7♣, J♠]",2026-09-24T06:48:48.576Z,179023252857600
"""Mamba @ DRSv3IR7B7"" calls 193.06",2026-09-24T06:48:47.731Z,179023252773100
"""Dih @ GO72Iwd2XL"" raises to 193.06",2026-09-24T06:48:37.997Z,179023251799700
"""Mamba @ DRSv3IR7B7"" posts a big blind of 1.00",2026-09-24T06:48:15.573Z,179023249557312
"""Dih @ GO72Iwd2XL"" posts a small blind of 0.50",2026-09-24T06:48:15.573Z,179023249557311
"Player stacks: #1 ""Mamba @ DRSv3IR7B7"" (657.35) | #2 ""Dih @ GO72Iwd2XL"" (243.06)",2026-09-24T06:48:15.573Z,179023249557308
"The player ""rowan @ GthBpPSqaK"" joined the game with a stack of 24.71.",2026-09-24T06:48:15.573Z,179023249557307
"The player ""Rayan @ nhXZL_Cydv"" joined the game with a stack of 311.47.",2026-09-24T06:48:15.573Z,179023249557306
"The player ""Heech @ _qqRpJaEYj"" joined the game with a stack of 71.35.",2026-09-24T06:48:15.573Z,179023249557305
"The player ""Jasefish @ XKcqCJfaWe"" joined the game with a stack of 124.53.",2026-09-24T06:48:15.573Z,179023249557304
"The player ""Fish @ Rd4XHpxbuy"" joined the game with a stack of 274.70.",2026-09-24T06:48:15.573Z,179023249557303
"The player ""Dih @ GO72Iwd2XL"" joined the game with a stack of 243.06.",2026-09-24T06:48:15.573Z,179023249557302
"The player ""Mamba @ DRSv3IR7B7"" joined the game with a stack of 657.35.",2026-09-24T06:48:15.573Z,179023249557301
"-- starting hand #1193 (id: eihck7svbshm)  No Limit Texas Hold'em (dealer: ""Dih @ GO72Iwd2XL"") --",2026-09-24T06:48:15.573Z,179023249557300
"The player ""Mamba @ DRSv3IR7B7"" sit back with the stack of 657.35.",2026-09-24T06:48:13.323Z,179023249332300
"The player ""Mamba @ DRSv3IR7B7"" stand up with the stack of 657.35.",2026-09-24T06:47:49.378Z,179023246937800
"-- ending hand #1192 --",2026-09-24T06:47:43.472Z,179023246347202
"""Dih @ GO72Iwd2XL"" collected 2.00 from pot",2026-09-24T06:47:43.472Z,179023246347201
"Uncalled bet of 3.00 returned to ""Dih @ GO72Iwd2XL""",2026-09-24T06:47:43.472Z,179023246347200
"""Mamba @ DRSv3IR7B7"" folds",2026-09-24T06:47:42.652Z,179023246265200
"""Dih @ GO72Iwd2XL"" raises to 4.00",2026-09-24T06:47:41.835Z,179023246183500
"""Mamba @ DRSv3IR7B7"" posts a big blind of 1.00",2026-09-24T06:47:16.440Z,179023243644005
"""Dih @ GO72Iwd2XL"" posts a small blind of 0.50",2026-09-24T06:47:16.440Z,179023243644004
"Player stacks: #1 ""Mamba @ DRSv3IR7B7"" (658.35) | #2 ""Dih @ GO72Iwd2XL"" (242.06)",2026-09-24T06:47:16.440Z,179023243644001
"-- starting hand #1192 (id: lx9g9crhfcpc)  No Limit Texas Hold'em (dealer: ""Dih @ GO72Iwd2XL"") --",2026-09-24T06:47:16.440Z,179023243644000
"""Mamba @ DRSv3IR7B7"" shows a 4♦, 9♦.",2026-09-24T06:47:11.028Z,179023243102800
"-- ending hand #1191 --",2026-09-24T06:47:09.922Z,179023242992202
