player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Rayan",nhXZL_Cydv,2026-08-23T22:11:47.880Z,,3000,,6291,0,3291
"Tomfish",xZS3GKnBtu,2026-08-23T21:57:45.837Z,,3000,,3000,0,0
"Sul",DTywgdTily,2026-08-23T21:55:01.783Z,,2500,,1640,0,-860
"Sul",DTywgdTily,2026-08-23T21:14:16.935Z,2026-08-23T21:53:51.811Z,2500,0,0,0,-2500
"Rayan",nhXZL_Cydv,2026-08-23T20:59:56.025Z,2026-08-23T21:18:35.307Z,2000,0,0,0,-2000
"Yaden",4u5onOgZt7,2026-08-23T20:50:01.386Z,2026-08-23T21:18:35.301Z,2000,0,0,0,-2000
"Cam",5Hkt1ueeT1,2026-08-23T20:26:33.507Z,,2000,,14711,0,12711
"Rayan",nhXZL_Cydv,2026-08-23T20:23:04.027Z,2026-08-23T20:59:06.239Z,2000,0,0,0,-2000
"BransonW",k-StDnWQjZ,2026-08-23T20:12:54.881Z,,2000,,10328,0,8328
"Will",h_ZrezeXHs,2026-08-23T20:12:54.878Z,,10000,,5247,0,-4753
"Mr Bink",6D7s410Ucp,2026-08-23T20:12:54.874Z,,17500,,7283,0,-10217
