player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Will",h_ZrezeXHs,2026-08-25T19:04:17.082Z,,6000,,5968,0,-32
"Gabe",qfbDrPVgXl,2026-08-25T18:34:35.199Z,,5000,,7000,0,2000
"Rayan",nhXZL_Cydv,2026-08-25T18:21:34.405Z,,2000,,648,0,-1352
"BransonW",BP3o9IuyiX,2026-08-25T18:19:07.554Z,,2000,,1970,0,-30
"Jason",XKcqCJfaWe,2026-08-25T17:46:36.463Z,2026-08-25T19:15:58.083Z,2000,0,0,0,-2000
"Fishmas",xZS3GKnBtu,2026-08-25T17:34:50.658Z,,9500,3000,3020,0,-3480
"Heech",wzsls5Sz57,2026-08-25T17:29:35.311Z,2026-08-25T19:16:48.146Z,2000,7160,0,0,5160
"Rayan",nhXZL_Cydv,2026-08-25T17:24:27.647Z,2026-08-25T18:05:40.346Z,4000,0,0,0,-4000
"Cam",nDyQWeHSG2,2026-08-25T17:00:17.692Z,,2000,,2010,0,10
"rowan",GthBpPSqaK,2026-08-25T17:00:17.687Z,,5000,,8724,0,3724
