player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Rayan",nhXZL_Cydv,2026-09-02T02:13:49.596Z,2026-09-02T02:41:55.720Z,7500,0,0,0,-7500
"Ryan",9r2MUgxwHG,2026-09-02T02:06:25.265Z,2026-09-02T02:20:53.339Z,3000,0,0,0,-3000
"Cenny",H7FPFDbU-m,2026-09-02T01:27:57.768Z,,15168,,14581,0,-587
"Eric PC",YIfCLTmIUB,2026-09-01T22:58:15.347Z,2026-09-01T23:04:58.075Z,200,0,0,0,-200
"Asher",XxQh91rmsL,2026-09-01T22:50:59.272Z,2026-09-01T23:19:22.696Z,2000,10616,0,0,8616
"The Binkmieste",6D7s410Ucp,2026-09-01T21:17:13.340Z,2026-09-01T22:12:21.157Z,20000,43732,0,0,23732
"rowan",GthBpPSqaK,2026-09-01T20:37:43.365Z,,10000,,31669,0,21669
"rowan",GthBpPSqaK,2026-09-01T19:35:16.168Z,2026-09-01T20:29:30.799Z,20000,9910,0,0,-10090
"Will",h_ZrezeXHs,2026-09-01T19:26:21.958Z,,10000,,32060,0,22060
"Ryan",9r2MUgxwHG,2026-09-01T19:12:25.852Z,2026-09-02T01:31:42.517Z,31928,0,0,0,-31928
"Cenny",H7FPFDbU-m,2026-09-01T18:53:37.680Z,2026-09-01T22:50:59.264Z,5000,15168,0,0,10168
"jahan",iacG4hF18c,2026-09-01T18:38:54.773Z,,10000,,26628,0,16628
"jahan",iacG4hF18c,2026-09-01T18:20:15.414Z,2026-09-01T18:37:41.254Z,4000,0,0,0,-4000
"Mr Bink",IRFSw7AJ_c,2026-09-01T18:12:36.856Z,2026-09-01T18:33:04.440Z,10220,0,0,0,-10220
"Eric PC",YIfCLTmIUB,2026-09-01T17:55:16.856Z,2026-09-01T18:53:37.675Z,3563,16146,0,0,12583
"Eric",eLzaYAdsC-,2026-09-01T17:44:30.788Z,2026-09-01T17:55:16.853Z,2000,1563,0,0,-437
"Jason",XKcqCJfaWe,2026-09-01T17:01:41.690Z,2026-09-01T17:59:52.051Z,2000,0,0,0,-2000
"Rayan",nhXZL_Cydv,2026-09-01T16:49:25.575Z,2026-09-02T00:52:53.352Z,30000,0,0,0,-30000
"Will",h_ZrezeXHs,2026-09-01T16:49:25.571Z,2026-09-01T17:26:05.515Z,5000,5000,0,0,0
"Mr Bink",IRFSw7AJ_c,2026-09-01T16:45:37.891Z,2026-09-01T17:26:05.509Z,7000,220,0,0,-6780
"Ryan",9r2MUgxwHG,2026-09-01T16:45:37.887Z,2026-09-01T17:26:05.504Z,6000,7928,0,0,1928
"jahan",iacG4hF18c,2026-09-01T16:33:03.402Z,2026-09-01T18:17:57.053Z,11000,0,0,0,-11000
"Tomfishy",xZS3GKnBtu,2026-09-01T16:30:48.972Z,,15000,,45868,0,30868
"heech",UXn8-VfrPb,2026-09-01T16:30:07.061Z,,5000,,7211,0,2211
"Cam",5Hkt1ueeT1,2026-09-01T16:30:07.057Z,,5000,,12279,0,7279
"rowan",GthBpPSqaK,2026-09-01T16:30:07.054Z,2026-09-01T19:34:14.958Z,40000,0,0,0,-40000
