player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Jason",XKcqCJfaWe,2026-09-07T21:36:40.570Z,2026-09-07T22:00:57.402Z,2500,0,0,0,-2500
"Rayan",nhXZL_Cydv,2026-09-07T20:47:23.460Z,,5000,,8002,0,3002
"Kobe",DRSv3IR7B7,2026-09-07T20:17:18.704Z,2026-09-07T21:17:26.758Z,16090,5477,0,0,-10613
"cam",5Hkt1ueeT1,2026-09-07T19:52:07.015Z,,9000,,15568,0,6568
"Heech",wzsls5Sz57,2026-09-07T19:45:07.967Z,,5000,,13315,0,8315
"Will",h_ZrezeXHs,2026-09-07T19:12:03.871Z,,15000,,16496,0,1496
"jamie 20min",NtUKXL0XM7,2026-09-07T18:45:25.761Z,2026-09-07T20:26:50.525Z,5000,4530,0,0,-470
"Kobe",DRSv3IR7B7,2026-09-07T18:30:24.754Z,2026-09-07T19:52:07.007Z,5000,16090,0,0,11090
"Artemis",OXC5WHbqOT,2026-09-07T18:14:41.967Z,2026-09-07T18:30:24.750Z,2500,0,0,0,-2500
"sul",thk9cMWm9U,2026-09-07T17:59:39.512Z,2026-09-07T20:26:50.520Z,2500,3524,0,0,1024
"Gabe 15 MIN",9mpVPy0oPx,2026-09-07T17:57:22.646Z,2026-09-07T18:13:54.212Z,5500,2945,0,0,-2555
"R Y A N",GO72Iwd2XL,2026-09-07T17:52:46.395Z,,20000,,2264,0,-17736
"jahan",SNbRa1Lx6Y,2026-09-07T17:06:59.853Z,,17000,,20600,0,3600
"Mr Bink",IRFSw7AJ_c,2026-09-07T16:49:47.298Z,2026-09-07T20:26:50.513Z,2000,7300,0,0,5300
"Rowan(fr)",GthBpPSqaK,2026-09-07T16:13:41.095Z,,15000,,16979,0,1979
"Rowan(bus)",qgUU_tAS6Q,,2026-09-07T16:13:36.468Z,2000,2000,0,0,0
"cam",5Hkt1ueeT1,2026-09-07T16:13:41.091Z,2026-09-07T19:51:25.576Z,6000,0,0,0,-6000
