player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Cenny",H7FPFDbU-m,2026-09-03T04:47:45.332Z,,2000,,1900,0,-100
"kenn",t7ty5t1xQk,2026-09-03T04:05:43.772Z,2026-09-03T04:10:52.312Z,2000,0,0,0,-2000
"Cam",5Hkt1ueeT1,2026-09-03T02:55:01.210Z,,16941,,21986,0,5045
"Cam2",nDyQWeHSG2,2026-09-03T02:21:54.681Z,2026-09-03T02:55:01.202Z,7716,6941,0,0,-775
"jahan",iacG4hF18c,2026-09-03T01:32:46.063Z,,10000,,18406,0,8406
"Will",h_ZrezeXHs,2026-09-03T00:42:50.534Z,2026-09-03T02:26:17.377Z,15000,0,0,0,-15000
"Heech1",wzsls5Sz57,2026-09-02T23:40:20.664Z,,17753,,29772,0,12019
"kenn",t7ty5t1xQk,2026-09-02T23:21:22.675Z,2026-09-02T23:29:39.347Z,2000,0,0,0,-2000
"The Binkmieser",IRFSw7AJ_c,2026-09-02T23:07:21.055Z,2026-09-03T04:35:08.949Z,15776,15925,0,0,149
"Cenny",H7FPFDbU-m,2026-09-02T22:56:11.322Z,2026-09-03T04:46:05.097Z,4000,0,0,0,-4000
"Asher",XxQh91rmsL,2026-09-02T21:21:50.479Z,2026-09-02T21:55:46.851Z,2360,0,0,0,-2360
"Asher",XxQh91rmsL,2026-09-02T21:15:25.758Z,2026-09-02T21:16:53.607Z,2000,0,0,0,-2000
"The Binkmieser",IRFSw7AJ_c,2026-09-02T21:05:25.873Z,2026-09-02T21:09:12.631Z,4163,4113,0,0,-50
"Rayan",nhXZL_Cydv,2026-09-02T20:34:51.894Z,2026-09-03T04:56:04.440Z,8500,0,0,0,-8500
"Cam",5Hkt1ueeT1,2026-09-02T20:31:54.659Z,2026-09-03T02:21:17.120Z,10000,7716,0,0,-2284
"Will",h_ZrezeXHs,2026-09-02T20:28:26.160Z,2026-09-02T21:45:58.632Z,15000,0,0,0,-15000
"jahan",iacG4hF18c,2026-09-02T20:07:41.612Z,2026-09-03T01:30:35.859Z,10000,0,0,0,-10000
"The Binkmieser",IRFSw7AJ_c,2026-09-02T20:04:45.646Z,2026-09-02T21:02:19.949Z,10000,4163,0,0,-5837
"Tomfish",xZS3GKnBtu,2026-09-02T19:43:38.467Z,,29000,,55033,0,26033
"Rayan",nhXZL_Cydv,2026-09-02T19:32:52.469Z,2026-09-02T20:31:54.655Z,4000,0,0,0,-4000
"Ryan",GO72Iwd2XL,2026-09-02T19:06:57.790Z,,7430,,23480,0,16050
"Ryan S",IxzGNdGJnL,2026-09-02T19:02:11.439Z,2026-09-02T19:06:57.785Z,4170,4430,0,0,260
"Rayan",nhXZL_Cydv,2026-09-02T18:33:20.168Z,2026-09-02T19:01:05.328Z,1500,0,0,0,-1500
"BransonW",-thFwNBkz6,2026-09-02T18:26:17.480Z,2026-09-02T19:47:36.067Z,2000,2074,0,0,74
"Heech",_qqRpJaEYj,2026-09-02T18:26:17.460Z,2026-09-02T23:38:30.780Z,19500,17753,0,0,-1747
"Ryan",1E3KUcL9QQ,2026-09-02T18:24:58.516Z,2026-09-02T19:02:11.433Z,2000,4170,0,0,2170
"Jason",XKcqCJfaWe,2026-09-02T18:22:31.873Z,2026-09-02T20:49:17.864Z,4000,1762,0,0,-2238
"Yaden",4u5onOgZt7,2026-09-02T18:20:04.967Z,2026-09-02T20:30:35.387Z,2000,4253,0,0,2253
"Mr Bink",IRFSw7AJ_c,2026-09-02T18:18:12.118Z,2026-09-02T19:25:58.137Z,4000,0,0,0,-4000
"sul",thk9cMWm9U,2026-09-02T18:16:00.287Z,2026-09-02T19:32:52.464Z,2000,0,0,0,-2000
"Asher",XxQh91rmsL,2026-09-02T18:13:59.672Z,2026-09-02T19:05:41.101Z,2000,4360,0,0,2360
"Rowan",GthBpPSqaK,2026-09-02T18:13:59.669Z,2026-09-03T03:42:45.776Z,15000,25572,0,0,10572
