player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Sawyer",BlbikwxqHp,2026-08-28T21:21:01.258Z,2026-08-28T22:28:38.251Z,4000,0,0,0,-4000
"Rayab",nhXZL_Cydv,2026-08-28T21:10:27.876Z,2026-08-28T22:23:30.816Z,5000,0,0,0,-5000
"Sawyer",BlbikwxqHp,2026-08-28T20:56:14.562Z,2026-08-28T21:17:43.238Z,4000,0,0,0,-4000
"Phone rowan",qgUU_tAS6Q,2026-08-28T20:25:31.870Z,,19698,,30089,0,10391
"Will 2",h_ZrezeXHs,2026-08-28T20:08:19.872Z,2026-08-28T21:30:52.737Z,10000,9563,0,0,-437
"Will",fP0xlSKADN,2026-08-28T20:01:55.214Z,2026-08-28T20:03:55.018Z,10000,10000,0,0,0
"Rayab",nhXZL_Cydv,2026-08-28T19:18:05.452Z,2026-08-28T19:29:44.072Z,2500,0,0,0,-2500
"Rayab",nhXZL_Cydv,2026-08-28T19:08:49.791Z,2026-08-28T19:14:37.016Z,2000,0,0,0,-2000
"Rayab",nhXZL_Cydv,2026-08-28T19:00:28.447Z,2026-08-28T19:07:17.513Z,1500,0,0,0,-1500
"Thomgish",xZS3GKnBtu,2026-08-28T18:41:27.200Z,,8000,,9954,0,1954
"Rayab",nhXZL_Cydv,2026-08-28T17:41:49.672Z,2026-08-28T18:57:24.154Z,3287,0,0,0,-3287
"Gabe",qfbDrPVgXl,2026-08-28T17:29:03.130Z,,16500,,20471,0,3971
"Rayan",58hxHwl-DR,2026-08-28T17:23:45.914Z,2026-08-28T17:41:49.667Z,2000,1287,0,0,-713
"Heech",wzsls5Sz57,2026-08-28T17:19:17.642Z,,2000,,24088,0,22088
"BransonW",BP3o9IuyiX,2026-08-28T17:17:46.570Z,2026-08-28T20:24:29.509Z,6000,0,0,0,-6000
"Ryan",9r2MUgxwHG,2026-08-28T16:45:30.057Z,,8000,,22028,0,14028
"sulAIMAN",thk9cMWm9U,2026-08-28T16:17:56.676Z,2026-08-28T22:31:36.019Z,39725,37001,0,0,-2724
"Sawyer",BlbikwxqHp,2026-08-28T16:11:55.477Z,2026-08-28T20:47:33.020Z,4000,0,0,0,-4000
"Cam",5Hkt1ueeT1,2026-08-28T16:11:55.472Z,,30000,,11031,0,-18969
"Rowan",GthBpPSqaK,2026-08-28T16:11:55.468Z,2026-08-28T20:26:55.206Z,17000,19698,0,0,2698
