player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Bink is Back",yPzb7SC2lx,2026-08-22T23:31:27.885Z,,11500,,8277,0,-3223
"Back is Back",iNHBFVRnIS,2026-08-22T23:29:34.678Z,2026-08-22T23:30:26.084Z,5000,5000,0,0,0
"Cam",5Hkt1ueeT1,2026-08-22T22:48:39.084Z,,6400,,10405,0,4005
"henry",lXAgrxOAdx,2026-08-22T22:25:09.873Z,,3000,,2108,0,-892
"Cenny",H7FPFDbU-m,2026-08-22T21:49:47.874Z,,6000,,2400,0,-3600
"Last 30",xZS3GKnBtu,2026-08-22T20:48:27.267Z,,3000,,7466,0,4466
"Mr Punt",oNQIjW4kTO,2026-08-22T20:22:16.389Z,2026-08-22T23:28:01.990Z,2000,1867,0,0,-133
"henry",lXAgrxOAdx,2026-08-22T19:37:14.798Z,2026-08-22T22:24:24.139Z,8000,0,0,0,-8000
"Cam",8qfr4C0q5w,2026-08-22T18:50:46.057Z,2026-08-22T22:47:40.480Z,2000,6427,0,0,4427
"Jason",XKcqCJfaWe,2026-08-22T18:10:21.189Z,2026-08-22T20:47:20.658Z,4000,0,0,0,-4000
"Mr Bink",oNQIjW4kTO,2026-08-22T18:06:42.084Z,2026-08-22T18:12:14.075Z,2000,0,0,0,-2000
"Rayan",nhXZL_Cydv,2026-08-22T17:50:50.900Z,,2000,,14793,0,12793
"Will",h_ZrezeXHs,2026-08-22T17:50:50.896Z,2026-08-22T21:22:51.482Z,10000,7851,0,0,-2149
"BransonW",BP3o9IuyiX,2026-08-22T17:40:50.090Z,,2000,,10832,0,8832
"Sul",DTywgdTily,2026-08-22T17:28:57.807Z,,2000,,10172,0,8172
"Gabe",qfbDrPVgXl,2026-08-22T17:28:57.810Z,,4500,,4802,0,302
"rowan",GthBpPSqaK,2026-08-22T17:28:57.802Z,2026-08-22T23:44:43.244Z,19000,0,0,0,-19000
