player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"alex",aZ0wxWUdmr,2026-08-27T03:52:52.250Z,2026-08-27T04:08:05.891Z,10000,2182,0,0,-7818
"Shinny",H7FPFDbU-m,2026-08-27T03:41:46.295Z,,7075,,6325,0,-750
"Jason",XKcqCJfaWe,2026-08-27T03:16:08.881Z,2026-08-27T03:50:45.872Z,5000,0,0,0,-5000
"Rayan",nhXZL_Cydv,2026-08-27T02:35:22.145Z,2026-08-27T03:20:59.673Z,6000,0,0,0,-6000
"Jason",XKcqCJfaWe,2026-08-27T02:21:27.797Z,2026-08-27T03:13:55.733Z,5000,0,0,0,-5000
"Heech",wzsls5Sz57,2026-08-27T02:10:29.978Z,,17247,,17641,0,394
"alex",aZ0wxWUdmr,2026-08-27T01:54:06.309Z,2026-08-27T03:46:30.095Z,35000,37882,0,0,2882
"Ryan",9r2MUgxwHG,2026-08-27T01:32:55.799Z,2026-08-27T02:54:39.214Z,10000,0,0,0,-10000
"Asher",XxQh91rmsL,2026-08-27T01:25:14.889Z,2026-08-27T04:02:22.583Z,10000,0,0,0,-10000
"BransonW",BP3o9IuyiX,2026-08-27T01:20:42.130Z,2026-08-27T03:46:30.086Z,3000,3425,0,0,425
"akram",YB0citf4nW,2026-08-27T00:59:46.671Z,2026-08-27T04:09:12.935Z,33000,53082,0,0,20082
"alex",LSHgOcxkRY,2026-08-27T00:58:26.161Z,2026-08-27T01:43:21.421Z,10000,0,0,0,-10000
"alex",LSHgOcxkRY,2026-08-27T00:38:53.386Z,2026-08-27T00:57:49.318Z,10000,0,0,0,-10000
"alex",LSHgOcxkRY,2026-08-27T00:37:36.168Z,2026-08-27T00:37:48.113Z,5000,5000,0,0,0
"kenn",1MAe7RP1K5,2026-08-27T00:03:45.259Z,2026-08-27T00:08:00.853Z,2000,0,0,0,-2000
"Yaden",4u5onOgZt7,2026-08-26T23:24:56.627Z,2026-08-27T00:35:43.087Z,4000,0,0,0,-4000
"Shinny",H7FPFDbU-m,2026-08-26T23:06:02.104Z,2026-08-27T02:19:15.356Z,5000,7075,0,0,2075
"Rayan",nhXZL_Cydv,2026-08-26T23:03:12.941Z,2026-08-27T00:47:52.961Z,7000,0,0,0,-7000
"Cam",nDyQWeHSG2,2026-08-26T22:46:21.895Z,2026-08-27T02:08:54.671Z,10000,0,0,0,-10000
"alex",LSHgOcxkRY,2026-08-26T22:32:59.167Z,2026-08-26T23:19:22.266Z,10000,0,0,0,-10000
"Cam",nDyQWeHSG2,2026-08-26T22:26:42.878Z,2026-08-26T22:44:50.581Z,5000,0,0,0,-5000
"Gabe",qfbDrPVgXl,2026-08-26T22:18:38.690Z,2026-08-26T23:50:31.475Z,6000,16743,0,0,10743
"Binkputer",6D7s410Ucp,2026-08-26T22:05:56.277Z,2026-08-27T01:20:26.572Z,5000,25256,0,0,20256
"Rayan",nhXZL_Cydv,2026-08-26T22:04:13.080Z,2026-08-26T22:50:23.523Z,10500,0,0,0,-10500
"BransonW",BP3o9IuyiX,2026-08-26T21:59:39.966Z,2026-08-26T23:05:11.775Z,2000,8830,0,0,6830
"Rayan",nhXZL_Cydv,2026-08-26T21:44:47.279Z,2026-08-26T22:01:23.278Z,2500,0,0,0,-2500
"Heechan robber",xZS3GKnBtu,2026-08-26T21:32:39.728Z,,9000,,30278,0,21278
"Mr Bink",IRFSw7AJ_c,2026-08-26T21:25:35.165Z,2026-08-26T22:19:45.683Z,5000,3025,0,0,-1975
"Will",h_ZrezeXHs,2026-08-26T21:10:01.696Z,2026-08-27T02:34:01.770Z,5000,9878,0,0,4878
"Heech",wzsls5Sz57,2026-08-26T21:09:09.817Z,2026-08-27T00:01:38.950Z,5000,17247,0,0,12247
"Tee grizzz",UTrYW5-jt5,2026-08-26T21:07:18.832Z,2026-08-26T22:02:45.655Z,1500,0,0,0,-1500
"Mr Bink",IRFSw7AJ_c,2026-08-26T21:02:49.873Z,2026-08-26T21:24:22.037Z,2000,0,0,0,-2000
"J3l",iFtlXvCegk,2026-08-26T21:00:11.449Z,2026-08-26T21:06:00.360Z,1500,0,0,0,-1500
"rowan",GthBpPSqaK,2026-08-26T20:59:21.617Z,2026-08-27T03:32:55.653Z,5000,59401,0,0,54401
"Gabe",qfbDrPVgXl,2026-08-26T20:59:21.613Z,2026-08-26T22:04:13.076Z,20000,1052,0,0,-18948
"alex",LSHgOcxkRY,2026-08-26T20:59:21.608Z,2026-08-26T22:32:28.846Z,25000,10000,0,0,-15000
