rank,display_name,normalized_name,games,buy_ins,total_won,total_lost,adjustments,total_net,avg_per_game,biggest_win,biggest_loss,aliases
1,Heech,heech,17,25,1377.66,-235.81,0.00,1141.85,67.17,309.13,-134.75,heech
2,Ryan,ryan,19,37,2368.77,-1711.71,0.00,657.06,34.58,560.00,-330.00,ryan | ryans | ryanssteak
3,rowan,rowan,23,27,1866.00,-1490.54,0.00,375.46,16.32,544.01,-481.51,phonerowan | rowan | rowanfr
4,akram,akram,1,1,200.82,0.00,0.00,200.82,200.82,200.82,200.82,akram
5,Will,will,21,25,944.32,-751.13,0.00,193.19,9.20,276.95,-300.00,will
6,Cam,cam,24,37,1177.62,-987.48,0.00,190.14,7.92,256.09,-254.11,cam | camberin | camberyan | campunt | camputer | camtiny | camwaittrain | cma | fuckthisgame
7,Eric,eric,3,6,119.46,-28.00,0.00,91.46,30.49,119.46,-25.00,eric | ericpc
8,Cenny,cenny,9,15,248.73,-160.38,0.00,88.35,9.82,139.67,-55.50,cenny | shinny
9,jahan,jjj,18,37,1026.97,-976.30,0.00,50.67,2.82,159.78,-300.00,jaan | jahan | jahaninnout | jahanmin | jjj | jjjjjjjjjjjjj
10,Sab,sab,1,1,30.01,0.00,0.00,30.01,30.01,30.01,30.01,sab
11,BransonW,bransonw,15,20,306.75,-304.23,0.00,2.52,0.17,88.32,-80.00,bransonw
12,Neel,neel,1,1,0.00,-10.00,0.00,-10.00,-10.00,-10.00,-10.00,neel
13,J3l,jl,1,1,0.00,-15.00,0.00,-15.00,-15.00,-15.00,-15.00,jl
14,Tee grizzz,teegrizzz,1,1,0.00,-15.00,0.00,-15.00,-15.00,-15.00,-15.00,teegrizzz
15,jamie,jamie,2,2,0.00,-17.41,0.00,-17.41,-8.71,-4.70,-12.71,jamie | jamiemin
16,henry,henry,2,4,57.33,-88.92,0.00,-31.59,-15.79,57.33,-88.92,henny | henry
17,Tomfish,tomfish,22,41,1971.87,-2018.59,0.00,-46.72,-2.12,531.73,-999.75,bulletonly | first | fish | fishmas | fishy | fishyfish | heechanrobber | imtilted | last | lastryanryan | megatilted | notsteak | quads | thomgish | tomfish | tomfishy
18,Mr Bink,mrbink,22,49,837.31,-909.90,0.00,-72.59,-3.30,177.38,-213.01,backisback | binkisback | binkphone | binkputer | jessiebinkman | mrbink | mrpunt | thebinkmeiser | thebinkmieser | thebinkmieste
19,Sul,sul,12,13,169.58,-263.91,0.00,-94.33,-7.86,81.72,-83.64,sul | sulaiman
20,Artemis,artemis,3,4,0.00,-105.00,0.00,-105.00,-35.00,-25.00,-50.00,artemis
21,Gabe,gabe,16,21,249.03,-366.59,0.00,-117.56,-7.35,85.08,-93.93,gabe | gabemin
22,Sawyer,sawyer,1,3,0.00,-120.00,0.00,-120.00,-120.00,-120.00,-120.00,sawyer
23,Asher,asher,5,9,86.16,-210.00,0.00,-123.84,-24.77,86.16,-100.00,ash | asher
24,Yaden,yaden,5,6,22.53,-150.00,0.00,-127.47,-25.49,22.53,-50.00,yaden
25,Jason,jason,17,25,328.53,-457.38,0.00,-128.85,-7.58,176.10,-100.00,iputonrams | jason | jasonisinclass
26,Kobe,kobe,7,11,441.42,-589.77,0.00,-148.35,-21.19,166.80,-300.00,kobe
27,kenn,ken,6,8,0.00,-180.00,0.00,-180.00,-30.00,-20.00,-40.00,ken | kenn
28,alex,alex,1,7,0.00,-499.36,0.00,-499.36,-499.36,-499.36,-499.36,alex
29,Rayan,rayan,26,65,781.40,-1949.86,0.00,-1168.46,-44.94,148.76,-375.00,rayab | rayan
