ledger_id,player_id,session_start_at,nickname,owner_normalized,note
ledger_pglidvYs7nwfRvaQmEz2lDsfz,xZS3GKnBtu,2026-09-14T18:38:36Z,Sul,tomfish,"bought under ""Sul"" on account xZS3GKnBtu"
ledger_pglidvYs7nwfRvaQmEz2lDsfz,xZS3GKnBtu,2026-09-15T02:24:25Z,Sul,tomfish,"bought under ""Sul"" on account xZS3GKnBtu"
ledger_pglidvYs7nwfRvaQmEz2lDsfz,xZS3GKnBtu,2026-09-15T03:44:41Z,Sul,tomfish,"bought under ""Sul"" on account xZS3GKnBtu"
ledger_pglidvYs7nwfRvaQmEz2lDsfz,6D7s410Ucp,2026-09-15T02:32:01Z,ṡul,mrbink,"bought under ""ṡul"" on account 6D7s410Ucp"
ledger_pglAgj5rHU4xupD0urmmfxlur,6D7s410Ucp,2026-09-13T15:23:14Z,Mr Bloodthirst,mrbink,"bought under ""Mr Bloodthirst"" on account 6D7s410Ucp"
ledger_pglAgj5rHU4xupD0urmmfxlur,KCSQ_FP46U,2026-09-13T16:16:14Z,Sul,sul,checked: name was right
ledger_pglAgj5rHU4xupD0urmmfxlur,9dMYR0bjPk,2026-09-13T16:43:23Z,Sul3,sul,checked: name was right
ledger_pglbUOdN7z11b8Bj4zdi-6HE4,iNHBFVRnIS,2026-09-11T16:14:21Z,Mr Bink,mrbink,checked: name was right
ledger_pglbUOdN7z11b8Bj4zdi-6HE4,IRFSw7AJ_c,2026-09-11T18:15:04Z,Bink Phone,mrbink,checked: name was right
ledger_pgl0JF3pVUN5wPfXLimhGPkIv,6D7s410Ucp,2026-09-08T17:13:11Z,Binkputer,mrbink,checked: name was right
ledger_pgl0JF3pVUN5wPfXLimhGPkIv,IRFSw7AJ_c,2026-09-08T21:05:26Z,Mr Bink,mrbink,checked: name was right
ledger_pglpMjVGDSKpR-pSe0tcnKtWO,fVdOVcmkKA,2026-09-06T16:50:30Z,Heech,heech,checked: name was right
ledger_pglpMjVGDSKpR-pSe0tcnKtWO,wzsls5Sz57,2026-09-06T17:09:33Z,heech2,heech,checked: name was right
ledger_pglwOsdm7cLWY8xK_utS2zjyX,GO72Iwd2XL,2026-09-03T16:59:55Z,Ryan,ryan,checked: name was right
ledger_pglwOsdm7cLWY8xK_utS2zjyX,P-FXRHakNt,2026-09-04T02:06:59Z,Ryan’s steak,ryan,checked: name was right
