player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"tomas!",wukM_7k8E4,2026-04-22T06:21:15.719Z,,20000,,33180,13180
"heech",UXn8-VfrPb,2026-04-22T05:40:29.279Z,2026-04-22T06:34:31.378Z,200000,190000,0,-10000
"Yaden ):",mR9EebMIps,2026-04-22T05:21:42.246Z,2026-04-22T06:37:28.016Z,1000,2410,0,1410
"Yaden ):",mR9EebMIps,2026-04-22T05:19:37.333Z,2026-04-22T05:20:27.899Z,100,0,0,-100
"Yaden ):",mR9EebMIps,2026-04-22T05:12:14.077Z,2026-04-22T05:18:26.512Z,2000,0,0,-2000
"heech",UXn8-VfrPb,2026-04-22T04:30:32.715Z,2026-04-22T05:38:58.953Z,4000,0,0,-4000
"Yaden (:",mR9EebMIps,2026-04-22T04:18:46.140Z,2026-04-22T05:11:00.498Z,3865,0,0,-3865
"heech",UXn8-VfrPb,2026-04-22T04:14:33.104Z,2026-04-22T04:29:40.273Z,2000,0,0,-2000
"tomas!",wukM_7k8E4,2026-04-22T04:06:24.933Z,2026-04-22T06:20:25.506Z,2000,0,0,-2000
"Yaden fr",GbNVJENuyQ,2026-04-22T03:54:18.342Z,2026-04-22T04:18:09.614Z,1500,3865,0,2365
"Cam",_QF39fjGKb,2026-04-22T03:52:20.742Z,,2000,,2965,965
"Rayan",nhXZL_Cydv,2026-04-22T03:51:07.110Z,,1500,,9545,8045
"heech",UXn8-VfrPb,2026-04-22T03:51:07.095Z,2026-04-22T04:13:10.816Z,2000,0,0,-2000
"Yaden fr",GbNVJENuyQ,2026-04-22T03:51:07.061Z,2026-04-22T03:53:35.660Z,1000,1000,0,0
