player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"thomas",wukM_7k8E4,2026-04-20T05:27:27.624Z,,2000,,1415,-585
"thomas",wukM_7k8E4,2026-04-20T05:07:20.872Z,2026-04-20T05:23:41.044Z,3000,0,0,-3000
"Cam",_QF39fjGKb,2026-04-20T05:04:47.653Z,,2000,,6548,4548
"JWah15",hcQ-shYRMJ,2026-04-20T04:35:19.703Z,2026-04-20T05:07:20.868Z,1000,0,0,-1000
"Jason",XKcqCJfaWe,2026-04-20T04:33:45.431Z,2026-04-20T04:52:27.923Z,300,0,0,-300
"Cam",_QF39fjGKb,2026-04-20T03:57:36.460Z,2026-04-20T05:04:08.181Z,2000,0,0,-2000
"Neel",71DsKBIeuC,2026-04-20T03:45:46.160Z,2026-04-20T06:02:30.708Z,500,11197,0,10697
"Can",_QF39fjGKb,2026-04-20T03:33:27.574Z,2026-04-20T03:39:34.244Z,1000,0,0,-1000
"kobe",DRSv3IR7B7,2026-04-20T03:13:57.319Z,,2000,,6196,4196
"heech",UXn8-VfrPb,2026-04-20T03:12:43.705Z,2026-04-20T05:53:34.193Z,4000,11011,0,7011
"JWah15",hcQ-shYRMJ,2026-04-20T02:50:29.316Z,2026-04-20T04:33:45.427Z,2000,0,0,-2000
"JWah15",hcQ-shYRMJ,2026-04-20T02:47:44.049Z,2026-04-20T02:48:38.564Z,1000,1000,0,0
"Neel",71DsKBIeuC,2026-04-20T02:40:21.315Z,2026-04-20T03:43:27.521Z,500,0,0,-500
"Neel",71DsKBIeuC,2026-04-20T02:38:46.157Z,2026-04-20T02:39:41.346Z,1000,1000,0,0
"Gattouz0",OsmkdnFhIy,2026-04-20T02:31:23.153Z,2026-04-20T04:39:26.697Z,1000,894,0,-106
"heech",UXn8-VfrPb,2026-04-20T02:26:56.809Z,2026-04-20T03:11:31.769Z,2000,0,0,-2000
"JWah15",hcQ-shYRMJ,2026-04-20T02:23:36.841Z,2026-04-20T02:46:54.813Z,1000,0,0,-1000
"Can",_QF39fjGKb,2026-04-20T02:22:36.550Z,2026-04-20T02:24:38.522Z,190,0,0,-190
"JWah",2pRk7_B_WK,2026-04-20T02:21:35.959Z,2026-04-20T02:22:36.547Z,1000,1000,0,0
"Neel",71DsKBIeuC,2026-04-20T02:21:35.956Z,2026-04-20T02:37:57.142Z,1000,0,0,-1000
"Neel",71DsKBIeuC,2026-04-20T02:17:58.548Z,2026-04-20T02:20:18.365Z,1000,0,0,-1000
"Can",_QF39fjGKb,2026-04-20T02:05:11.885Z,2026-04-20T02:16:44.280Z,1000,1190,0,190
"Rayan",nhXZL_Cydv,2026-04-20T02:04:26.105Z,2026-04-20T04:27:28.925Z,2000,0,0,-2000
"thomas",wukM_7k8E4,2026-04-20T02:01:41.844Z,2026-04-20T05:04:08.161Z,3000,0,0,-3000
"Jason",XKcqCJfaWe,2026-04-20T01:44:31.589Z,2026-04-20T04:31:04.489Z,2000,0,0,-2000
"big money move",4u5onOgZt7,2026-04-20T01:43:24.725Z,2026-04-20T04:29:46.150Z,2000,2039,0,39
"thomas",wukM_7k8E4,2026-04-20T01:41:27.996Z,2026-04-20T02:00:04.483Z,2000,0,0,-2000
"heech",UXn8-VfrPb,2026-04-20T01:41:27.992Z,2026-04-20T02:25:50.892Z,2000,0,0,-2000
