player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Cam",eWUSzBpS1d,2026-04-13T04:07:44.873Z,2026-04-13T04:18:07.850Z,400,0,0,-400
"Cam",eWUSzBpS1d,2026-04-13T04:05:35.919Z,2026-04-13T04:06:42.945Z,300,0,0,-300
"heech",UXn8-VfrPb,2026-04-13T03:32:52.436Z,2026-04-13T03:46:31.756Z,6000,0,0,-6000
"Cam",eWUSzBpS1d,2026-04-13T03:29:13.456Z,2026-04-13T04:03:30.966Z,4000,0,0,-4000
"Cam",eWUSzBpS1d,2026-04-13T03:24:19.853Z,2026-04-13T03:28:12.502Z,300,0,0,-300
"Neel",WyajbU_LR7,2026-04-13T03:05:52.886Z,2026-04-13T04:20:28.640Z,1000,4696,0,3696
"RT",TewQH-V78i,2026-04-13T03:04:23.504Z,2026-04-13T03:05:08.723Z,1400,0,0,-1400
"Rayan",nhXZL_Cydv,2026-04-13T03:02:51.993Z,2026-04-13T04:22:46.026Z,4000,5562,0,1562
"Neel",WyajbU_LR7,2026-04-13T03:02:51.991Z,2026-04-13T03:05:08.720Z,700,0,0,-700
"Neel",WyajbU_LR7,2026-04-13T02:56:41.171Z,2026-04-13T03:01:31.851Z,300,0,0,-300
"heech",UXn8-VfrPb,2026-04-13T02:53:46.640Z,2026-04-13T03:30:36.062Z,10000,0,0,-10000
"Yaden",4u5onOgZt7,2026-04-13T02:41:30.178Z,2026-04-13T04:14:09.692Z,4000,14716,0,10716
"tom",wukM_7k8E4,2026-04-13T02:29:38.312Z,2026-04-13T04:04:42.194Z,3000,20088,0,17088
"tom",wukM_7k8E4,2026-04-13T02:15:36.915Z,2026-04-13T02:28:35.619Z,3000,0,0,-3000
"Rayan",nhXZL_Cydv,2026-04-13T02:04:36.432Z,2026-04-13T02:44:09.227Z,800,0,0,-800
"Rayan",nhXZL_Cydv,2026-04-13T01:48:19.656Z,2026-04-13T02:03:16.765Z,1000,0,0,-1000
"heech",UXn8-VfrPb,2026-04-13T01:48:19.653Z,2026-04-13T02:51:42.644Z,4000,0,0,-4000
"Sab1",5yB7YSVAe9,2026-04-13T01:38:14.907Z,2026-04-13T02:28:35.614Z,2000,0,0,-2000
"Rayan",nhXZL_Cydv,2026-04-13T01:29:47.768Z,2026-04-13T01:47:30.677Z,300,0,0,-300
"Rayan",nhXZL_Cydv,2026-04-13T01:27:13.627Z,2026-04-13T01:28:28.687Z,400,0,0,-400
"heech",UXn8-VfrPb,2026-04-13T01:26:11.107Z,2026-04-13T01:47:30.672Z,4000,0,0,-4000
"Jason",fYqcH1JWT_,2026-04-13T01:24:06.651Z,2026-04-13T04:23:13.064Z,350,22364,0,22014
"Yaden",4u5onOgZt7,2026-04-13T01:15:48.314Z,2026-04-13T02:40:04.146Z,2000,0,0,-2000
"Sab1",5yB7YSVAe9,2026-04-13T01:04:48.730Z,2026-04-13T01:34:57.428Z,2000,0,0,-2000
"Rayan",nhXZL_Cydv,2026-04-13T01:04:48.724Z,2026-04-13T01:26:11.103Z,1500,0,0,-1500
"tom",wukM_7k8E4,2026-04-13T01:04:48.722Z,2026-04-13T02:14:37.211Z,2000,0,0,-2000
"Rayan",nhXZL_Cydv,2026-04-13T00:54:56.383Z,2026-04-13T01:03:45.745Z,1000,0,0,-1000
"Jason",fYqcH1JWT_,2026-04-13T00:50:22.619Z,2026-04-13T01:22:29.113Z,300,0,0,-300
"tom",wukM_7k8E4,2026-04-13T00:44:06.251Z,2026-04-13T01:03:45.740Z,2000,0,0,-2000
"Sab",pyplNSo_Ol,2026-04-13T00:41:26.933Z,2026-04-13T00:54:23.997Z,2000,0,0,-2000
"Neel",WyajbU_LR7,2026-04-13T00:39:26.157Z,2026-04-13T02:55:54.245Z,2000,0,0,-2000
"Gabe",2ethfTEhxK,2026-04-13T00:38:31.961Z,2026-04-13T02:08:44.531Z,2000,4624,0,2624
"Cam",eWUSzBpS1d,2026-04-13T00:31:03.739Z,2026-04-13T03:23:38.127Z,2000,0,0,-2000
"heech",UXn8-VfrPb,2026-04-13T00:31:03.743Z,2026-04-13T01:24:06.648Z,2000,0,0,-2000
