player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"thomas",wukM_7k8E4,2026-04-23T03:58:56.645Z,,4000,,2909,-1091
"Jason",XKcqCJfaWe,2026-04-23T03:52:26.157Z,2026-04-23T04:09:25.726Z,350,0,0,-350
"cam",5Hkt1ueeT1,2026-04-23T03:18:06.105Z,2026-04-23T04:49:36.173Z,2160,7498,0,5338
"Kobe",DRSv3IR7B7,2026-04-23T03:09:44.974Z,2026-04-23T04:49:53.528Z,4000,13111,0,9111
"Yaden fr",4u5onOgZt7,2026-04-23T03:06:36.133Z,2026-04-23T04:49:36.168Z,4000,6665,0,2665
"Eric",YIfCLTmIUB,2026-04-23T03:01:17.651Z,2026-04-23T03:31:40.129Z,2000,0,0,-2000
"Jason",XKcqCJfaWe,2026-04-23T02:59:54.039Z,2026-04-23T03:51:19.415Z,3000,0,0,-3000
"thomas",wukM_7k8E4,2026-04-23T02:59:54.036Z,2026-04-23T03:54:05.235Z,3000,0,0,-3000
"cam",_QF39fjGKb,2026-04-23T02:46:05.815Z,2026-04-23T02:56:46.691Z,2000,2160,0,160
"heech",UXn8-VfrPb,2026-04-23T02:45:19.079Z,2026-04-23T04:12:19.747Z,2000,0,0,-2000
"RT",TewQH-V78i,2026-04-23T02:35:07.431Z,2026-04-23T04:01:36.947Z,2000,6143,0,4143
"Jason",XKcqCJfaWe,2026-04-23T02:24:04.829Z,2026-04-23T02:57:49.988Z,2000,0,0,-2000
"neel",mEC4Qautjm,2026-04-23T02:23:34.717Z,2026-04-23T04:07:02.160Z,3100,10015,0,6915
"heech",UXn8-VfrPb,2026-04-23T02:21:30.975Z,2026-04-23T02:36:43.574Z,2000,0,0,-2000
"Yaden fr",4u5onOgZt7,2026-04-23T02:20:26.074Z,2026-04-23T03:05:43.056Z,2000,0,0,-2000
"heech",UXn8-VfrPb,2026-04-23T02:18:39.355Z,2026-04-23T02:20:26.071Z,2000,0,0,-2000
"Yaden fr",4u5onOgZt7,2026-04-23T02:16:46.499Z,2026-04-23T02:18:39.353Z,2000,0,0,-2000
"Rayan",nhXZL_Cydv,2026-04-23T02:16:46.504Z,2026-04-23T04:25:24.004Z,2000,0,0,-2000
"thomas",wukM_7k8E4,2026-04-22T23:13:55.455Z,2026-04-23T02:57:49.983Z,3399,0,0,-3399
"Kobe",DRSv3IR7B7,2026-04-22T23:12:49.314Z,2026-04-22T23:28:26.634Z,2000,0,0,-2000
"Neel",WyajbU_LR7,2026-04-22T22:46:31.212Z,2026-04-23T02:21:30.970Z,2000,3100,0,1100
"Thomas",kxLyCI4zWO,2026-04-22T22:18:22.349Z,2026-04-22T23:13:31.987Z,2000,3399,0,1399
"Yaden",mR9EebMIps,2026-04-22T22:18:22.345Z,2026-04-23T02:16:09.344Z,2000,2009,0,9
"Rayan",s4uXdf1xGc,2026-04-22T22:18:22.341Z,2026-04-22T23:23:02.987Z,3980,1980,0,-2000
