player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Rayan",nhXZL_Cydv,2026-04-21T00:52:34.813Z,2026-04-21T01:46:03.004Z,3028,1001,0,-2027
"Sulaiman",jTYns4qneJ,2026-04-21T00:30:39.558Z,2026-04-21T01:38:22.000Z,2500,0,0,-2500
"Neel",71DsKBIeuC,2026-04-21T00:18:34.378Z,,1000,,3891,2891
"Neel",71DsKBIeuC,2026-04-21T00:12:30.481Z,2026-04-21T00:17:27.026Z,500,0,0,-500
"tommy",wukM_7k8E4,2026-04-20T23:13:04.635Z,,1000,,2647,1647
"Neel",71DsKBIeuC,2026-04-20T23:00:24.009Z,2026-04-21T00:11:26.235Z,500,0,0,-500
"Neel",71DsKBIeuC,2026-04-20T22:37:06.393Z,2026-04-20T22:59:58.167Z,2000,0,0,-2000
"tommy",wukM_7k8E4,2026-04-20T22:29:00.071Z,2026-04-20T23:11:53.445Z,2520,0,0,-2520
"tommy",wukM_7k8E4,2026-04-20T22:24:50.110Z,2026-04-20T22:27:10.582Z,2639,520,0,-2119
"cam",5Hkt1ueeT1,2026-04-20T22:01:13.271Z,,3700,,6979,3279
"cam",5Hkt1ueeT1,2026-04-20T21:55:13.982Z,2026-04-20T22:00:15.002Z,1000,0,0,-1000
"heech",UXn8-VfrPb,2026-04-20T21:54:06.139Z,2026-04-21T00:43:01.462Z,4000,10257,0,6257
"cam",5Hkt1ueeT1,2026-04-20T21:43:27.868Z,2026-04-20T21:53:28.928Z,2000,0,0,-2000
"Yaden",4u5onOgZt7,2026-04-20T21:36:38.211Z,2026-04-21T01:39:37.840Z,2000,7418,0,5418
"Neel",71DsKBIeuC,2026-04-20T21:24:04.746Z,2026-04-20T22:36:33.481Z,2000,0,0,-2000
"Neel",8lYTYy2ypo,2026-04-20T21:20:39.270Z,2026-04-20T21:21:24.330Z,2000,2000,0,0
"tommy",wukM_7k8E4,2026-04-20T21:08:45.532Z,2026-04-20T22:23:33.868Z,1800,639,0,-1161
"tommy",wukM_7k8E4,2026-04-20T21:05:20.210Z,2026-04-20T21:07:20.558Z,200,0,0,-200
"cam",5Hkt1ueeT1,2026-04-20T21:05:20.208Z,2026-04-20T21:41:52.733Z,2000,0,0,-2000
"kobe",DRSv3IR7B7,2026-04-20T20:59:36.896Z,2026-04-21T01:01:31.357Z,2000,6007,0,4007
"Rayan",nhXZL_Cydv,2026-04-20T20:59:36.898Z,2026-04-20T23:36:17.101Z,2000,3028,0,1028
"heech",UXn8-VfrPb,2026-04-20T20:59:36.894Z,2026-04-20T21:53:28.923Z,4000,0,0,-4000
