player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Rayan",SRg9UH6skM,2026-04-11T04:54:26.608Z,,2000,,2808,808
"jamie",mnZ3sRGHv_,2026-04-11T04:23:47.718Z,2026-04-11T05:00:52.741Z,4000,9064,0,5064
"Rayan",SRg9UH6skM,2026-04-11T03:37:09.876Z,2026-04-11T04:52:56.229Z,2500,0,0,-2500
"neel",WyajbU_LR7,2026-04-11T03:30:38.401Z,,2000,,4005,2005
"neel",WyajbU_LR7,2026-04-11T03:10:24.671Z,2026-04-11T03:29:27.099Z,2000,0,0,-2000
"neel",WyajbU_LR7,2026-04-11T02:56:42.456Z,2026-04-11T03:09:04.744Z,2000,0,0,-2000
"Cameron",eWUSzBpS1d,2026-04-11T02:29:46.823Z,2026-04-11T04:08:55.921Z,6000,15930,0,9930
"Cameron",eWUSzBpS1d,2026-04-11T02:20:12.457Z,2026-04-11T02:28:57.572Z,2010,0,0,-2010
"Cameron",eWUSzBpS1d,2026-04-11T02:00:27.517Z,2026-04-11T02:15:35.126Z,4000,2010,0,-1990
"jamie2",UaWbdg0KEr,2026-04-11T01:44:12.858Z,2026-04-11T01:56:37.522Z,3490,0,0,-3490
"neel",WyajbU_LR7,2026-04-11T01:37:25.518Z,2026-04-11T02:55:11.476Z,2000,0,0,-2000
"Jason",xWrM1GDcIx,2026-04-11T01:25:10.967Z,2026-04-11T02:04:09.603Z,2000,0,0,-2000
"Rayan",SRg9UH6skM,2026-04-11T01:18:08.222Z,2026-04-11T03:36:23.481Z,2500,0,0,-2500
"neel",WyajbU_LR7,2026-04-11T01:07:21.143Z,2026-04-11T01:35:33.311Z,2000,0,0,-2000
"Cameron",eWUSzBpS1d,2026-04-11T01:03:52.831Z,2026-04-11T01:59:10.265Z,2000,0,0,-2000
"jamie",QFyerJ87Ic,2026-04-11T00:21:56.533Z,2026-04-11T00:30:46.827Z,2000,3490,0,1490
"jamie",QFyerJ87Ic,2026-04-11T00:16:04.054Z,2026-04-11T00:19:42.062Z,2000,0,0,-2000
"Yaden",4u5onOgZt7,2026-04-11T00:12:35.087Z,2026-04-11T04:59:58.806Z,2000,15636,0,13636
"Ryan",9r2MUgxwHG,2026-04-11T00:11:38.634Z,,2000,,5722,3722
"tom",E_jVhWBGI0,2026-04-11T00:11:38.632Z,2026-04-11T05:48:45.796Z,2000,8835,0,6835
"Jason",xWrM1GDcIx,2026-04-11T00:11:38.629Z,2026-04-11T01:23:51.853Z,2000,0,0,-2000
"Cameron",eWUSzBpS1d,2026-04-11T00:03:56.047Z,2026-04-11T01:03:13.819Z,2000,0,0,-2000
"neel",WyajbU_LR7,2026-04-11T00:03:56.042Z,2026-04-11T01:05:41.637Z,2000,0,0,-2000
"Kobe",ylQElkTwQX,2026-04-11T00:03:56.037Z,2026-04-11T05:17:56.764Z,11000,0,0,-11000
