player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Thomas",E_jVhWBGI0,2026-04-10T05:45:17.067Z,2026-04-10T05:55:13.522Z,2000,0,0,-2000
"Thomas",E_jVhWBGI0,2026-04-10T05:30:19.303Z,2026-04-10T05:41:58.434Z,2000,0,0,-2000
"Thomas",E_jVhWBGI0,2026-04-10T05:25:26.515Z,2026-04-10T05:28:20.161Z,2000,0,0,-2000
"Yaden",mR9EebMIps,2026-04-10T04:57:43.787Z,2026-04-10T05:39:41.803Z,4000,6037,0,2037
"heech",0Yhc0iw_xL,2026-04-10T04:41:08.023Z,2026-04-10T06:17:28.446Z,4000,6454,0,2454
"Thomas",E_jVhWBGI0,2026-04-10T04:21:15.929Z,2026-04-10T05:24:32.093Z,3000,0,0,-3000
"neel",WyajbU_LR7,2026-04-10T03:59:29.842Z,2026-04-10T05:48:24.644Z,2000,12412,0,10412
"heech",0Yhc0iw_xL,2026-04-10T03:59:29.839Z,2026-04-10T04:40:08.585Z,2000,0,0,-2000
"Kobe",DRSv3IR7B7,2026-04-10T03:55:01.535Z,2026-04-10T05:48:52.586Z,3000,9070,0,6070
"Thomas",E_jVhWBGI0,2026-04-10T03:46:01.730Z,2026-04-10T04:20:07.673Z,2000,0,0,-2000
"Cameron",eWUSzBpS1d,2026-04-10T03:41:55.929Z,2026-04-10T05:12:24.152Z,4000,0,0,-4000
"Rayan",nhXZL_Cydv,2026-04-10T03:39:25.660Z,2026-04-10T06:15:50.801Z,2000,6027,0,4027
"neel",WyajbU_LR7,2026-04-10T03:38:11.597Z,2026-04-10T03:58:44.662Z,2000,0,0,-2000
"Yaden",mR9EebMIps,2026-04-10T03:38:11.591Z,2026-04-10T04:56:34.826Z,2000,0,0,-2000
"heech",0Yhc0iw_xL,2026-04-10T03:38:11.593Z,2026-04-10T03:58:44.657Z,2000,0,0,-2000
"Cameron",eWUSzBpS1d,2026-04-10T03:38:11.588Z,2026-04-10T03:40:58.140Z,2000,0,0,-2000
