player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Neel",HZbrFzkUvp,2026-04-17T05:33:01.444Z,2026-04-17T05:46:23.696Z,300,0,0,-300
"SinsTv",hcQ-shYRMJ,2026-04-17T05:10:19.029Z,2026-04-17T05:48:05.632Z,1000,1014,0,14
"Gattouz0",OsmkdnFhIy,2026-04-17T04:34:43.575Z,2026-04-17T04:44:37.073Z,3000,0,0,-3000
"Gabe",2ethfTEhxK,2026-04-17T04:33:17.856Z,2026-04-17T05:41:11.255Z,2000,4124,0,2124
"SinsTv",hcQ-shYRMJ,2026-04-17T04:31:42.287Z,2026-04-17T05:07:10.507Z,1000,0,0,-1000
"Gattouz0",OsmkdnFhIy,2026-04-17T04:20:59.195Z,2026-04-17T04:29:13.424Z,1000,0,0,-1000
"Gattouz0",OsmkdnFhIy,2026-04-17T04:11:56.687Z,2026-04-17T04:19:16.598Z,1000,0,0,-1000
"SinsTv",hcQ-shYRMJ,2026-04-17T04:09:00.290Z,2026-04-17T04:29:13.418Z,1000,0,0,-1000
"Gabe",2ethfTEhxK,2026-04-17T03:50:39.282Z,2026-04-17T04:31:42.282Z,2000,0,0,-2000
"Yaden ):",4u5onOgZt7,2026-04-17T03:45:57.231Z,2026-04-17T05:48:05.624Z,4000,6249,0,2249
"Jason",XKcqCJfaWe,2026-04-17T03:45:57.228Z,2026-04-17T05:46:23.701Z,2000,0,0,-2000
"Smolk",9r2MUgxwHG,2026-04-17T03:43:47.113Z,2026-04-17T05:07:10.514Z,3000,6985,0,3985
"Neel",HZbrFzkUvp,2026-04-17T03:29:52.293Z,2026-04-17T05:32:03.426Z,500,0,0,-500
"Neel",HZbrFzkUvp,2026-04-17T03:25:38.676Z,2026-04-17T03:29:14.273Z,500,0,0,-500
"Smolk",9r2MUgxwHG,2026-04-17T03:25:38.673Z,2026-04-17T03:42:37.563Z,2000,0,0,-2000
"Rayan",nhXZL_Cydv,2026-04-17T03:13:17.353Z,2026-04-17T05:08:01.950Z,2000,8348,0,6348
"Neel",HZbrFzkUvp,2026-04-17T03:05:11.344Z,2026-04-17T03:24:48.261Z,300,0,0,-300
"tommy",wukM_7k8E4,2026-04-17T02:59:58.703Z,2026-04-17T04:55:26.857Z,2000,9880,0,7880
"Neel",HZbrFzkUvp,2026-04-17T02:58:25.320Z,2026-04-17T03:04:40.092Z,2000,0,0,-2000
"Yaden",GbNVJENuyQ,2026-04-17T02:58:25.327Z,2026-04-17T03:42:37.552Z,2000,0,0,-2000
"Smolk",9r2MUgxwHG,2026-04-17T02:58:25.316Z,2026-04-17T03:24:48.255Z,2000,0,0,-2000
"cam",5Hkt1ueeT1,2026-04-17T02:58:25.324Z,2026-04-17T05:02:36.334Z,2000,0,0,-2000
